Cod_articulo,Descripcion,Desc_adicional,Familia,Codigo_Barras
0201000010,6008BR T10 LIMA,BOXER,LINEA UNDERWARE HOMBRE,600801068
0201000020,6008BR T10 ROJO,BOXER,LINEA UNDERWARE HOMBRE,600810004
0201000030,6008BR T12 LIMA,BOXER,LINEA UNDERWARE HOMBRE,600812068
0201000040,6008BR T14 LIMA,BOXER,LINEA UNDERWARE HOMBRE,600814068
0201000050,6002BR T10 ROJO,SLIP,LINEA UNDERWARE HOMBRE,6002010004
0201000060,6002BR T10 AZUL,SLIP,LINEA UNDERWARE HOMBRE,6002010015
0201000070,6002BR T12 ROJO,SLIP,LINEA UNDERWARE HOMBRE,6002012004
0201000080,6002BR T12 AZUL,SLIP,LINEA UNDERWARE HOMBRE,6002012015
0201000090,6002BR T14 ROJO,SLIP,LINEA UNDERWARE HOMBRE,6002014004
0201000100,6002BR T14 AZUL,SLIP,LINEA UNDERWARE HOMBRE,6002014015
0201000110,6008BR T8 ROJO,BOXER,LINEA UNDERWARE HOMBRE,6008008004
0201000120,6008BR T8 ESMERALDA,BOXER,LINEA UNDERWARE HOMBRE,6008008014
0201000130,6008BR T8 LIMA,BOXER,LINEA UNDERWARE HOMBRE,6008008068
0201000140,6008BR T10 ROJO,BOXER,LINEA UNDERWARE HOMBRE,6008010004
0201000150,6008BR T10 ESMERALDA,BOXER,LINEA UNDERWARE HOMBRE,6008010014
0201000160,6008BR T10 LIMA,BOXER,LINEA UNDERWARE HOMBRE,6008010068
0201000170,6008BR T12 ROJO,BOXER,LINEA UNDERWARE HOMBRE,6008012004
0201000180,6008BR T12 ESMERALDA,BOXER,LINEA UNDERWARE HOMBRE,6008012014
0201000190,6008BR T12 LIMA,BOXER,LINEA UNDERWARE HOMBRE,6008012068
0201000200,6008BR T14 ROJO,BOXER,LINEA UNDERWARE HOMBRE,6008014004
0201000210,6008BR T14 ESMERALDA,BOXER,LINEA UNDERWARE HOMBRE,6008014014
0201000220,6008BR T14 LIMA,BOXER,LINEA UNDERWARE HOMBRE,6008014068
0201000230,6009BR T8 FRANCIA,BOXER,LINEA UNDERWARE HOMBRE,6009008051
0201000240,6009BR T8 BORDO,BOXER,LINEA UNDERWARE HOMBRE,6009008090
0201000250,6009BR T8 ARMY,BOXER,LINEA UNDERWARE HOMBRE,6009008094
0201000260,6009BR T8 ORANGE,BOXER,LINEA UNDERWARE HOMBRE,6009008105
0201000270,6009BR T10 FRANCIA,BOXER,LINEA UNDERWARE HOMBRE,6009010051
0201000280,6009BR T10 BORDO,BOXER,LINEA UNDERWARE HOMBRE,6009010090
0201000290,6009BR T10 ARMY,BOXER,LINEA UNDERWARE HOMBRE,6009010094
0201000300,6009BR T10 ORANGE,BOXER,LINEA UNDERWARE HOMBRE,6009010105
0201000310,6009BR T12 FRANCIA,BOXER,LINEA UNDERWARE HOMBRE,6009012051
0201000320,6009BR T12 BORDO,BOXER,LINEA UNDERWARE HOMBRE,6009012090
0201000330,6009BR T12 ARMY,BOXER,LINEA UNDERWARE HOMBRE,6009012094
0201000340,6009BR T12 ORANGE,BOXER,LINEA UNDERWARE HOMBRE,6009012105
0201000350,6009BR T14 FRANCIA,BOXER,LINEA UNDERWARE HOMBRE,6009014051
0201000360,6009BR T14 BORDO,BOXER,LINEA UNDERWARE HOMBRE,6009014090
0201000370,6009BR T14 ARMY,BOXER,LINEA UNDERWARE HOMBRE,6009014094
0201000380,6009BR T14 ORANGE,BOXER,LINEA UNDERWARE HOMBRE,6009014105
0201000390,6010BR T8 GRIS,BOXER,LINEA UNDERWARE HOMBRE,6010008008
0201000400,6010BR T10 VARIOS,BOXER,LINEA UNDERWARE HOMBRE,6010010009
0201000410,6010BR T12 VARIOS,BOXER,LINEA UNDERWARE HOMBRE,6010012009
