Codart,Descripcion,Descadicional,Familia,Codbarras,Descagrupacion,marca
0401000010,SAS AIRIS INST JLW 180H MIXTO,AM180JLWRINSB01,BLANQUERIA,7794170001549,SABANA,arcoiris
0401000020,SA ARCO IRIS JDC 100 VICTORIA,AIA18JDCR1VICTOR,BLANQUERIA,7794170001860,SABANA,arcoiris
0401000030,SABANA ARCO IRIS JDC 100 2 GRA,AIA18JDCR2GRAMAD,BLANQUERIA,7794170001884,SABANA,arcoiris
0401000040,SA ARCO IRIS JDC 100 1 DERBY J,AIA18JDCR1DERBY,BLANQUERIA,7794170004236,SABANA,arcoiris
0401000050,SA ARCO IRIS JDC 100 2 CAMDEN,AIA18JDCR2CAMDEN,BLANQUERIA,7794170004267,SABANA,arcoiris
0401000060,SA ARCO IRIS JDC 100 2 JASAR J,AIA18JDCR2JASAR,BLANQUERIA,7794170004274,SABANA,arcoiris
0401000070,SA ARCO IRIS JDC 100 3 FIONA J,AIA18JDCR3FIONA,BLANQUERIA,7794170004298,SABANA,arcoiris
0401000080,SA ARCO IRIS JDK 100 1 DERBY J,AIA18JDKR1DERBY,BLANQUERIA,7794170004311,SABANA,arcoiris
0401000090,SA ARCO IRIS JDK 100 1 LILY JD,AIA18JDKR1LILY,BLANQUERIA,7794170004328,SABANA,arcoiris
0401000100,SA ARCO IRIS JDK 100 2 BOLD JD,AIA18JDKR2BOLD,BLANQUERIA,7794170004335,SABANA,arcoiris
0401000110,SA ARCO IRIS JDK 100 2 CAMDEN,AIA18JDKR2CAMDEN,BLANQUERIA,7794170004342,SABANA,arcoiris
0401000120,SA ARCO IRIS JDK 100 2 JASAR J,AIA18JDKR2JASAR,BLANQUERIA,7794170004359,SABANA,arcoiris
0401000130,SA ARCO IRIS JDK 100 3 FIONA J,AIA18JDKR3FIONA,BLANQUERIA,7794170004373,SABANA,arcoiris
0401000140,SA ARCO IRIS JDQ 100 1 DERBY J,AIA18JDQR1DERBY,BLANQUERIA,7794170004397,SABANA,arcoiris
0401000150,SA ARCO IRIS JDQ 100 1 LILY JD,AIA18JDQR1LILY,BLANQUERIA,7794170004403,SABANA,arcoiris
0401000160,SA ARCO IRIS JDQ 100 2 BOLD JD,AIA18JDQR2BOLD,BLANQUERIA,7794170004410,SABANA,arcoiris
0401000170,SA ARCO IRIS JDQ 100 2 CAMDEN,AIA18JDQR2CAMDEN,BLANQUERIA,7794170004427,SABANA,arcoiris
0401000180,SA ARCO IRIS JDQ 100 2 JASAR J,AIA18JDQR2JASAR,BLANQUERIA,7794170004434,SABANA,arcoiris
0401000190,SA ARCO IRIS JDQ 100 2 LEEDS J,AIA18JDQR2LEEDS,BLANQUERIA,7794170004441,SABANA,arcoiris
0401000200,SA ARCO IRIS JDQ 100 3 JASAR J,AIA18JDQR3JASAR,BLANQUERIA,7794170004465,SABANA,arcoiris
0401000210,SA  ARCO IRIS 180 JDC 1 BLOSSO,A1B18JDCR1BLOSSO,BLANQUERIA,7794170007060,SABANA,arcoiris
0401000220,SA  ARCO IRIS 180 JDC 1 MELROS,A1B18JDCR1MELROS,BLANQUERIA,7794170007077,SABANA,arcoiris
0401000230,SA  ARCO IRIS 180 JDC 1 SARI B,A1B18JDCR1SARI,BLANQUERIA,7794170007084,SABANA,arcoiris
0401000240,SA  ARCO IRIS 180 JDC 2 ALDER,A1B18JDCR2ALDER,BLANQUERIA,7794170007091,SABANA,arcoiris
0401000250,SA  ARCO IRIS 180 JDC 2 CHESS,A1B18JDCR2CHESS,BLANQUERIA,7794170007107,SABANA,arcoiris
0401000260,SA  ARCO IRIS 180 JDC 2 DAKAR,A1B18JDCR2DAKAR,BLANQUERIA,7794170007114,SABANA,arcoiris
0401000270,SA  ARCO IRIS 180 JDC 2 JAZZ B,AIB18JDCR2JAZZ,BLANQUERIA,7794170007121,SABANA,arcoiris
0401000280,SA  ARCO IRIS 180 JDC 2 OSLO B,A1B18JDCR2OSLO,BLANQUERIA,7794170007138,SABANA,arcoiris
0401000290,SA  ARCO IRIS 180 JDK 1 BLOSSO,A1B18JDKR1BLOSSO,BLANQUERIA,7794170007145,SABANA,arcoiris
0401000300,SA  ARCO IRIS 180 JDK 1 MELROS,A1B18JDKR1MELROS,BLANQUERIA,7794170007152,SABANA,arcoiris
0401000310,SA  ARCO IRIS 180 JDK 1 SARI B,AIB18JDKR1SARI,BLANQUERIA,7794170007169,SABANA,arcoiris
0401000320,SA  ARCO IRIS 180 JDK 2 ALDER,A1B18JDKR2ALDER,BLANQUERIA,7794170007176,SABANA,arcoiris
0401000330,SA  ARCO IRIS 180 JDK 2 CHESS,A1B18JDKR2CHESS,BLANQUERIA,7794170007183,SABANA,arcoiris
0401000340,SA  ARCO IRIS 180 JDK 2 DAKAR,A1B18JDKR2DAKAR,BLANQUERIA,7794170007190,SABANA,arcoiris
0401000350,SA  ARCO IRIS 180 JDK 2 JAZZ B,A1B18JDKR2JAZZ,BLANQUERIA,7794170007206,SABANA,arcoiris
0401000360,SA  ARCO IRIS 180 JDK 2 OSLO B,A1B18JDKR2OSLO,BLANQUERIA,7794170007213,SABANA,arcoiris
0401000370,SA  ARCO IRIS 180 JDQ 1 BLOSSO,A1B18JDQR1BLOSSO,BLANQUERIA,7794170007220,SABANA,arcoiris
0401000380,SA  ARCO IRIS 180 JDQ 2 JAZZ B,A1B18JDQR2JAZZ,BLANQUERIA,7794170007282,SABANA,arcoiris
0401000390,SA ARCO IRIS JDQ 100 3 FIONA J,AIA18JDQR3FIONA,BLANQUERIA,7794170007534,SABANA,arcoiris
0401000400,SA  ARCOIRIS 180 C/BORDE JDC A,A1B18JDCR1ASTOR,BLANQUERIA,7794170011753,SABANA,arcoiris
