virtuemart_product_id,product_name,product_sku,product_parent_sku,slug,VM_MULTIVARIANT_FIELD_LABEL1,Color,multi_variant_title,multi_variant_fields,product_price,published,category_path,product_desc,
,ACROBATA-Art:4074BR,0201040100,,ACROBATA-Art-4074BR-0201040100,BOXER,VARIOS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Lenceria de Hombre/Acrobata,BOXER ACROBATA-Art:4074BR<br />BOXER - VARIOS,
5450,ACROBATA-Art:5000BR,0202000480,,ACROBATA-Art-5000BR-0202000480,TS,AZUL,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Lenceria de Hombre/Acrobata,"SLIP ACROBATA-Art:5000BR<br />SLIP 100% ALGODÓN<br />
TALLES: S | M | L | XL | XXL Y TALLES ESP.<br />
COLORES: AZUL | BLANCO | MELANGE | NEGRO",
,ACROBATA-Art:5000BR,0202000450,0202000480,ACROBATA-Art-5000BR-0202000450,TS,BLANCO,,,1.0,Y,,,
,ACROBATA-Art:5000BR,0202000470,0202000480,ACROBATA-Art-5000BR-0202000470,TS,MELANGE,,,1.0,Y,,,
,ACROBATA-Art:5000BR,0202000460,0202000480,ACROBATA-Art-5000BR-0202000460,TS,NEGRO,,,1.0,Y,,,
,ACROBATA-Art:5000BR,0202000440,0202000480,ACROBATA-Art-5000BR-0202000440,TM,AZUL,,,1.0,Y,,,
,ACROBATA-Art:5000BR,0202000410,0202000480,ACROBATA-Art-5000BR-0202000410,TM,BLANCO,,,1.0,Y,,,
,ACROBATA-Art:5000BR,0202000430,0202000480,ACROBATA-Art-5000BR-0202000430,TM,MELANGE,,,1.0,Y,,,
,ACROBATA-Art:5000BR,0202000420,0202000480,ACROBATA-Art-5000BR-0202000420,TM,NEGRO,,,1.0,Y,,,
,ACROBATA-Art:5000BR,0202000400,0202000480,ACROBATA-Art-5000BR-0202000400,TL,AZUL,,,1.0,Y,,,
,ACROBATA-Art:5000BR,0202000370,0202000480,ACROBATA-Art-5000BR-0202000370,TL,BLANCO,,,1.0,Y,,,
,ACROBATA-Art:5000BR,0202000390,0202000480,ACROBATA-Art-5000BR-0202000390,TL,MELANGE,,,1.0,Y,,,
,ACROBATA-Art:5000BR,0202000380,0202000480,ACROBATA-Art-5000BR-0202000380,TL,NEGRO,,,1.0,Y,,,
,ACROBATA-Art:5000BR,0202000360,0202000480,ACROBATA-Art-5000BR-0202000360,TXL,AZUL,,,1.0,Y,,,
,ACROBATA-Art:5000BR,0202000520,0202000480,ACROBATA-Art-5000BR-0202000520,TXL,AZUL,,,1.0,Y,,,
,ACROBATA-Art:5000BR,0202000330,0202000480,ACROBATA-Art-5000BR-0202000330,TXL,BLANCO,,,1.0,Y,,,
,ACROBATA-Art:5000BR,0202000490,0202000480,ACROBATA-Art-5000BR-0202000490,TXL,BLANCO,,,1.0,Y,,,
,ACROBATA-Art:5000BR,0202000350,0202000480,ACROBATA-Art-5000BR-0202000350,TXL,MELANGE,,,1.0,Y,,,
,ACROBATA-Art:5000BR,0202000510,0202000480,ACROBATA-Art-5000BR-0202000510,TXL,MELANGE,,,1.0,Y,,,
,ACROBATA-Art:5000BR,0202000340,0202000480,ACROBATA-Art-5000BR-0202000340,TXL,NEGRO,,,1.0,Y,,,
,ACROBATA-Art:5000BR,0202000500,0202000480,ACROBATA-Art-5000BR-0202000500,TXL,NEGRO,,,1.0,Y,,,
,ACROBATA-Art:5000BR,0201001040,0202000480,ACROBATA-Art-5000BR-0201001040,TXXL,AZUL,,,1.0,Y,,,
,ACROBATA-Art:5000BR,0202000530,0202000480,ACROBATA-Art-5000BR-0202000530,TXXL,BLANCO,,,1.0,Y,,,
,ACROBATA-Art:5000BR,0202000550,0202000480,ACROBATA-Art-5000BR-0202000550,TXXL,MELANGE,,,1.0,Y,,,
,ACROBATA-Art:5000BR,0202000540,0202000480,ACROBATA-Art-5000BR-0202000540,TXXL,NEGRO,,,1.0,Y,,,
,ACROBATA-Art:5001BR,0201001050,,ACROBATA-Art-5001BR-0201001050,SLIP,ACROBATA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Lenceria de Hombre/Acrobata,BOXER ACROBATA-Art:5001BR<br />SLIP - ACROBATA,
,ACROBATA-Art:5003BR,0201001060,,ACROBATA-Art-5003BR-0201001060,BOXER,ACROBATA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Lenceria de Hombre/Acrobata,BOXER ACROBATA-Art:5003BR<br />BOXER - ACROBATA,
,ACROBATA-Art:5004BR,0201001070,,ACROBATA-Art-5004BR-0201001070,BOXER,ACROBATA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Lenceria de Hombre/Acrobata,BOXER ACROBATA-Art:5004BR<br />BOXER - ACROBATA,
,ACROBATA-Art:5005BR,0201001080,,ACROBATA-Art-5005BR-0201001080,BOXER,ACROBATA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Lenceria de Hombre/Acrobata,BOXER ACROBATA-Art:5005BR<br />BOXER - ACROBATA,
,ACROBATA-Art:5007BR,0201001090,,ACROBATA-Art-5007BR-0201001090,BOXER,ACROBATA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Lenceria de Hombre/Acrobata,BOXER ACROBATA-Art:5007BR<br />BOXER - ACROBATA,
2404,ACROBATA-Art:5008BR,0201001280,,ACROBATA-Art-5008BR-0201001280,TS,BLANCO,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Lenceria de Hombre/Acrobata,"BOXER ACROBATA-Art:5008BR<br />BOXER ALGODÓN & LYCRA BULGARO ELÁSTICO PERSONALIZADO<br />
TALLES: S | M | L | XL<br />
COLORES: ESMERALDA | FUCSIA | MELANGE | FRANCIA",
,ACROBATA-Art:5008BR,0201001300,0201001280,ACROBATA-Art-5008BR-0201001300,TS,CELESTE,,,1.0,Y,,,
,ACROBATA-Art:5008BR,0201001320,0201001280,ACROBATA-Art-5008BR-0201001320,TS,ESMERALDA,,,1.0,Y,,,
,ACROBATA-Art:5008BR,0201001330,0201001280,ACROBATA-Art-5008BR-0201001330,TS,FRANCIA,,,1.0,Y,,,
,ACROBATA-Art:5008BR,0201001290,0201001280,ACROBATA-Art-5008BR-0201001290,TS,FUCSIA,,,1.0,Y,,,
,ACROBATA-Art:5008BR,0201001310,0201001280,ACROBATA-Art-5008BR-0201001310,TS,MELANGE,,,1.0,Y,,,
,ACROBATA-Art:5008BR,0201001220,0201001280,ACROBATA-Art-5008BR-0201001220,TM,BLANCO,,,1.0,Y,,,
,ACROBATA-Art:5008BR,0201001240,0201001280,ACROBATA-Art-5008BR-0201001240,TM,CELESTE,,,1.0,Y,,,
,ACROBATA-Art:5008BR,0201001260,0201001280,ACROBATA-Art-5008BR-0201001260,TM,ESMERALDA,,,1.0,Y,,,
,ACROBATA-Art:5008BR,0201001270,0201001280,ACROBATA-Art-5008BR-0201001270,TM,FRANCIA,,,1.0,Y,,,
,ACROBATA-Art:5008BR,0201001230,0201001280,ACROBATA-Art-5008BR-0201001230,TM,FUCSIA,,,1.0,Y,,,
,ACROBATA-Art:5008BR,0201001250,0201001280,ACROBATA-Art-5008BR-0201001250,TM,MELANGE,,,1.0,Y,,,
,ACROBATA-Art:5008BR,0201001160,0201001280,ACROBATA-Art-5008BR-0201001160,TL,BLANCO,,,1.0,Y,,,
,ACROBATA-Art:5008BR,0201001180,0201001280,ACROBATA-Art-5008BR-0201001180,TL,CELESTE,,,1.0,Y,,,
,ACROBATA-Art:5008BR,0201001200,0201001280,ACROBATA-Art-5008BR-0201001200,TL,ESMERALDA,,,1.0,Y,,,
,ACROBATA-Art:5008BR,0201001210,0201001280,ACROBATA-Art-5008BR-0201001210,TL,FRANCIA,,,1.0,Y,,,
,ACROBATA-Art:5008BR,0201001170,0201001280,ACROBATA-Art-5008BR-0201001170,TL,FUCSIA,,,1.0,Y,,,
,ACROBATA-Art:5008BR,0201001190,0201001280,ACROBATA-Art-5008BR-0201001190,TL,MELANGE,,,1.0,Y,,,
,ACROBATA-Art:5008BR,0201001100,0201001280,ACROBATA-Art-5008BR-0201001100,TXL,BLANCO,,,1.0,Y,,,
,ACROBATA-Art:5008BR,0201001120,0201001280,ACROBATA-Art-5008BR-0201001120,TXL,CELESTE,,,1.0,Y,,,
,ACROBATA-Art:5008BR,0201001140,0201001280,ACROBATA-Art-5008BR-0201001140,TXL,ESMERALDA,,,1.0,Y,,,
,ACROBATA-Art:5008BR,0201001150,0201001280,ACROBATA-Art-5008BR-0201001150,TXL,FRANCIA,,,1.0,Y,,,
,ACROBATA-Art:5008BR,0201001110,0201001280,ACROBATA-Art-5008BR-0201001110,TXL,FUCSIA,,,1.0,Y,,,
,ACROBATA-Art:5008BR,0201001130,0201001280,ACROBATA-Art-5008BR-0201001130,TXL,MELANGE,,,1.0,Y,,,
,ACROBATA-Art:5009BR,0201001340,,ACROBATA-Art-5009BR-0201001340,BOXER,ACROBATA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Lenceria de Hombre/Acrobata,BOXER ACROBATA-Art:5009BR<br />BOXER - ACROBATA,
5455,ACROBATA-Art:5010BR,0201001490,,ACROBATA-Art-5010BR-0201001490,TS,ACQUA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Lenceria de Hombre/Acrobata,"BOXER ACROBATA-Art:5010BR<br />BOXER ALGODÓN & LYCRA RAYADO ELÁSTICO PERSONALIZADO<br />
TALLES: S | M | L | XL | XXL Y TALLES ESP.<br />
COLORES: AZUL | NEGRO",
,ACROBATA-Art:5010BR,0201001480,0201001490,ACROBATA-Art-5010BR-0201001480,TS,AZUL,,,1.0,Y,,,
,ACROBATA-Art:5010BR,0201001500,0201001490,ACROBATA-Art-5010BR-0201001500,TS,LIMA,,,1.0,Y,,,
,ACROBATA-Art:5010BR,0201001470,0201001490,ACROBATA-Art-5010BR-0201001470,TS,NEGRO,,,1.0,Y,,,
,ACROBATA-Art:5010BR,0201001450,0201001490,ACROBATA-Art-5010BR-0201001450,TM,ACQUA,,,1.0,Y,,,
,ACROBATA-Art:5010BR,0201001440,0201001490,ACROBATA-Art-5010BR-0201001440,TM,AZUL,,,1.0,Y,,,
,ACROBATA-Art:5010BR,0201001460,0201001490,ACROBATA-Art-5010BR-0201001460,TM,LIMA,,,1.0,Y,,,
,ACROBATA-Art:5010BR,0201001430,0201001490,ACROBATA-Art-5010BR-0201001430,TM,NEGRO,,,1.0,Y,,,
,ACROBATA-Art:5010BR,0201001410,0201001490,ACROBATA-Art-5010BR-0201001410,TL,ACQUA,,,1.0,Y,,,
,ACROBATA-Art:5010BR,0201001400,0201001490,ACROBATA-Art-5010BR-0201001400,TL,AZUL,,,1.0,Y,,,
,ACROBATA-Art:5010BR,0201001420,0201001490,ACROBATA-Art-5010BR-0201001420,TL,LIMA,,,1.0,Y,,,
,ACROBATA-Art:5010BR,0201001390,0201001490,ACROBATA-Art-5010BR-0201001390,TL,NEGRO,,,1.0,Y,,,
,ACROBATA-Art:5010BR,0201001370,0201001490,ACROBATA-Art-5010BR-0201001370,TXL,ACQUA,,,1.0,Y,,,
,ACROBATA-Art:5010BR,0201001360,0201001490,ACROBATA-Art-5010BR-0201001360,TXL,AZUL,,,1.0,Y,,,
,ACROBATA-Art:5010BR,0201001380,0201001490,ACROBATA-Art-5010BR-0201001380,TXL,LIMA,,,1.0,Y,,,
,ACROBATA-Art:5010BR,0201001350,0201001490,ACROBATA-Art-5010BR-0201001350,TXL,NEGRO,,,1.0,Y,,,
,ACROBATA-Art:5010BR,0201001530,0201001490,ACROBATA-Art-5010BR-0201001530,TXXL,ACQUA,,,1.0,Y,,,
,ACROBATA-Art:5010BR,0201001520,0201001490,ACROBATA-Art-5010BR-0201001520,TXXL,AZUL,,,1.0,Y,,,
,ACROBATA-Art:5010BR,0201001540,0201001490,ACROBATA-Art-5010BR-0201001540,TXXL,LIMA,,,1.0,Y,,,
,ACROBATA-Art:5010BR,0201001510,0201001490,ACROBATA-Art-5010BR-0201001510,TXXL,NEGRO,,,1.0,Y,,,
,ACROBATA-Art:5012BR,0201001550,,ACROBATA-Art-5012BR-0201001550,BOXER,ACROBATA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Lenceria de Hombre/Acrobata,BOXER ACROBATA-Art:5012BR<br />BOXER - ACROBATA,
