virtuemart_product_id,product_name,product_sku,product_parent_sku,slug,VM_MULTIVARIANT_FIELD_LABEL1,Color,multi_variant_title,multi_variant_fields,product_price,published,category_path,product_desc,peso
2495,ACROBATA-Art:1084BR,0201039541,,ACROBATA-Art-1084BR-0201039541,T95,MENTA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Hombre/ACROBATA","CONJUNTO ACROBATA-Art:1084BR<br />Conjunto soft de puntilla con less. Diseño Unique Marilyn<br />
              Talles: 90 - 95 - 100<br />
              Colores: flamingo - negro - marino",4
2495,ACROBATA-Art:1084BR,0201039542,,ACROBATA-Art-1084BR-0201039542,T100,MENTA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Hombre/ACROBATA","CONJUNTO ACROBATA-Art:1084BR<br />Conjunto soft de puntilla con less. Diseño Unique Marilyn<br />
              Talles: 90 - 95 - 100<br />
              Colores: flamingo - negro - marino",5
2495,ACROBATA-Art:1084BR,0201039543,,ACROBATA-Art-1084BR-0201039543,T105,MENTA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Hombre/ACROBATA","CONJUNTO ACROBATA-Art:1084BR<br />Conjunto soft de puntilla con less. Diseño Unique Marilyn<br />
              Talles: 90 - 95 - 100<br />
              Colores: flamingo - negro - marino",6
5980,ACROBATA-Art:2122BR,0201039544,,ACROBATA-Art-2122BR-0201039544,T90,MENTA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Hombre/ACROBATA","CONJUNTO ACROBATA-Art:2122BR<br />Conjunto sin taza de puntilla combinadas con less.</ br>
Colores: blanco - fucsia - negro</ br>
Talles:  90 - 95 - 100",3
5980,ACROBATA-Art:2122BR,0201039545,,ACROBATA-Art-2122BR-0201039545,T95,MENTA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Hombre/ACROBATA","CONJUNTO ACROBATA-Art:2122BR<br />Conjunto sin taza de puntilla combinadas con less.</ br>
Colores: blanco - fucsia - negro</ br>
Talles:  90 - 95 - 100",4
5980,ACROBATA-Art:2122BR,0201039546,,ACROBATA-Art-2122BR-0201039546,T100,MENTA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Hombre/ACROBATA","CONJUNTO ACROBATA-Art:2122BR<br />Conjunto sin taza de puntilla combinadas con less.</ br>
Colores: blanco - fucsia - negro</ br>
Talles:  90 - 95 - 100",5
,ACROBATA-Art:4074BR,0201040100,,ACROBATA-Art-4074BR-0201040100,BOXER,VARIOS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Hombre/ACROBATA","BOXER ACROBATA-Art:4074BR<br />BOXER - VARIOS",6
2505,ACROBATA-Art:442BR,0201039547,,ACROBATA-Art-442BR-0201039547,T85,MENTA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Hombre/ACROBATA","CONJUNTO ACROBATA-Art:442BR<br />Conjunto taza soft puntilla c/less <br />
              Talles: 85 - 90 - 95 - 100<br />
              Colores: blanco - negro - pink - rojo",2
5450,ACROBATA-Art:5000BR,0202000480,,ACROBATA-Art-5000BR-0202000480,TS,AZUL,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Hombre/ACROBATA","SLIP ACROBATA-Art:5000BR<br />SLIP 100% ALGODÓN<br />
TALLES: S | M | L | XL | XXL Y TALLES ESP.<br />
COLORES: AZUL | BLANCO | MELANGE | NEGRO",2
5450,ACROBATA-Art:5000BR,0202000450,,ACROBATA-Art-5000BR-0202000450,TS,BLANCO,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Hombre/ACROBATA","SLIP ACROBATA-Art:5000BR<br />SLIP 100% ALGODÓN<br />
TALLES: S | M | L | XL | XXL Y TALLES ESP.<br />
COLORES: AZUL | BLANCO | MELANGE | NEGRO",2
