virtuemart_product_id,product_name,product_sku,product_parent_sku,slug,VM_MULTIVARIANT_FIELD_LABEL1,Color,multi_variant_title,multi_variant_fields,product_price,published,category_path,product_desc,peso,Description
,"LENCERIA JULIETA-Art:651J",0101154580,,"LENCERIA JULIETA-Art-651J-0101154580",CONJUNTO,JULIETA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/LENCERIA JULIETA","CONJUNTO LENCERIA JULIETA-Art:651J<br />CONJUNTO - JULIETA",1000,"651J CONJUNTO JULIETA"
,"LENCERIA JULIETA-Art:652J",0101154590,,"LENCERIA JULIETA-Art-652J-0101154590",CONJUNTO,JULIETA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/LENCERIA JULIETA","CONJUNTO LENCERIA JULIETA-Art:652J<br />CONJUNTO - JULIETA",1000,"652J CONJUNTO JULIETA"
,"LENCERIA JULIETA-Art:653J",0101154600,,"LENCERIA JULIETA-Art-653J-0101154600",CONJUNTOS,JULIETA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/LENCERIA JULIETA","CONJUNTO LENCERIA JULIETA-Art:653J<br />CONJUNTOS - JULIETA",1000,"653J CONJUNTOS JULIETA"
,"LENCERIA JULIETA-Art:ARTICULOS",0102011090,,"LENCERIA JULIETA-Art-ARTICULOS-0102011090",DE,OFERTA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/LENCERIA JULIETA","CORPIÑO LENCERIA JULIETA-Art:ARTICULOS<br />DE - OFERTA",1000,"ARTICULOS DE OFERTA X2"
,"LENCERIA JULIETA-Art:BOLSA",0810000050,,"LENCERIA JULIETA-Art-BOLSA-0810000050",DE,CARTON,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/LENCERIA JULIETA","BOLSAS LENCERIA JULIETA-Art:BOLSA<br />DE - CARTON",1000,"BOLSA DE CARTON JULIETA"
,"LENCERIA JULIETA-Art:BOLSA",0810000030,,"LENCERIA JULIETA-Art-BOLSA-0810000030",DE,CARTON,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/LENCERIA JULIETA","BOLSO LENCERIA JULIETA-Art:BOLSA<br />DE - CARTON",1000,"BOLSA DE CARTON"
,"LENCERIA JULIETA-Art:BOLSA",0810000060,,"LENCERIA JULIETA-Art-BOLSA-0810000060",ECO,CHICA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/LENCERIA JULIETA","BOLSAS LENCERIA JULIETA-Art:BOLSA<br />ECO - CHICA",1000,"BOLSA ECO CHICA JULIETA"
,"LENCERIA JULIETA-Art:BOLSA",0810000020,,"LENCERIA JULIETA-Art-BOLSA-0810000020",ECOLOGICA,CHICA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/LENCERIA JULIETA","BOLSO LENCERIA JULIETA-Art:BOLSA<br />ECOLOGICA - CHICA",1000,"BOLSA ECOLOGICA CHICA"
,"LENCERIA JULIETA-Art:BOLSA",0810000010,,"LENCERIA JULIETA-Art-BOLSA-0810000010",ECOLOGICA,GRANDE,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/LENCERIA JULIETA","BOLSO LENCERIA JULIETA-Art:BOLSA<br />ECOLOGICA - GRANDE",1000,"BOLSA ECOLOGICA GRANDE"
,"LENCERIA JULIETA-Art:BOLSA",0810000040,,"LENCERIA JULIETA-Art-BOLSA-0810000040",ECO,MED,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/LENCERIA JULIETA","BOLSAS LENCERIA JULIETA-Art:BOLSA<br />ECO - MED",1000,"BOLSA ECO MED JULIETA"
