virtuemart_product_id,product_name,product_sku,product_parent_sku,slug,VM_MULTIVARIANT_FIELD_LABEL1,Color,multi_variant_title,multi_variant_fields,product_price,published,category_path,product_desc,Description,peso,Description
,KAURY-Art:10810K,0101056070,,KAURY-Art-10810K-0101056070,CONJUNTO,VARIOS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Kaury"," KAURY-Art:10810K<br />CONJUNTO - VARIOS","10810K CONJUNTO",1000,"10810K CONJUNTO"
,KAURY-Art:11110K,0105027620,,KAURY-Art-11110K-0105027620,BOMBACHA,VARIOS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Kaury","BOMBACHA KAURY-Art:11110K<br />BOMBACHA - VARIOS","11110K BOMBACHA",1000,"11110K BOMBACHA"
,KAURY-Art:11112,0101057450,,KAURY-Art-11112-0101057450,CONJUNTO,KAURY,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Kaury"," KAURY-Art:11112<br />CONJUNTO - KAURY","11112 CONJUNTO KAURY",1000,"11112 CONJUNTO KAURY"
,KAURY-Art:11112K,0101056080,,KAURY-Art-11112K-0101056080,CONJUNTO,KAURY,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Kaury"," KAURY-Art:11112K<br />CONJUNTO - KAURY","11112K CONJUNTO KAURY",1000,"11112K CONJUNTO KAURY"
,KAURY-Art:11612K,0101056090,,KAURY-Art-11612K-0101056090,CONJUNTO,VARIOS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Kaury"," KAURY-Art:11612K<br />CONJUNTO - VARIOS","11612K CONJUNTO",1000,"11612K CONJUNTO"
10639,KAURY-Art:230K,0703000610,,KAURY-Art-230K-0703000610,T1,Negro,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Kaury","Panty Red KAURY-Art:230K<br />Panty Red.<br />
T: 1 - 2 - 3<br />
Colores: Negro","230K T1 Negro",2,"230K T1 Negro"
10639,KAURY-Art:230K,0703000620,,KAURY-Art-230K-0703000620,T2,Negro,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Kaury","Panty Red KAURY-Art:230K<br />Panty Red.<br />
T: 1 - 2 - 3<br />
Colores: Negro","230K T2 Negro",3,"230K T2 Negro"
10639,KAURY-Art:230K,0703000630,,KAURY-Art-230K-0703000630,T3,Negro,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Kaury","Panty Red KAURY-Art:230K<br />Panty Red.<br />
T: 1 - 2 - 3<br />
Colores: Negro","230K T3 Negro",4,"230K T3 Negro"
10640,KAURY-Art:231K,0703000640,,KAURY-Art-231K-0703000640,T1,Miel,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Kaury","Panty Semiopaca KAURY-Art:231K<br />Panty semiopaca .<br />
T: 1 - 2 - 3 - 4 <br />
Colores: Miel - Natural - Negro","231K T1 Miel",2,"231K T1 Miel"
10640,KAURY-Art:231K,0703000650,,KAURY-Art-231K-0703000650,T1,Natural,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Kaury","Panty Semiopaca KAURY-Art:231K<br />Panty semiopaca .<br />
T: 1 - 2 - 3 - 4 <br />
Colores: Miel - Natural - Negro","231K T1 Natural",2,"231K T1 Natural"
