Codart,Descripcion,Desc_adic,Familia,Codbara,marca
0101045200,7020K T90 Blanco,,LENCERIA,02702009001,KAURY
0101045210,7020K T90 Negro,,LENCERIA,02702009002,KAURY
0101045220,7020K T90 Bordo,,LENCERIA,02702009058,KAURY
0101045230,7020K T90 Verde Militar,,LENCERIA,02702009078,KAURY
0101045240,7020K T90 Rosa Vintage,,LENCERIA,02702009090,KAURY
0101045250,7020K T95 Blanco,,LENCERIA,02702009501,KAURY
0101045260,7020K T95 Negro,,LENCERIA,02702009502,KAURY
0101045270,7020K T95 Bordo,,LENCERIA,02702009558,KAURY
0101045280,7020K T95 Verde Militar,,LENCERIA,02702009578,KAURY
0101045290,7020K T95 Rosa Vintage,,LENCERIA,02702009590,KAURY
0101045300,7020K T100 Blanco,,LENCERIA,02702010001,KAURY
0101045310,7020K T100 Negro,,LENCERIA,02702010002,KAURY
0101045320,7020K T100 Bordo,,LENCERIA,02702010058,KAURY
0101045330,7020K T100 Verde Militar,,LENCERIA,02702010078,KAURY
0101045340,7020K T100 Rosa Vintage,,LENCERIA,02702010090,KAURY
0101045350,7030K T85 BLANCO,,LENCERIA,02703008501,KAURY
0101045360,7030K T85 NEGRO,,LENCERIA,02703008502,KAURY
0101045370,7030K T85 ROJO,,LENCERIA,02703008503,KAURY
0101045380,7030K T85 AZUL NOCHE,,LENCERIA,02703008515,KAURY
0101045390,7030K T90 BLANCO,,LENCERIA,02703009001,KAURY
0101045400,7030K T90 NEGRO,,LENCERIA,02703009002,KAURY
0101045410,7030K T90 ROJO,,LENCERIA,02703009003,KAURY
0101045420,7030K T90 AZUL NOCHE,,LENCERIA,02703009015,KAURY
0101045430,7030K T95 BLANCO,,LENCERIA,02703009501,KAURY
0101045440,7030K T95 NEGRO,,LENCERIA,02703009502,KAURY
0101045450,7030K T95 ROJO,,LENCERIA,02703009503,KAURY
0101045460,7030K T95 AZUL NOCHE,,LENCERIA,02703009515,KAURY
0101045470,7030K T100 BLANCO,,LENCERIA,02703010001,KAURY
0101045480,7030K T100 NEGRO,,LENCERIA,02703010002,KAURY
0101045490,7030K T100 ROJO,,LENCERIA,02703010003,KAURY
0101045500,7030K T100 AZUL NOCHE,,LENCERIA,02703010015,KAURY
0101045510,7050K T85 Blanco,,LENCERIA,02705008501,KAURY
0101045520,7050K T85 Negro,,LENCERIA,02705008502,KAURY
0101045530,7050K T85 Piel,,LENCERIA,02705008553,KAURY
0101045540,7050K T85 Bordo,,LENCERIA,02705008558,KAURY
0101045550,7050K T90 Blanco,,LENCERIA,02705009001,KAURY
0101045560,7050K T90 Negro,,LENCERIA,02705009002,KAURY
0101045570,7050K T90 Piel,,LENCERIA,02705009053,KAURY
0101045580,7050K T90 Bordo,,LENCERIA,02705009058,KAURY
0101045590,7050K T95 Blanco,,LENCERIA,02705009501,KAURY
0101045600,7050K T95 Negro,,LENCERIA,02705009502,KAURY
0101045610,7050K T95 Piel,,LENCERIA,02705009553,KAURY
0101045620,7050K T95 Bordo,,LENCERIA,02705009558,KAURY
0101045630,7050K T100 Blanco,,LENCERIA,02705010001,KAURY
0101045640,7050K T100 Negro,,LENCERIA,02705010002,KAURY
0101045650,7050K T100 Piel,,LENCERIA,02705010053,KAURY
0101045660,7050K T100 Bordo,,LENCERIA,02705010058,KAURY
0101045670,7060K T85 Blanco,,LENCERIA,02706008501,KAURY
0101045680,7060K T85 Negro,,LENCERIA,02706008502,KAURY
0101045690,7060K T85 Bordo,,LENCERIA,02706008558,KAURY
0101045700,7060K T85 Verde Militar,,LENCERIA,02706008578,KAURY
0101045710,7060K T90 Blanco,,LENCERIA,02706009001,KAURY
0101045720,7060K T90 Negro,,LENCERIA,02706009002,KAURY
0101045730,7060K T90 Bordo,,LENCERIA,02706009058,KAURY
0101045740,7060K T90 Verde Militar,,LENCERIA,02706009078,KAURY
0101045750,7060K T95 Blanco,,LENCERIA,02706009501,KAURY
0101045760,7060K T95 Negro,,LENCERIA,02706009502,KAURY
0101045770,7060K T95 Bordo,,LENCERIA,02706009558,KAURY
0101045780,7060K T95 Verde Militar,,LENCERIA,02706009578,KAURY
0101045790,7060K T100 Blanco,,LENCERIA,02706010001,KAURY
0101045800,7060K T100 Negro,,LENCERIA,02706010002,KAURY
0101045810,7060K T100 Bordo,,LENCERIA,02706010058,KAURY
0101045820,7060K T100 Verde Militar,,LENCERIA,02706010078,KAURY
0101045830,7070K T90 Blanco,,LENCERIA,02707009001,KAURY
0101045840,7070K T90 Negro,,LENCERIA,02707009002,KAURY
0101045850,7070K T90 Bordo,,LENCERIA,02707009058,KAURY
0101045860,7070K T90 Verde Militar,,LENCERIA,02707009078,KAURY
