Codigo,Descripcion,DescAdic,Familia,CodBarra,Marca
0101067970,1002LO CONJUNTO LODY,,LENCERIA,1002LO,LODY
0101067980,1003LO CONJUNTO LODY,,LENCERIA,1003LO,LODY
0101067990,1004LO CONJUNTO LODY,,LENCERIA,1004LO,LODY
0101068000,1005LO CONJUNTO LODY,,LENCERIA,1005LO,LODY
0101068010,1006LO CONJUNTO LODY,,LENCERIA,1006LO,LODY
0101068020,1007LO CONJUNTO LODY,,LENCERIA,1007LO,LODY
0101068030,5000LO CORP AMAMANTAR LODY,,LENCERIA,5000LO,LODY
0101068040,1001LO CONJ LODY,,LENCERIA,1001LO,LODY
0101068050,5002LO CONJ LODY,,LENCERIA,5002LO,LODY
0101068060,5003LO CONJ LODY,,LENCERIA,5003LO,LODY
0101068070,5015LO CONJ LODY,,LENCERIA,5015LO,LODY
0101068080,501LO CONJ LODY,,LENCERIA,501LO,LODY
0101068090,5029LO CONJ LODY,,LENCERIA,5029LO,LODY
0101068100,5030LO CONJ LODY,,LENCERIA,5030LO,LODY
0101068110,5035LO CONJ LODY,,LENCERIA,5035LO,LODY
0101068120,503LO CONJ LODY,,LENCERIA,503LO,LODY
0101068130,5040LO CONJ LODY,,LENCERIA,5040LO,LODY
0101068140,5089LO CONJ LODY,,LENCERIA,5089LO,LODY
0101068150,5092LO CONJ LODY,,LENCERIA,5092LO,LODY
0101068160,5093LO CONJ LODY,,LENCERIA,5093LO,LODY
0101068170,5098LO CONJ LODY,,LENCERIA,5098LO,LODY
0101068180,5100LO CONJ LODY,,LENCERIA,5100LO,LODY
0101068190,5102LO CONJ LODY,,LENCERIA,5102LO,LODY
0101068200,5105LO CONJ LODY,,LENCERIA,5105LO,LODY
0101068210,5109LO CONJ LODY,,LENCERIA,5109LO,LODY
0101068220,5110LO CONJ LODY,,LENCERIA,5110LO,LODY
0101068230,5113LO CONJ LODY,,LENCERIA,5113LO,LODY
0101068240,5114LO CONJ LODY,,LENCERIA,5114LO,LODY
0101068250,5117LO CONJ LODY,,LENCERIA,5117LO,LODY
0101068260,5119LO CONJ LODY,,LENCERIA,5119LO,LODY
0101068270,5121LO CONJ LODY,,LENCERIA,5121LO,LODY
0101068280,5123LO CONJ LODY,,LENCERIA,5123LO,LODY
0101068290,5124LO CONJ LODY,,LENCERIA,5124LO,LODY
0101068300,5125LO CONJ LODY,,LENCERIA,5125LO,LODY
0101068310,5126LO CONJ LODY,,LENCERIA,5126LO,LODY
0101068320,5127LO CONJ LODY,,LENCERIA,5127LO,LODY
0101068330,5129LO CONJ LODY,,LENCERIA,5129LO,LODY
0101068340,5130LO CONJ LODY,,LENCERIA,5130LO,LODY
0101068350,5131LO CONJ LODY,,LENCERIA,5131LO,LODY
0101068360,5132LO CONJ LODY,,LENCERIA,5132LO,LODY
0101068370,5133LO CONJ LODY,,LENCERIA,5133LO,LODY
0101068380,5134LO CONJ LODY,,LENCERIA,5134LO,LODY
0101068390,5135LO CONJ LODY,,LENCERIA,5135LO,LODY
0101068400,5136LO CONJ LODY,,LENCERIA,5136LO,LODY
0101068410,5138LO CONJ LODY,,LENCERIA,5138LO,LODY
0101068420,5139LO CONJ LODY,,LENCERIA,5139LO,LODY
0101068430,5140LO CONJ LODY,,LENCERIA,5140LO,LODY
0101068440,5141LO CONJ LODY,,LENCERIA,5141LO,LODY
0101068450,5142LO CONJ LODY,,LENCERIA,5142LO,LODY
0101068460,5143LO CONJ LODY,,LENCERIA,5143LO,LODY
0101068470,5144LO CONJ LODY,,LENCERIA,5144LO,LODY
0101068480,5145LO CONJ LODY,,LENCERIA,5145LO,LODY
0101068490,5146LO CONJ LODY,,LENCERIA,5146LO,LODY
