CodArt,Descripcion,Descadic,Familia,Codigo,Marca
0101077960,1000MA CONJ,CONJUNTO,LENCERIA,1000MA,MAREY
0101077970,1001MA CONJ,CONJUNTO,LENCERIA,1001MA,MAREY
0101077980,1002MA CONJ,CONJUNTO,LENCERIA,1002MA,MAREY
0101077990,1003MA CONJ,CONJUNTO,LENCERIA,1003MA,MAREY
0101078000,3000MA CONJ,CONJUNTO,LENCERIA,3000MA,MAREY
0101078010,3001MA CONJ,CONJUNTO,LENCERIA,3001MA,MAREY
0101078020,3002MA CONJ,CONJUNTO,LENCERIA,3002MA,MAREY
0101078030,3003MA CONJ,CONJUNTO,LENCERIA,3003MA,MAREY
0101078040,3004MA CONJ,CONJUNTO,LENCERIA,3004MA,MAREY
0101078050,3005MA CONJ,CONJUNTO,LENCERIA,3005MA,MAREY
0101078060,3006MA CONJ,CONJUNTO,LENCERIA,3006MA,MAREY
0101078070,3007MA CONJ,CONJUNTO,LENCERIA,3007MA,MAREY
0101078080,3008MA CONJ,CONJUNTO,LENCERIA,3008MA,MAREY
0101078090,3009MA CONJ,CONJUNTO,LENCERIA,3009MA,MAREY
0101078100,3010MA CONJ,CONJUNTO,LENCERIA,3010MA,MAREY
0101078110,3011MA CONJ,CONJUNTO,LENCERIA,3011MA,MAREY
0101078120,5002MA CONJ,CONJUNTO,LENCERIA,5002MA,MAREY
0101078130,5003MA CONJ,CONJUNTO,LENCERIA,5003MA,MAREY
0101078140,5004MA CONJ,CONJUNTO,LENCERIA,5004MA,MAREY
0101078150,5005MA BOXER,CONJUNTO,LENCERIA,5005MA,MAREY
0101078160,5006MA CONJ,CONJUNTO,LENCERIA,5006MA,MAREY
0101078170,500MA CONJ,CONJUNTO,LENCERIA,500MA,MAREY
0101078180,501MA CONJ,CONJUNTO,LENCERIA,501MA,MAREY
0101078190,503MA CONJ,CONJUNTO,LENCERIA,503MA,MAREY
0101078200,504MA CONJ,CONJUNTO,LENCERIA,504MA,MAREY
0101078210,505MA CONJ,CONJUNTO,LENCERIA,505MA,MAREY
0101078220,506MA CONJ,CONJUNTO,LENCERIA,506MA,MAREY
0101078230,507MA CONJ,CONJUNTO,LENCERIA,507MA,MAREY
0101078240,508MA CONJ,CONJUNTO,LENCERIA,508MA,MAREY
0101078250,511MA CONJ,CONJUNTO,LENCERIA,511MA,MAREY
0101078260,700MA CONJ,CONJUNTO,LENCERIA,700MA,MAREY
0101078270,701MA CONJ,CONJUNTO,LENCERIA,701MA,MAREY
0101078280,702MA CONJ,CONJUNTO,LENCERIA,702MA,MAREY
0101078290,703MA CONJ,CONJUNTO,LENCERIA,703MA,MAREY
0101078300,704MA CONJ,CONJUNTO,LENCERIA,704MA,MAREY
0101078310,705MA CONJ,CONJUNTO,LENCERIA,705MA,MAREY
0101078320,706MA CONJ,CONJUNTO,LENCERIA,706MA,MAREY
0101078330,707MA CONJ,CONJUNTO,LENCERIA,707MA,MAREY
0101078340,708MA CONJ,CONJUNTO,LENCERIA,708MA,MAREY
0101078350,709MA CONJ,CONJUNTO,LENCERIA,709MA,MAREY
0101078360,711MA CONJ,CONJUNTO,LENCERIA,711MA,MAREY
0101078370,712MA CONJ,CONJUNTO,LENCERIA,712MA,MAREY
0101078380,714MA CONJ,CONJUNTO,LENCERIA,714MA,MAREY
0101078390,715MA CONJ,CONJUNTO,LENCERIA,715MA,MAREY
0101078400,716MA CONJ,CONJUNTO,LENCERIA,716MA,MAREY
0101078410,717MA CONJ,CONJUNTO,LENCERIA,717MA,MAREY
0101078420,718MA CONJ,CONJUNTO,LENCERIA,718MA,MAREY
0101078430,719MA CONJ,CONJUNTO,LENCERIA,719MA,MAREY
0101078440,721MA CONJ,CONJUNTO,LENCERIA,721MA,MAREY
0101078450,722MA CONJ,CONJUNTO,LENCERIA,722MA,MAREY
