virtuemart_product_id,product_name,product_sku,product_parent_sku,slug,VM_MULTIVARIANT_FIELD_LABEL1,Color,multi_variant_title,multi_variant_fields,product_price,published,category_path,product_desc,Description,peso,Description
,NASTASE-Art:001NA,0105012300,,NASTASE-Art-001NA-0105012300,BOMBACHA,ESPEC,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Nastase","BOMBACHA NASTASE-Art:001NA<br />BOMBACHA - ESPEC","001NA BOMBACHA ESPEC",1000,"001NA BOMBACHA ESPEC"
,NASTASE-Art:002NA,0105012310,,NASTASE-Art-002NA-0105012310,BOMBACHA,ESPEC,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Nastase","BOMBACHA NASTASE-Art:002NA<br />BOMBACHA - ESPEC","002NA BOMBACHA ESPEC",1000,"002NA BOMBACHA ESPEC"
,NASTASE-Art:003NA,0105012320,,NASTASE-Art-003NA-0105012320,BOMBACHA,ESPEC,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Nastase","BOMBACHA NASTASE-Art:003NA<br />BOMBACHA - ESPEC","003NA BOMBACHA ESPEC",1000,"003NA BOMBACHA ESPEC"
,NASTASE-Art:004NA,0105012330,,NASTASE-Art-004NA-0105012330,BOMBACHA,ESPEC,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Nastase","BOMBACHA NASTASE-Art:004NA<br />BOMBACHA - ESPEC","004NA BOMBACHA ESPEC",1000,"004NA BOMBACHA ESPEC"
,NASTASE-Art:005NA,0105012340,,NASTASE-Art-005NA-0105012340,BOMBACHA,ESPEC,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Nastase","BOMBACHA NASTASE-Art:005NA<br />BOMBACHA - ESPEC","005NA BOMBACHA ESPEC",1000,"005NA BOMBACHA ESPEC"
,NASTASE-Art:006NA,0105012350,,NASTASE-Art-006NA-0105012350,BOMBACHA,ESPEC,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Nastase","BOMBACHA NASTASE-Art:006NA<br />BOMBACHA - ESPEC","006NA BOMBACHA ESPEC",1000,"006NA BOMBACHA ESPEC"
,NASTASE-Art:007NA,0105012360,,NASTASE-Art-007NA-0105012360,BOMBACHA,ESPEC,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Nastase","BOMBACHA NASTASE-Art:007NA<br />BOMBACHA - ESPEC","007NA BOMBACHA ESPEC",1000,"007NA BOMBACHA ESPEC"
,NASTASE-Art:008NA,0105012370,,NASTASE-Art-008NA-0105012370,BOMBACHA,ESPEC,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Nastase","BOMBACHA NASTASE-Art:008NA<br />BOMBACHA - ESPEC","008NA BOMBACHA ESPEC",1000,"008NA BOMBACHA ESPEC"
,NASTASE-Art:009NA,0105012380,,NASTASE-Art-009NA-0105012380,BOMBACHA,ESPEC,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Nastase","BOMBACHA NASTASE-Art:009NA<br />BOMBACHA - ESPEC","009NA BOMBACHA ESPEC",1000,"009NA BOMBACHA ESPEC"
,NASTASE-Art:010NA,0105012390,,NASTASE-Art-010NA-0105012390,BOMBACHA,ESPEC,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Nastase","BOMBACHA NASTASE-Art:010NA<br />BOMBACHA - ESPEC","010NA BOMBACHA ESPEC",1000,"010NA BOMBACHA ESPEC"
