virtuemart_product_id,product_name,product_sku,product_parent_sku,slug,VM_MULTIVARIANT_FIELD_LABEL1,VM_MULTIVARIANT_FIELD_LABEL2,multi_variant_title,multi_variant_fields,product_price,published,category_path,product_desc,codigo_anterior
5527,"Conjunto push up espalda y bretel desmontable",1002000030,,conjunto-push-up-espalda-y-bretel-desmontable-1002000030,CATALOGO,BAKHOU,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~VM_MULTIVARIANT_FIELD_LABEL2,150,Y,"Lenceria de Mujer/Sigry","ART:00B<br />Catálogo de Boxer<br />",00B
5539,"Catálogo de Boxer",0101121550,,catálogo-de-boxer-0101121550,CATALOGO,SIGRY,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~VM_MULTIVARIANT_FIELD_LABEL2,150,Y,"Lenceria de Mujer/Sigry","ART:00SI<br />Catálogo de Corseteria y Packs<br />",00SI
0,"Catálogo Corseteria y Pack",0101122340,,catálogo-corseteria-y-pack-0101122340,BOXER,unico,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~VM_MULTIVARIANT_FIELD_LABEL2,38.9,Y,"Lenceria de Mujer/Sigry",1005S,1005S
0,"1050S PELOTA SIGRY",0101122350,,1050s-pelota-sigry-0101122350,PELOTA,SIGRY,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~VM_MULTIVARIANT_FIELD_LABEL2,205.9,Y,"Lenceria de Mujer/Sigry",1050S,1050S
0,"1060S  LATA  BELEN",0101122360,,1060s--lata--belen-0101122360,unico,LATA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~VM_MULTIVARIANT_FIELD_LABEL2,44.5,Y,"Lenceria de Mujer/Sigry",1060S,1060S
0,"1171S T85 NEGRO",0101127140,0101122370,1171s-t85-negro-0101127140,T85,NEGRO,,,769.9,Y,,1171S,1171S
0,"1171S T85 NEGRO",0101133470,0101122370,1171s-t85-negro-0101133470,T85,NEGRO,,,769.9,Y,,1171S,1171S
0,"1171S T85 BLANCO",0101127130,0101122370,1171s-t85-blanco-0101127130,T85,BLANCO,,,769.9,Y,,1171S,1171S
0,"1171S T85 BLANCO",0101133430,0101122370,1171s-t85-blanco-0101133430,T85,BLANCO,,,769.9,Y,,1171S,1171S
0,"1171S T90 BLANCO",0101133440,0101122370,1171s-t90-blanco-0101133440,T90,BLANCO,,,769.9,Y,,1171S,1171S
0,"1171S T90 BLANCO",0101127150,0101122370,1171s-t90-blanco-0101127150,T90,BLANCO,,,769.9,Y,,1171S,1171S
0,"1171S T90 NEGRO",0101127160,0101122370,1171s-t90-negro-0101127160,T90,NEGRO,,,769.9,Y,,1171S,1171S
0,"1171S T90 NEGRO",0101133480,0101122370,1171s-t90-negro-0101133480,T90,NEGRO,,,769.9,Y,,1171S,1171S
0,"1171S T95 BLANCO",0101127170,0101122370,1171s-t95-blanco-0101127170,T95,BLANCO,,,769.9,Y,,1171S,1171S
0,"1171S T95 NEGRO",0101133490,0101122370,1171s-t95-negro-0101133490,T95,NEGRO,,,769.9,Y,,1171S,1171S
0,"1171S T95 NEGRO",0101127180,0101122370,1171s-t95-negro-0101127180,T95,NEGRO,,,769.9,Y,,1171S,1171S
0,"1171S T95 BLANCO",0101133450,0101122370,1171s-t95-blanco-0101133450,T95,BLANCO,,,769.9,Y,,1171S,1171S
