Cod_articulo,Descripcion,Desc_adicional,Familia,CodBarras,marca
0112008030,10168MK TU X3,PACK,LENCERIA,101680098,ZAILU-PACK
0112008040,10168MK PACK X3,PACK,LENCERIA,101680099,ZAILU-PACK
0112008090,10181MK PACK X3 UNI SURTIDO,PACK,LENCERIA,101810099,ZAILU-PACK
0112008180,11168MK TU X3,PACK,LENCERIA,111680098,ZAILU-PACK
0112008190,11168MK PACK X3,PACK,LENCERIA,111680099,ZAILU-PACK
0112008240,11181MK PACK X3 UNI SURTIDO,PACK,LENCERIA,111810099,ZAILU-PACK
0112008350,12168MK PACK X3,PACK,LENCERIA,121680098,ZAILU-PACK
0112008360,12168MK PACK X3,PACK,LENCERIA,121680099,ZAILU-PACK
0112008420,12181MK PACK X3 UNI SURTIDO,PACK,LENCERIA,121810099,ZAILU-PACK
0112010070,10181MK  PACK X3,PACK,LENCERIA,10181MK,ZAILU-PACK
0112010720,11181MK PACK X3,PACK,LENCERIA,11181MK,ZAILU-PACK
0112011430,12181MK PACK X3,PACK,LENCERIA,12181MK,ZAILU-PACK
0112017500,10168MK PACK X3  TU BL-NG-CE,PACK,LENCERIA,1016800908,ZAILU-PACK
