Cod_articulo,Descripcion,Desc_adicional,Familia,Codbarra,marca
0101105340,5428MK T85 BLANCO,CONJUNTO,LENCERIA,54280201,zailu
0101105350,5428MK T85 NEGRO,CONJUNTO,LENCERIA,54280203,zailu
0101105360,5428MK T90 BLANCO,CONJUNTO,LENCERIA,54280301,zailu
0101105370,5428MK T90 NEGRO,CONJUNTO,LENCERIA,54280303,zailu
0101105380,5428MK T95 BLANCO,CONJUNTO,LENCERIA,54280401,zailu
0101105390,5428MK T95 NEGRO,CONJUNTO,LENCERIA,54280403,zailu
0101105400,5428MK T100 BLANCO,CONJUNTO,LENCERIA,54280501,zailu
0101105410,5428MK T100 NEGRO,CONJUNTO,LENCERIA,54280503,zailu
0101114880,5428MK T85 AZUL,CONJUNTO,LENCERIA,542802130,zailu
0101114890,5428MK T85 CORAL.FL,CONJUNTO,LENCERIA,542802338,zailu
0101114900,5428MK T85 VERDE JUNCO,CONJUNTO,LENCERIA,542802357,zailu
0101114910,5428MK T90 AZUL,CONJUNTO,LENCERIA,542803130,zailu
0101114920,5428MK T90 CORAL.FL,CONJUNTO,LENCERIA,542803338,zailu
0101114930,5428MK T90 VERDE JUNCO,CONJUNTO,LENCERIA,542803357,zailu
0101114940,5428MK T95 AZUL,CONJUNTO,LENCERIA,542804130,zailu
0101114950,5428MK T95 CORAL.FL,CONJUNTO,LENCERIA,542804338,zailu
0101114960,5428MK T95 VERDE JUNCO,CONJUNTO,LENCERIA,542804357,zailu
0101114970,5428MK T100 AZUL,CONJUNTO,LENCERIA,542805130,zailu
0101114980,5428MK T100 CORAL.FL,CONJUNTO,LENCERIA,542805338,zailu
0101114990,5428MK T100 VERDE JUNCO,CONJUNTO,LENCERIA,542805357,zailu
0101161620,5518MK CONJUNTO,CONJUNTO,LENCERIA,5518MK,zailu
0101161630,5519MK CONJUNTO,CONJUNTO,LENCERIA,5519MK,zailu
0101161640,5520MK CONJUNTO,CONJUNTO,LENCERIA,5520MK,zailu
0101161650,5521MK CONJUNTO,CONJUNTO,LENCERIA,5521MK,zailu
0101161850,5428MK T100 ROSA MALVA,CONJUNTO,LENCERIA,542805374,zailu
0101161860,5428MK T85 ROSA MALVA,CONJUNTO,LENCERIA,542802374,zailu
0101161870,5428MK T90 ROSA MALVA,CONJUNTO,LENCERIA,542803374,zailu
0101161880,5428MK T95 ROSA MALVA,CONJUNTO,LENCERIA,542804374,zailu
0101164860,5518MK T100 MAIZ,CONJUNTO,LENCERIA,551805107,zailu
0101164870,5518MK T100 ROSA MALVA,CONJUNTO,LENCERIA,551805374,zailu
0101164880,5518MK T85 MAIZ,CONJUNTO,LENCERIA,551802107,zailu
0101164890,5518MK T85 ROSA MALVA,CONJUNTO,LENCERIA,551802374,zailu
0101164900,5518MK T90 MAIZ,CONJUNTO,LENCERIA,551803107,zailu
0101164910,5518MK T90 ROSA MALVA,CONJUNTO,LENCERIA,551803374,zailu
0101164920,5518MK T95 MAIZ,CONJUNTO,LENCERIA,551804107,zailu
0101164930,5518MK T95 ROSA MALVA,CONJUNTO,LENCERIA,551804374,zailu
0101164940,5519MK T100 MAIZ,CONJUNTO,LENCERIA,551905107,zailu
