Cod_articulo,Descripcion,Desc_adicional,Codigo_de_Barras
0101194340,L20339 TS NEGRO,CONJUNTO,2018203391581
0101194350,L20339 TM NEGRO,CONJUNTO,2018203391582
0101194360,L20339 TL NEGRO,CONJUNTO,2018203391583
0101194370,L20339 TXL NEGRO,CONJUNTO,2018203391584
0601000950,L20806 TM CAMISON NUBES,CAMISON,20182080682
0601000960,L20806 TS CAMISON NUBES,CAMISON,20182080681
0601000970,L20806 TXL CAMISON NUBES,CAMISON,20182080684
0601000980,L20815 TL CAMISON NEV FLUO,CAMISON,2018208152483
0601000990,L20815 TM CAMISON NEV FLUO,CAMISON,201820815782
0601001000,L20815 TS CAMISON NEV FLUO,CAMISON,2018208152481
0601001010,L20815 TXL CAMISON NEV FLUO,CAMISON,201820815784
0601001020,L20806 TL CAMISON NUBES,CAMISON,20182080683
0601001030,L20839 T5 PIJAMA LUNARES,CAMISON,20182083905
0601001040,L20839 T6 PIJAMA LUNARES,CAMISON,20182083906
0601001050,L20839 TL PIJAMA LUNARES,CAMISON,20182083983
0601001060,L20839 TM PIJAMA LUNARES,CAMISON,20182083982
0601001070,L20839 TS PIJAMA LUNARES,CAMISON,20182083981
0601001080,L20839 TXL PIJAMA LUNARES,CAMISON,20182083984
0601001090,L20815/E T5 FUCSIA FLUO,CAMISON,201820815705
0601001100,L20815/E T5 NEV FLUO,CAMISON,2018208152405
0601001110,L20815/E T6 FUCSIA FLUO,CAMISON,201820815706
0601001120,L20815/E T6 NEV FLUO,CAMISON,2018208152406
0601001130,L20834 TL NEGRO,CAMISON,20182083483
0601001140,L20834 TL ROSA,CAMISON,201820834183
0601001150,L20834 TM NEGRO,CAMISON,20182083482
0601001160,L20834 TM ROSA,CAMISON,201820834182
0601001170,L20834 TS NEGRO,CAMISON,20182083481
0601001180,L20834 TS ROSA,CAMISON,201820834281
0601001190,L20834 TXL NEGRO,CAMISON,20182083484
0601001200,L20834 TXL ROSA,CAMISON,201820834184
0601001210,L20834/E T5 CELESTE,CAMISON,201820834205
0601001220,L20834/E T6 CELESTE,CAMISON,201820834206
0601001230,L20834/E T6 ROSA,CAMISON,201820834106
0601001240,L20842 TL VARIOS,CAMISON,2018208421883
0601001250,L20842 TM VARIOS,CAMISON,2018208421882
0601001260,L20842 TS VARIOS,CAMISON,2018208421881
0601001270,L20842 TXL VARIOS,CAMISON,2018208421884
0601001280,L20842/E T5 VARIOS,CAMISON,201820842105
0601001290,L20842/E T6 VARIOS,CAMISON,201820842106
0601001380,L20806/E T5 NUBES,CAMISON,20182080605
0601001390,L20806/E T6 NUBES,CAMISON,20182080606
0601001400,L20814 TL CEBRA,CAMISON,20182081483
0601001410,L20814 TM CEBRA,CAMISON,20182081482
0601001420,L20814 TS CEBRA,CAMISON,20182081481
0601001430,L20814 TXL CEBRA,CAMISON,20182081484
0601001440,L20815 TL FLUO,CAMISON,20182081583
0601001450,L20815 TM FLUO,CAMISON,20182081582
0601001460,L20815 TS FLUO,CAMISON,20182081581
0601001470,L20815 TXL FLUO,CAMISON,20182081584
0601001480,L20815/E T5 FLUO,CAMISON,20182081505
