Codigo,Descripcion,Desca_adicional,Familia,Codigo_barras,marca
0301001340,L80K T1 Negro Calzas,,INDUMENTARIA,790008000102,LIMITLESS
0301001350,L80K T2 Negro Calzas,,INDUMENTARIA,790008000202,LIMITLESS
0301001360,L80K T3 Negro Calzas,,INDUMENTARIA,790008000302,LIMITLESS
0301001370,L80K T4 Negro Calzas,,INDUMENTARIA,790008000402,LIMITLESS
0301001380,L81K T1 Negro Calzas,,INDUMENTARIA,790008100102,LIMITLESS
0301001390,L81K T2 Negro Calzas,,INDUMENTARIA,790008100202,LIMITLESS
0301001400,L81K T3 Negro Calzas,,INDUMENTARIA,790008100302,LIMITLESS
0301001410,L81K T4 Negro Calzas,,INDUMENTARIA,790008100402,LIMITLESS
0301001420,L82K T1 Negro Calzas,,INDUMENTARIA,790008200102,LIMITLESS
0301001430,L82K T2 Negro Calzas,,INDUMENTARIA,790008200202,LIMITLESS
0301001440,L82K T3 Negro Calzas,,INDUMENTARIA,790008200302,LIMITLESS
0301001450,L82K T4 Negro Calzas,,INDUMENTARIA,790008200402,LIMITLESS
0301001460,L90K T1 Azul noche  Calzas,,INDUMENTARIA,790009000115,LIMITLESS
0301001470,L90K T1 Verde Militar Calzas,,INDUMENTARIA,790009000178,LIMITLESS
0301001480,L90K T2 Azul noche  Calzas,,INDUMENTARIA,790009000215,LIMITLESS
0301001490,L90K T2 Verde Militar Calzas,,INDUMENTARIA,790009000278,LIMITLESS
0301001500,L90K T3 Azul noche  Calzas,,INDUMENTARIA,790009000315,LIMITLESS
0301001510,L90K T3 Verde Militar Calzas,,INDUMENTARIA,790009000378,LIMITLESS
0301001520,L90K T4 Azul noche  Calzas,,INDUMENTARIA,790009000415,LIMITLESS
0301001530,L90K T4 Verde Militar Calzas,,INDUMENTARIA,790009000478,LIMITLESS
0301001540,L100K T1 Rosa Fluo Calzas,,INDUMENTARIA,790010000172,LIMITLESS
0301001550,L100K T1 Amarillo Fluo Calzas,,INDUMENTARIA,790010000187,LIMITLESS
0301001560,L100K T2 Rosa Fluo Calzas,,INDUMENTARIA,790010000272,LIMITLESS
0301001570,L100K T2 Amarillo Fluo Calzas,,INDUMENTARIA,790010000287,LIMITLESS
0301001580,L100K T3 Amarillo Fluo Calzas,,INDUMENTARIA,790010000387,LIMITLESS
0301001590,L100K T4 Rosa Fluo Calzas,,INDUMENTARIA,790010000472,LIMITLESS
0301001600,L100K T4 Amarillo Fluo Calzas,,INDUMENTARIA,790010000487,LIMITLESS
0301001610,L100K T3 Rosa Fluo Calzas,,INDUMENTARIA,790010000787,LIMITLESS
0301001620,L101K T1 Rosa Fluo Calzas,,INDUMENTARIA,790010100172,LIMITLESS
0301001630,L101K T1 Amarillo Fluo Calzas,,INDUMENTARIA,790010100187,LIMITLESS
0301001640,L101K T2 Rosa Fluo Calzas,,INDUMENTARIA,790010100272,LIMITLESS
0301001650,L101K T2 Amarillo Fluo Calzas,,INDUMENTARIA,790010100287,LIMITLESS
0301001660,L101K T3 Rosa Fluo Calzas,,INDUMENTARIA,790010100372,LIMITLESS
0301001670,L101K T3 Amarillo Fluo Calzas,,INDUMENTARIA,790010100387,LIMITLESS
0301001680,L101K T4 Rosa Fluo Calzas,,INDUMENTARIA,790010100472,LIMITLESS
0301001690,L101K T4 Amarillo Fluo Calzas,,INDUMENTARIA,790010100487,LIMITLESS
0301001700,L110K T1 Negro Calzas,,INDUMENTARIA,790011000102,LIMITLESS
0301001710,L110K T1 Rosa Calzas,,INDUMENTARIA,790011000189,LIMITLESS
0301001720,L110K T2 Negro Calzas,,INDUMENTARIA,790011000202,LIMITLESS
0301001730,L110K T2 Rosa Calzas,,INDUMENTARIA,790011000289,LIMITLESS
0301001740,L110K T3 Negro Calzas,,INDUMENTARIA,790011000302,LIMITLESS
0301001750,L110K T3 Rosa Calzas,,INDUMENTARIA,790011000389,LIMITLESS
0301001760,L110K T4 Negro Calzas,,INDUMENTARIA,790011000402,LIMITLESS
0301001770,L110K T4 Rosa Calzas,,INDUMENTARIA,790011000489,LIMITLESS
0301001780,L120K T1 Topo Calzas,,INDUMENTARIA,790012000188,LIMITLESS
0301001790,L120K T2 Topo Calzas,,INDUMENTARIA,790012000288,LIMITLESS
0301001800,L120K T3 Topo Calzas,,INDUMENTARIA,790012000388,LIMITLESS
0301001810,L120K T4 Topo Calzas,,INDUMENTARIA,790012000488,LIMITLESS
0301001820,L121K T1 Topo Calzas,,INDUMENTARIA,790012100188,LIMITLESS
0301001830,L121K T2 Topo Calzas,,INDUMENTARIA,790012100288,LIMITLESS
0301001840,L121K T3 Topo Calzas,,INDUMENTARIA,790012100388,LIMITLESS
0301001850,L121K T4 Topo Calzas,,INDUMENTARIA,790012100488,LIMITLESS
0301001860,L130K T1 Gris Calzas,,INDUMENTARIA,790013000100,LIMITLESS
0301001870,L130K T2 Gris Calzas,,INDUMENTARIA,790013000200,LIMITLESS
0301001880,L130K T3 Gris Calzas,,INDUMENTARIA,790013000300,LIMITLESS
0301001890,L130K T4 Gris Calzas,,INDUMENTARIA,790013000400,LIMITLESS
0301001900,L131K T1 Gris Calzas,,INDUMENTARIA,790013100100,LIMITLESS
0301001910,L131K T2 Gris Calzas,,INDUMENTARIA,790013100200,LIMITLESS
0301001920,L131K T3 Gris Calzas,,INDUMENTARIA,790013100300,LIMITLESS
0301001930,L131K T4 Gris Calzas,,INDUMENTARIA,790013100400,LIMITLESS
0301009880,L100K T3 NEGRO-FUCSIA Calzas,CALZA,INDUMENTARIA,790010000372,LIMITLESS
0301013800,L102 T01 Abstract,Calzas,INDUMENTARIA,7900102001109,LIMITLESS
0301013810,L102 T02 Abstract,Calzas,INDUMENTARIA,7900102002109,LIMITLESS
0301013820,L102 T03 Abstract,Calzas,INDUMENTARIA,7900102003109,LIMITLESS
0301013830,L102 T04 Abstract,Calzas,INDUMENTARIA,7900102004109,LIMITLESS
0301013840,L102 T01 Brush,Calzas,INDUMENTARIA,7900102001110,LIMITLESS
0301013850,L102 T02 Brush,Calzas,INDUMENTARIA,7900102002110,LIMITLESS
0301013860,L102 T03 Brush,Calzas,INDUMENTARIA,7900102003110,LIMITLESS
0301013870,L102 T04 Brush,Calzas,INDUMENTARIA,7900102004110,LIMITLESS
0301013880,L102 T01 Vintage flower,Calzas,INDUMENTARIA,7900102001112,LIMITLESS
0301013890,L102 T02 Vintage flower,Calzas,INDUMENTARIA,7900102002112,LIMITLESS
0301013900,L102 T03 Vintage flower,Calzas,INDUMENTARIA,7900102003112,LIMITLESS
0301013910,L102 T04 Vintage flower,Calzas,INDUMENTARIA,7900102004112,LIMITLESS
0301013920,L103 T01 Abstract,Calzas,INDUMENTARIA,7900103001109,LIMITLESS
0301013930,L103 T02 Abstract,Calzas,INDUMENTARIA,7900103002109,LIMITLESS
0301013940,L103 T03 Abstract,Calzas,INDUMENTARIA,7900103003109,LIMITLESS
0301013950,L103 T04 Abstract,Calzas,INDUMENTARIA,7900103004109,LIMITLESS
0301013960,L103 T01 Brush,Calzas,INDUMENTARIA,7900103001110,LIMITLESS
0301013970,L103 T02 Brush,Calzas,INDUMENTARIA,7900103002110,LIMITLESS
0301013980,L103 T03 Brush,Calzas,INDUMENTARIA,7900103003110,LIMITLESS
0301013990,L103 T04 Brush,Calzas,INDUMENTARIA,7900103004110,LIMITLESS
0301014000,L103 T01 Vintage flower,Calzas,INDUMENTARIA,7900103001112,LIMITLESS
