virtuemart_product_id,product_name,product_sku,product_parent_sku,slug,VM_MULTIVARIANT_FIELD_LABEL1,Color,multi_variant_title,multi_variant_fields,product_price,published,category_path,product_desc,Description,peso,Description
,OKEY-Art:11031,0306001350,,OKEY-Art-11031-0306001350,PANTALON,BASICO,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Indumentaria/Okey,"PANTALON OKEY-Art:11031<br />PANTALON - BASICO","11031 PANTALON BASICO FRIZADO",1000,"11031 PANTALON BASICO FRIZADO"
,OKEY-Art:110310,0306001480,,OKEY-Art-110310-0306001480,PANTALON,BASICO,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Indumentaria/Okey,"PANTALON OKEY-Art:110310<br />PANTALON - BASICO","110310 PANTALON BASICO FRIZADO",1000,"110310 PANTALON BASICO FRIZADO"
,OKEY-Art:110310,0306001640,,OKEY-Art-110310-0306001640,PANTALON,BASICO,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Indumentaria/Okey,"PANTALON OKEY-Art:110310<br />PANTALON - BASICO","110310 PANTALON BASICO FRIZADO",1000,"110310 PANTALON BASICO FRIZADO"
,OKEY-Art:11039,0306001430,,OKEY-Art-11039-0306001430,PANTALON,BASICO,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Indumentaria/Okey,"PANTALON OKEY-Art:11039<br />PANTALON - BASICO","11039 PANTALON BASICO FRIZADO",1000,"11039 PANTALON BASICO FRIZADO"
,OKEY-Art:11039,0306001720,,OKEY-Art-11039-0306001720,PANTALON,BASICO,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Indumentaria/Okey,"PANTALON OKEY-Art:11039<br />PANTALON - BASICO","11039 PANTALON BASICO FRIZADO",1000,"11039 PANTALON BASICO FRIZADO"
3367,OKEY-Art:1103OK,0306001630,,OKEY-Art-1103OK-0306001630,T1,PANTALON,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Indumentaria/Okey,"PANTALON OKEY-Art:1103OK<br />T1 - PANTALON","1103OK T1 PANTALON BASICO FRIZ",2,"1103OK T1 PANTALON BASICO FRIZ"
8642,OKEY-Art:1105OK,0306001730,,OKEY-Art-1105OK-0306001730,T1,PANTALON,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Indumentaria/Okey,"PANTALON OKEY-Art:1105OK<br />T1 - PANTALON","1105OK T1 PANTALON RUSTICO BAS",2,"1105OK T1 PANTALON RUSTICO BAS"
8642,OKEY-Art:1105OK,0306001750,,OKEY-Art-1105OK-0306001750,T2,PANTALON,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Indumentaria/Okey,"PANTALON OKEY-Art:1105OK<br />T2 - PANTALON","1105OK T2 PANTALON RUSTICO BAS",3,"1105OK T2 PANTALON RUSTICO BAS"
8642,OKEY-Art:1105OK,0306001760,,OKEY-Art-1105OK-0306001760,T3,PANTALON,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Indumentaria/Okey,"PANTALON OKEY-Art:1105OK<br />T3 - PANTALON","1105OK T3 PANTALON RUSTICO BAS",4,"1105OK T3 PANTALON RUSTICO BAS"
8642,OKEY-Art:1105OK,0306001770,,OKEY-Art-1105OK-0306001770,T4,PANTALON,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Indumentaria/Okey,"PANTALON OKEY-Art:1105OK<br />T4 - PANTALON","1105OK T4 PANTALON RUSTICO BAS",5,"1105OK T4 PANTALON RUSTICO BAS"
8642,OKEY-Art:1105OK,0306001780,,OKEY-Art-1105OK-0306001780,T5,PANTALON,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Indumentaria/Okey,"PANTALON OKEY-Art:1105OK<br />T5 - PANTALON","1105OK T5 PANTALON RUSTICO BAS",6,"1105OK T5 PANTALON RUSTICO BAS"
8642,OKEY-Art:1105OK,0306001790,,OKEY-Art-1105OK-0306001790,T6,PANTALON,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Indumentaria/Okey,"PANTALON OKEY-Art:1105OK<br />T6 - PANTALON","1105OK T6 PANTALON RUSTICO BAS",7,"1105OK T6 PANTALON RUSTICO BAS"
8642,OKEY-Art:1105OK,0306001800,,OKEY-Art-1105OK-0306001800,T7,PANTALON,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Indumentaria/Okey,"PANTALON OKEY-Art:1105OK<br />T7 - PANTALON","1105OK T7 PANTALON RUSTICO BAS",8,"1105OK T7 PANTALON RUSTICO BAS"
8642,OKEY-Art:1105OK,0306001810,,OKEY-Art-1105OK-0306001810,T8,PANTALON,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Indumentaria/Okey,"PANTALON OKEY-Art:1105OK<br />T8 - PANTALON","1105OK T8 PANTALON RUSTICO BAS",9,"1105OK T8 PANTALON RUSTICO BAS"
8642,OKEY-Art:1105OK,0307000440,,OKEY-Art-1105OK-0307000440,T9,PANTALON,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Indumentaria/Okey,"BABUCHA OKEY-Art:1105OK<br />T9 - PANTALON","1105OK T9 PANTALON RUSTICO BAS",9,"1105OK T9 PANTALON RUSTICO BAS"
8642,OKEY-Art:1105OK,0306001740,,OKEY-Art-1105OK-0306001740,T10,PANTALON,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Indumentaria/Okey,"PANTALON OKEY-Art:1105OK<br />T10 - PANTALON","1105OK T10 PANTALON RUSTICO BA",10,"1105OK T10 PANTALON RUSTICO BA"
,OKEY-Art:11381,0306001440,,OKEY-Art-11381-0306001440,PANTALON,POLISAP,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Indumentaria/Okey,"PANTALON OKEY-Art:11381<br />PANTALON - POLISAP","11381 PANTALON POLISAP T1",1000,"11381 PANTALON POLISAP T1"
