virtuemart_product_id,product_name,product_sku,product_parent_sku,slug,VM_MULTIVARIANT_FIELD_LABEL1,Color,multi_variant_title,multi_variant_fields,product_price,published,category_path,product_desc
5537,LARA TEENS-Art:00L,1001000100,,LARA TEENS-Art 00L-1001000100,CATALOGO,LARA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Lenceria de Mujer/Lara Teens, LARA TEENS-Art:00L<br />CATALOGO - LARA
,LARA TEENS-Art:4100L,0101064380,,LARA TEENS-Art 4100L-0101064380,LARA,VARIOS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Lenceria de Mujer/Lara Teens, LARA TEENS-Art:4100L<br />LARA - VARIOS
3396,LARA TEENS-Art:4140L,0101064760,,LARA TEENS-Art 4140L-0101064760,T80,BLANCO,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Lenceria de Mujer/Lara Teens, LARA TEENS-Art:4140L<br />T80 - BLANCO
,LARA TEENS-Art:4140L,0101064800,0101064760,LARA TEENS-Art 4140L-0101064800,T80,FUXIA,,,1.0,Y,, LARA TEENS-Art:4140L<br />T80 - FUXIA
,LARA TEENS-Art:4140L,0101062570,0101064760,LARA TEENS-Art 4140L-0101062570,T80,ROSA,,,1.0,Y,, LARA TEENS-Art:4140L<br />T80 - ROSA
,LARA TEENS-Art:4140L,0101064770,0101064760,LARA TEENS-Art 4140L-0101064770,T85,BLANCO,,,1.0,Y,, LARA TEENS-Art:4140L<br />T85 - BLANCO
,LARA TEENS-Art:4140L,0101064810,0101064760,LARA TEENS-Art 4140L-0101064810,T85,FUXIA,,,1.0,Y,, LARA TEENS-Art:4140L<br />T85 - FUXIA
,LARA TEENS-Art:4140L,0101062580,0101064760,LARA TEENS-Art 4140L-0101062580,T85,ROSA,,,1.0,Y,, LARA TEENS-Art:4140L<br />T85 - ROSA
,LARA TEENS-Art:4140L,0101064780,0101064760,LARA TEENS-Art 4140L-0101064780,T90,BLANCO,,,1.0,Y,, LARA TEENS-Art:4140L<br />T90 - BLANCO
,LARA TEENS-Art:4140L,0101064820,0101064760,LARA TEENS-Art 4140L-0101064820,T90,FUXIA,,,1.0,Y,, LARA TEENS-Art:4140L<br />T90 - FUXIA
,LARA TEENS-Art:4140L,0101062590,0101064760,LARA TEENS-Art 4140L-0101062590,T90,ROSA,,,1.0,Y,, LARA TEENS-Art:4140L<br />T90 - ROSA
,LARA TEENS-Art:4140L,0101064790,0101064760,LARA TEENS-Art 4140L-0101064790,T95,BLANCO,,,1.0,Y,, LARA TEENS-Art:4140L<br />T95 - BLANCO
,LARA TEENS-Art:4140L,0101064830,0101064760,LARA TEENS-Art 4140L-0101064830,T95,FUXIA,,,1.0,Y,, LARA TEENS-Art:4140L<br />T95 - FUXIA
,LARA TEENS-Art:4140L,0101062600,0101064760,LARA TEENS-Art 4140L-0101062600,T95,ROSA,,,1.0,Y,, LARA TEENS-Art:4140L<br />T95 - ROSA
5512,LARA TEENS-Art:4150L,0101064840,,LARA TEENS-Art 4150L-0101064840,T85,BLANCO,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Lenceria de Mujer/Lara Teens, LARA TEENS-Art:4150L<br />T85 - BLANCO
,LARA TEENS-Art:4150L,0101064880,0101064840,LARA TEENS-Art 4150L-0101064880,T85,CELESTE,,,1.0,Y,, LARA TEENS-Art:4150L<br />T85 - CELESTE
,LARA TEENS-Art:4150L,0101064910,0101064840,LARA TEENS-Art 4150L-0101064910,T85,FUXIA,,,1.0,Y,, LARA TEENS-Art:4150L<br />T85 - FUXIA
,LARA TEENS-Art:4150L,0101062610,0101064840,LARA TEENS-Art 4150L-0101062610,T85,ROJO,,,1.0,Y,, LARA TEENS-Art:4150L<br />T85 - ROJO
,LARA TEENS-Art:4150L,0101064850,0101064840,LARA TEENS-Art 4150L-0101064850,T90,BLANCO,,,1.0,Y,, LARA TEENS-Art:4150L<br />T90 - BLANCO
,LARA TEENS-Art:4150L,0101064890,0101064840,LARA TEENS-Art 4150L-0101064890,T90,CELESTE,,,1.0,Y,, LARA TEENS-Art:4150L<br />T90 - CELESTE
,LARA TEENS-Art:4150L,0101064920,0101064840,LARA TEENS-Art 4150L-0101064920,T90,FUXIA,,,1.0,Y,, LARA TEENS-Art:4150L<br />T90 - FUXIA
,LARA TEENS-Art:4150L,0101062620,0101064840,LARA TEENS-Art 4150L-0101062620,T90,ROJO,,,1.0,Y,, LARA TEENS-Art:4150L<br />T90 - ROJO
