CodArt,Descripcion,Descadic,Familia,Codbar,agrup,marca
0305003500,RIO JR T2,SHORT,INDUMENTARIA,RIJR002UNI,SHORT,mallasacrobata
0305003510,CANCUN TS,SHORT,INDUMENTARIA,CANCSMA093,SHORT,mallasacrobata
0305003520,RIO JR T16/18,SHORT,INDUMENTARIA,RIJR003UNI,SHORT,mallasacrobata
0510000010,ARUBA SHORT,SHORT,TRAJES DE BAÑO,ARUBA,SHORT,mallasacrobata
0510000020,ARUBA TXL,SHORT,TRAJES DE BAÑO,ARUBEXLUNI,SHORT,mallasacrobata
0510000030,ARUBA TL,SHORT,TRAJES DE BAÑO,ARUBLARUNI,SHORT,mallasacrobata
0510000040,ARUBA TM,SHORT,TRAJES DE BAÑO,ARUBMEDUNI,SHORT,mallasacrobata
0510000050,ARUBA TS,SHORT,TRAJES DE BAÑO,ARUBSMAUNI,SHORT,mallasacrobata
0510000060,BAHAMASBR T4-6,SHORT,TRAJES DE BAÑO,BAHA0406UNI,SHORT,mallasacrobata
0510000070,BAHAMASBR T8-10,SHORT,TRAJES DE BAÑO,BAHA0810UNI,SHORT,mallasacrobata
0510000080,BAHAMASBR T12-14,SHORT,TRAJES DE BAÑO,BAHA1214UNI,SHORT,mallasacrobata
0510000090,BAHAMASBR TXL,SHORT,TRAJES DE BAÑO,BAHAEXLUNI,SHORT,mallasacrobata
0510000100,BAHAMASBR TL,SHORT,TRAJES DE BAÑO,BAHALARUNI,SHORT,mallasacrobata
0510000110,BAHAMAS SHORT,SHORT,TRAJES DE BAÑO,BAHAMAS,SHORT,mallasacrobata
0510000120,BAHAMASJR JUNIOR SHORT,SHORT,TRAJES DE BAÑO,BAHAMASJR,SHORT,mallasacrobata
0510000130,BAHAMASBR TS,SHORT,TRAJES DE BAÑO,BAHASMAUNI,SHORT,mallasacrobata
0510000140,BAHAMASBR TM,SHORT,TRAJES DE BAÑO,BAHMEDAUNI,SHORT,mallasacrobata
0510000150,BALI SHORT,SHORT,TRAJES DE BAÑO,BALI,SHORT,mallasacrobata
0510000160,BALI TXL,SHORT,TRAJES DE BAÑO,BALIEXLUNI,SHORT,mallasacrobata
0510000170,BALI TL,SHORT,TRAJES DE BAÑO,BALILARUNI,SHORT,mallasacrobata
