virtuemart_product_id,product_name,product_sku,product_parent_sku,slug,VM_MULTIVARIANT_FIELD_LABEL1,Color,multi_variant_title,multi_variant_fields,product_price,published,category_path,product_desc,Description,peso,Description
,mallasacrobata-Art:01BR,0510001930,,mallasacrobata-Art-01BR-0510001930,BRIGITTE,VARIOS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Mallas/Acrobata mallas,SHORT mallasacrobata-Art:01BR<br />BRIGITTE - VARIOS,01BR BRIGITTE,1000,01BR BRIGITTE
,mallasacrobata-Art:02BR,0510001940,,mallasacrobata-Art-02BR-0510001940,BRIGITTE,VARIOS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Mallas/Acrobata mallas,SHORT mallasacrobata-Art:02BR<br />BRIGITTE - VARIOS,02BR BRIGITTE,1000,02BR BRIGITTE
,mallasacrobata-Art:AMALFI,0510003750,,mallasacrobata-Art-AMALFI-0510003750,TS,UNICO,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Mallas/Acrobata mallas, mallasacrobata-Art:AMALFI<br />TS - UNICO,AMALFI TS UNICO,100,AMALFI TS UNICO
,mallasacrobata-Art:AMALFI,0510003760,,mallasacrobata-Art-AMALFI-0510003760,TM,UNICO,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Mallas/Acrobata mallas, mallasacrobata-Art:AMALFI<br />TM - UNICO,AMALFI TM UNICO,105,AMALFI TM UNICO
,mallasacrobata-Art:AMALFI,0510003770,,mallasacrobata-Art-AMALFI-0510003770,TL,UNICO,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Mallas/Acrobata mallas, mallasacrobata-Art:AMALFI<br />TL - UNICO,AMALFI TL UNICO,110,AMALFI TL UNICO
,mallasacrobata-Art:AMALFI,0510003780,,mallasacrobata-Art-AMALFI-0510003780,TXL,UNICO,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Mallas/Acrobata mallas, mallasacrobata-Art:AMALFI<br />TXL - UNICO,AMALFI TXL UNICO,115,AMALFI TXL UNICO
,mallasacrobata-Art:AMALFI,0510003790,,mallasacrobata-Art-AMALFI-0510003790,TXXL,UNICO,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Mallas/Acrobata mallas, mallasacrobata-Art:AMALFI<br />TXXL - UNICO,AMALFI TXXL UNICO,120,AMALFI TXXL UNICO
,mallasacrobata-Art:ARUBA,0510000050,,mallasacrobata-Art-ARUBA-0510000050,TS,VARIOS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Mallas/Acrobata mallas,SHORT mallasacrobata-Art:ARUBA<br />TS - VARIOS,ARUBA TS,100,ARUBA TS
,mallasacrobata-Art:ARUBA,0510000040,,mallasacrobata-Art-ARUBA-0510000040,TM,VARIOS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Mallas/Acrobata mallas,SHORT mallasacrobata-Art:ARUBA<br />TM - VARIOS,ARUBA TM,105,ARUBA TM
,mallasacrobata-Art:ARUBA,0510000030,,mallasacrobata-Art-ARUBA-0510000030,TL,VARIOS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Mallas/Acrobata mallas,SHORT mallasacrobata-Art:ARUBA<br />TL - VARIOS,ARUBA TL,110,ARUBA TL
,mallasacrobata-Art:ARUBA,0510000020,,mallasacrobata-Art-ARUBA-0510000020,TXL,VARIOS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Mallas/Acrobata mallas,SHORT mallasacrobata-Art:ARUBA<br />TXL - VARIOS,ARUBA TXL,115,ARUBA TXL
,mallasacrobata-Art:ARUBA,0510000010,,mallasacrobata-Art-ARUBA-0510000010,SHORT,VARIOS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Mallas/Acrobata mallas,SHORT mallasacrobata-Art:ARUBA<br />SHORT - VARIOS,ARUBA SHORT,1000,ARUBA SHORT
