id_art,SKUCode,codigo,talle,color,peso,marca,Description,AdditionalDescription,familia,BarCode,agrupacion
91057,0305003500,RIO,JR,T2,0,mallasacrobata,"RIO JR T2",SHORT,INDUMENTARIA,RIJR002UNI,SHORT
91058,0305003510,CANCUN,TS,VARIOS,0,mallasacrobata,"CANCUN TS",SHORT,INDUMENTARIA,CANCSMA093,SHORT
91059,0305003520,RIO,JR,T16/18,0,mallasacrobata,"RIO JR T16/18",SHORT,INDUMENTARIA,RIJR003UNI,SHORT
91060,0510000010,ARUBA,SHORT,VARIOS,0,mallasacrobata,"ARUBA SHORT",SHORT,"TRAJES DE BAÑO",ARUBA,SHORT
91061,0510000020,ARUBA,TXL,VARIOS,0,mallasacrobata,"ARUBA TXL",SHORT,"TRAJES DE BAÑO",ARUBEXLUNI,SHORT
91062,0510000030,ARUBA,TL,VARIOS,0,mallasacrobata,"ARUBA TL",SHORT,"TRAJES DE BAÑO",ARUBLARUNI,SHORT
91063,0510000040,ARUBA,TM,VARIOS,0,mallasacrobata,"ARUBA TM",SHORT,"TRAJES DE BAÑO",ARUBMEDUNI,SHORT
91064,0510000050,ARUBA,TS,VARIOS,0,mallasacrobata,"ARUBA TS",SHORT,"TRAJES DE BAÑO",ARUBSMAUNI,SHORT
91065,0510000060,BAHAMASBR,T4-6,VARIOS,0,mallasacrobata,"BAHAMASBR T4-6",SHORT,"TRAJES DE BAÑO",BAHA0406UNI,SHORT
91066,0510000070,BAHAMASBR,T8-10,VARIOS,0,mallasacrobata,"BAHAMASBR T8-10",SHORT,"TRAJES DE BAÑO",BAHA0810UNI,SHORT
91067,0510000080,BAHAMASBR,T12-14,VARIOS,0,mallasacrobata,"BAHAMASBR T12-14",SHORT,"TRAJES DE BAÑO",BAHA1214UNI,SHORT
91068,0510000090,BAHAMASBR,TXL,VARIOS,0,mallasacrobata,"BAHAMASBR TXL",SHORT,"TRAJES DE BAÑO",BAHAEXLUNI,SHORT
91069,0510000100,BAHAMASBR,TL,VARIOS,0,mallasacrobata,"BAHAMASBR TL",SHORT,"TRAJES DE BAÑO",BAHALARUNI,SHORT
91070,0510000110,BAHAMAS,SHORT,VARIOS,0,mallasacrobata,"BAHAMAS SHORT",SHORT,"TRAJES DE BAÑO",BAHAMAS,SHORT
91071,0510000120,BAHAMASJR,JUNIOR,SHORT,0,mallasacrobata,"BAHAMASJR JUNIOR SHORT",SHORT,"TRAJES DE BAÑO",BAHAMASJR,SHORT
91072,0510000130,BAHAMASBR,TS,VARIOS,0,mallasacrobata,"BAHAMASBR TS",SHORT,"TRAJES DE BAÑO",BAHASMAUNI,SHORT
91073,0510000140,BAHAMASBR,TM,VARIOS,0,mallasacrobata,"BAHAMASBR TM",SHORT,"TRAJES DE BAÑO",BAHMEDAUNI,SHORT
91074,0510000150,BALI,SHORT,VARIOS,0,mallasacrobata,"BALI SHORT",SHORT,"TRAJES DE BAÑO",BALI,SHORT
91075,0510000160,BALI,TXL,VARIOS,0,mallasacrobata,"BALI TXL",SHORT,"TRAJES DE BAÑO",BALIEXLUNI,SHORT
91076,0510000170,BALI,TL,VARIOS,0,mallasacrobata,"BALI TL",SHORT,"TRAJES DE BAÑO",BALILARUNI,SHORT
91077,0510000180,BALI,TM,VARIOS,0,mallasacrobata,"BALI TM",SHORT,"TRAJES DE BAÑO",BALIMEDUNI,SHORT
91078,0510000190,BALI,TS,VARIOS,0,mallasacrobata,"BALI TS",SHORT,"TRAJES DE BAÑO",BALISMAUNI,SHORT
91079,0510000200,BARCELONA,SHORT,VARIOS,0,mallasacrobata,"BARCELONA SHORT",SHORT,"TRAJES DE BAÑO",BARCELONA,SHORT
91080,0510000210,BARCELONABR,TXL,VARIOS,0,mallasacrobata,"BARCELONABR TXL",SHORT,"TRAJES DE BAÑO",BARCEXLUNI,SHORT
91081,0510000220,BARCELONABR,TL,VARIOS,0,mallasacrobata,"BARCELONABR TL",SHORT,"TRAJES DE BAÑO",BARCLARUNI,SHORT
91082,0510000230,BARCELONABR,TM,VARIOS,0,mallasacrobata,"BARCELONABR TM",SHORT,"TRAJES DE BAÑO",BARCMEDUNI,SHORT
91083,0510000240,BARCELONABR,TS,VARIOS,0,mallasacrobata,"BARCELONABR TS",SHORT,"TRAJES DE BAÑO",BARCSMAUNI,SHORT
91084,0510000250,BARCELONABR,TXL,VARIOS,0,mallasacrobata,"BARCELONABR TXL",SHORT,"TRAJES DE BAÑO",BARXLAUNI,SHORT
91085,0510000260,CALIFORNIA,JR,T4/6,0,mallasacrobata,"CALIFORNIA JR T4/6",SHORT,"TRAJES DE BAÑO",CAJR001UNI,SHORT
91086,0510000270,CALIFORNIA,JR,T8/10,0,mallasacrobata,"CALIFORNIA JR T8/10",SHORT,"TRAJES DE BAÑO",CAJR002UNI,SHORT
91087,0510000280,CALIFORNIA,JR,T12/14,0,mallasacrobata,"CALIFORNIA JR T12/14",SHORT,"TRAJES DE BAÑO",CAJR003UNI,SHORT
91088,0510000290,CALIFORNIA,JR,T16/18,0,mallasacrobata,"CALIFORNIA JR T16/18",SHORT,"TRAJES DE BAÑO",CAJR004UNI,SHORT
91089,0510000300,CALIFORNIA,TXL,VARIOS,0,mallasacrobata,"CALIFORNIA TXL",SHORT,"TRAJES DE BAÑO",CALIEXLUNI,SHORT
91090,0510000310,CALIFORNIA,SHORT,VARIOS,0,mallasacrobata,"CALIFORNIA SHORT",SHORT,"TRAJES DE BAÑO",CALIFORNIA,SHORT
