CodArt,Descripcion,Descadic,Familia,Codbarra,agrupacion,marca
0303017680,900XY TS JUNGLE,,INDUMENTARIA,09001008,REMERA,xymallas
0303017690,900XY TM JUNGLE,,INDUMENTARIA,09002005,REMERA,xymallas
0303017700,900XY TL JUNGLE,,INDUMENTARIA,09003002,REMERA,xymallas
0303017710,900XY TXL JUNGLE,,INDUMENTARIA,09004009,REMERA,xymallas
0303018220,901XY REMERA TL RIDE,,INDUMENTARIA,09013001,REMERA,xymallas
0303018230,901XY REMERA TXL RIDE,,INDUMENTARIA,09014008,REMERA,xymallas
0303018240,901XY REMERA TS RIDE,,INDUMENTARIA,09011007,REMERA,xymallas
0303018250,901XY REMERA TM RIDE,,INDUMENTARIA,09012004,REMERA,xymallas
0303018260,902XY TS BATICK,REMERA,INDUMENTARIA,90201004,REMERA,xymallas
0303018270,902XY TL BATICK,REMERA,INDUMENTARIA,90203008,REMERA,xymallas
0303018280,902XY TM BATICK,REMERA,INDUMENTARIA,90202001,REMERA,xymallas
0303018290,902XY TXL BATICK,REMERA,INDUMENTARIA,90204005,REMERA,xymallas
0304009520,9050XY T8 MUSCULOSA,MUSCULOSA,INDUMENTARIA,90508004,MUSCULOSA,xymallas
0304009530,9050XY T10 MUSCULOSA,MUSCULOSA,INDUMENTARIA,90501005,MUSCULOSA,xymallas
0304009540,9050XY T12 MUSCULOSA,MUSCULOSA,INDUMENTARIA,90501203,MUSCULOSA,xymallas
0304009550,9050XY T14 MUSCULOSA,MUSCULOSA,INDUMENTARIA,90501401,MUSCULOSA,xymallas
0304009560,9050XY T2 MUSCULOSA,MUSCULOSA,INDUMENTARIA,90502002,MUSCULOSA,xymallas
0304009570,9050XY T4 MUSCULOSA,MUSCULOSA,INDUMENTARIA,90504006,MUSCULOSA,xymallas
0304009580,9050XY T6 MUSCULOSA,MUSCULOSA,INDUMENTARIA,90506000,MUSCULOSA,xymallas
0305002430,202XY T14,SHORT,INDUMENTARIA,02021409,SHORT,xymallas
0305002440,202XY T16,SHORT,INDUMENTARIA,02021607,SHORT,xymallas
0305002450,550XY TS,SHORT,INDUMENTARIA,05501007,SHORT,xymallas
0305002460,550XY TM,SHORT,INDUMENTARIA,05502004,SHORT,xymallas
0305002470,550XY TL,SHORT,INDUMENTARIA,05503001,SHORT,xymallas
0305002480,550XY TXL,SHORT,INDUMENTARIA,05504008,SHORT,xymallas
0305002490,550XY TXXL,SHORT,INDUMENTARIA,05505005,SHORT,xymallas
0305002500,600XY TS,SHORT,INDUMENTARIA,06001001,SHORT,xymallas
0305002510,600XY TM,SHORT,INDUMENTARIA,06002008,SHORT,xymallas
0305002520,600XY TL,SHORT,INDUMENTARIA,06003005,SHORT,xymallas
0305002530,600XY TXL,SHORT,INDUMENTARIA,06004002,SHORT,xymallas
0305002540,600XY TXXL,SHORT,INDUMENTARIA,06005009,SHORT,xymallas
0305002550,602XY TS,SHORT,INDUMENTARIA,06021009,SHORT,xymallas
0305002560,602XY TM,SHORT,INDUMENTARIA,06022006,SHORT,xymallas
0305002570,602XY TL,SHORT,INDUMENTARIA,06023003,SHORT,xymallas
0305002580,602XY TXL,SHORT,INDUMENTARIA,06024000,SHORT,xymallas
0305002590,602XY TXXL,SHORT,INDUMENTARIA,06025007,SHORT,xymallas
0305002600,202XY T12,SHORT,INDUMENTARIA,20201203,SHORT,xymallas
0305002610,202XY T2,SHORT,INDUMENTARIA,20202002,SHORT,xymallas
0305002620,202XY T4,SHORT,INDUMENTARIA,20204006,SHORT,xymallas
0305002630,202XY T6,SHORT,INDUMENTARIA,20206000,SHORT,xymallas
0305002640,202XY T8,SHORT,INDUMENTARIA,20208004,SHORT,xymallas
0305002650,205XY T10,SHORT,INDUMENTARIA,20501006,SHORT,xymallas
0305002660,205XY T12,SHORT,INDUMENTARIA,20501204,SHORT,xymallas
0305002670,205XY T2,SHORT,INDUMENTARIA,20502003,SHORT,xymallas
0305002680,205XY T4,SHORT,INDUMENTARIA,20504007,SHORT,xymallas
0305002690,205XY T6,SHORT,INDUMENTARIA,20506001,SHORT,xymallas
0305002700,205XY T8,SHORT,INDUMENTARIA,20508005,SHORT,xymallas
0305002710,601XY TS,SHORT,INDUMENTARIA,60101006,SHORT,xymallas
0305002720,601XY TM,SHORT,INDUMENTARIA,60102003,SHORT,xymallas
0305002730,601XY TL,SHORT,INDUMENTARIA,60103000,SHORT,xymallas
