virtuemart_product_id,product_name,product_sku,product_parent_sku,slug,VM_MULTIVARIANT_FIELD_LABEL1,Color,multi_variant_title,multi_variant_fields,product_price,published,category_path,product_desc,Description,peso,Description
,dunlop-Art:200D,0702000420,,dunlop-Art-200D-0702000420,DUNLOP,MEDIAS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Dunlop,"1/2 CAÑA dunlop-Art:200D<br />DUNLOP - MEDIAS","200D DUNLOP MEDIAS PACK X 3",1000,"200D DUNLOP MEDIAS PACK X 3"
,dunlop-Art:201D,0701000590,,dunlop-Art-201D-0701000590,DUNLOP,MEDIAS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Dunlop,"SOQUETE dunlop-Art:201D<br />DUNLOP - MEDIAS","201D DUNLOP MEDIAS PACK X 3",1000,"201D DUNLOP MEDIAS PACK X 3"
,dunlop-Art:202D,0702000430,,dunlop-Art-202D-0702000430,DUNLOP,MEDIAS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Dunlop,"1/2 CAÑA dunlop-Art:202D<br />DUNLOP - MEDIAS","202D DUNLOP MEDIAS PACK X 3",1000,"202D DUNLOP MEDIAS PACK X 3"
,dunlop-Art:202DP,0702000440,,dunlop-Art-202DP-0702000440,UNICO,VARIOS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Dunlop,"1/2 CAÑA dunlop-Art:202DP<br />UNICO - VARIOS",202DP,1000,202DP
,dunlop-Art:203D,0701000600,,dunlop-Art-203D-0701000600,DUNLOP,MEDIAS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Dunlop,"SOQUETE dunlop-Art:203D<br />DUNLOP - MEDIAS","203D DUNLOP MEDIAS PACK X 3",1000,"203D DUNLOP MEDIAS PACK X 3"
,dunlop-Art:300D,0702000450,,dunlop-Art-300D-0702000450,MEDIA,CON,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Dunlop,"1/2 CAÑA dunlop-Art:300D<br />MEDIA - CON","300D MEDIA CON CAÑA DE AJUS",1000,"300D MEDIA CON CAÑA DE AJUS"
,dunlop-Art:301D,0701000610,,dunlop-Art-301D-0701000610,SOQUETE,LYCRA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Dunlop,"SOQUETE dunlop-Art:301D<br />SOQUETE - LYCRA","301D SOQUETE LYCRA",1000,"301D SOQUETE LYCRA"
,dunlop-Art:302D,0701000620,,dunlop-Art-302D-0701000620,MEDIA,TOBILLERA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Dunlop,"SOQUETE dunlop-Art:302D<br />MEDIA - TOBILLERA","302D MEDIA TOBILLERA",1000,"302D MEDIA TOBILLERA"
,dunlop-Art:303D,0701000630,,dunlop-Art-303D-0701000630,SOQUETE,CRISTAL,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Dunlop,"SOQUETE dunlop-Art:303D<br />SOQUETE - CRISTAL","303D SOQUETE CRISTAL",1000,"303D SOQUETE CRISTAL"
,dunlop-Art:304D,0701000640,,dunlop-Art-304D-0701000640,SOQUETE,DE,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Dunlop,"SOQUETE dunlop-Art:304D<br />SOQUETE - DE","304D SOQUETE DE DAMA",1000,"304D SOQUETE DE DAMA"
,dunlop-Art:305D,0701000650,,dunlop-Art-305D-0701000650,SOQUETE,ALGODÓN,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Dunlop,"SOQUETE dunlop-Art:305D<br />SOQUETE - ALGODÓN","305D SOQUETE ALGODÓN",1000,"305D SOQUETE ALGODÓN"
1238,dunlop-Art:D100,0702000410,,dunlop-Art-D100-0702000410,DUNLOP,MEDIAS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Dunlop,"1/2 CAÑA dunlop-Art:D100<br />","D100 DUNLOP MEDIAS",1000,"D100 DUNLOP MEDIAS"
1239,dunlop-Art:D101,0701000710,,dunlop-Art-D101-0701000710,DUNLOP,MEDIAS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Dunlop,"SOQUETE dunlop-Art:D101<br />","D101 DUNLOP MEDIAS",1000,"D101 DUNLOP MEDIAS"
1240,dunlop-Art:D102,0702000460,,dunlop-Art-D102-0702000460,DUNLOP,MEDIAS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Dunlop,"1/2 CAÑA dunlop-Art:D102<br />","D102 DUNLOP MEDIAS",1000,"D102 DUNLOP MEDIAS"
1241,dunlop-Art:D103,0702000470,,dunlop-Art-D103-0702000470,DUNLOP,MEDIAS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Dunlop,"1/2 CAÑA dunlop-Art:D103<br />","D103 DUNLOP MEDIAS",1000,"D103 DUNLOP MEDIAS"
1242,dunlop-Art:D104,0701000660,,dunlop-Art-D104-0701000660,DUNLOP,MEDIAS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Dunlop,"SOQUETE dunlop-Art:D104<br />","D104 DUNLOP MEDIAS",1000,"D104 DUNLOP MEDIAS"
1243,dunlop-Art:D105,0702000480,,dunlop-Art-D105-0702000480,DUNLOP,MEDIAS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Dunlop,"1/2 CAÑA dunlop-Art:D105<br />","D105 DUNLOP MEDIAS",1000,"D105 DUNLOP MEDIAS"
1244,dunlop-Art:D106,0702000490,,dunlop-Art-D106-0702000490,DUNLOP,MEDIAS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Dunlop,"1/2 CAÑA dunlop-Art:D106<br />","D106 DUNLOP MEDIAS",1000,"D106 DUNLOP MEDIAS"
1245,dunlop-Art:D107,0702000500,,dunlop-Art-D107-0702000500,DUNLOP,MEDIAS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Dunlop,"1/2 CAÑA dunlop-Art:D107<br />","D107 DUNLOP MEDIAS",1000,"D107 DUNLOP MEDIAS"
1246,dunlop-Art:D108,0701000720,,dunlop-Art-D108-0701000720,DUNLOP,MEDIAS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Dunlop,"SOQUETE dunlop-Art:D108<br />","D108 DUNLOP MEDIAS",1000,"D108 DUNLOP MEDIAS"
1247,dunlop-Art:D109,0701000730,,dunlop-Art-D109-0701000730,DUNLOP,MEDIAS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Dunlop,"SOQUETE dunlop-Art:D109<br />","D109 DUNLOP MEDIAS",1000,"D109 DUNLOP MEDIAS"
1248,dunlop-Art:D110,0701000670,,dunlop-Art-D110-0701000670,DUNLOP,MEDIAS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Dunlop,"SOQUETE dunlop-Art:D110<br />","D110 DUNLOP MEDIAS",1000,"D110 DUNLOP MEDIAS"
1249,dunlop-Art:D111,0701000740,,dunlop-Art-D111-0701000740,SOQUETE,HOMBRE,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Dunlop,"SOQUETE dunlop-Art:D111<br />","D111 SOQUETE HOMBRE",1000,"D111 SOQUETE HOMBRE"
1250,dunlop-Art:D112,0702000510,,dunlop-Art-D112-0702000510,MEDIA,TECNICA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Dunlop,"1/2 CAÑA dunlop-Art:D112<br />","D112 MEDIA TECNICA",1000,"D112 MEDIA TECNICA"
1251,dunlop-Art:D114,0701000750,,dunlop-Art-D114-0701000750,SOQUETE,TENNIS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Dunlop,"SOQUETE dunlop-Art:D114<br />","D114 SOQUETE TENNIS",1000,"D114 SOQUETE TENNIS"
1252,dunlop-Art:D115,0702000520,,dunlop-Art-D115-0702000520,MEDIA,TECNICA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Dunlop,"1/2 CAÑA dunlop-Art:D115<br />","D115 MEDIA TECNICA",1000,"D115 MEDIA TECNICA"
