codart,Descripcion,Descadic,Familia,codbarras,agrupacion,marca
0701000590,201D DUNLOP MEDIAS PACK X 3,SOQUETE,MEDIAS,201D,SOQUETE,dunlop
0701000600,203D DUNLOP MEDIAS PACK X 3,SOQUETE,MEDIAS,203D,SOQUETE,dunlop
0701000610,301D SOQUETE LYCRA,SOQUETE,MEDIAS,301D,SOQUETE,dunlop
0701000620,302D MEDIA TOBILLERA,SOQUETE,MEDIAS,302D,SOQUETE,dunlop
0701000630,303D SOQUETE CRISTAL,SOQUETE,MEDIAS,303D,SOQUETE,dunlop
0701000640,304D SOQUETE DE DAMA,SOQUETE,MEDIAS,304D,SOQUETE,dunlop
0701000650,305D SOQUETE ALGODÓN,SOQUETE,MEDIAS,305D,SOQUETE,dunlop
0701000660,D104 DUNLOP MEDIAS,SOQUETE,MEDIAS,D104,SOQUETE,dunlop
0701000670,D110 DUNLOP MEDIAS,SOQUETE,MEDIAS,D110,SOQUETE,dunlop
0701000680,D117 SOQUTE,SOQUETE,MEDIAS,D117,SOQUETE,dunlop
0701000690,D118 SOQUTE,SOQUETE,MEDIAS,D118,SOQUETE,dunlop
0701000700,D119 SOQUETE ALGODÓN,SOQUETE,MEDIAS,D119,SOQUETE,dunlop
0701000710,D101 DUNLOP MEDIAS,SOQUETE,MEDIAS,D101,SOQUETE,dunlop
0701000720,D108 DUNLOP MEDIAS,SOQUETE,MEDIAS,D108,SOQUETE,dunlop
0701000730,D109 DUNLOP MEDIAS,SOQUETE,MEDIAS,D109,SOQUETE,dunlop
0701000740,D111  SOQUETE HOMBRE,SOQUETE,MEDIAS,D111,SOQUETE,dunlop
0701000750,D114 SOQUETE TENNIS,SOQUETE,MEDIAS,D114,SOQUETE,dunlop
0701000760,D121 MEDIAS DE ALG ELAST,SOQUETE,MEDIAS,D121,SOQUETE,dunlop
0701000770,D124 SOQUETE ALGODÓN,SOQUETE,MEDIAS,D124,SOQUETE,dunlop
0701000780,D125 SOQUETE INV MOCROF,SOQUETE,MEDIAS,D125,SOQUETE,dunlop
0702000410,D100 DUNLOP MEDIAS,1/2 CAÑA,MEDIAS,D100,MEDIA CAÑA,dunlop
0702000420,200D DUNLOP MEDIAS PACK X 3,1/2 CAÑA,MEDIAS,200D,MEDIA CAÑA,dunlop
0702000430,202D DUNLOP MEDIAS PACK X 3,1/2 CAÑA,MEDIAS,202D,MEDIA CAÑA,dunlop
0702000440,202DP,1/2 CAÑA,MEDIAS,202DP,MEDIA CAÑA,dunlop
0702000450,300D MEDIA CON CAÑA DE AJUS,1/2 CAÑA,MEDIAS,300D,MEDIA CAÑA,dunlop
0702000460,D102 DUNLOP MEDIAS,1/2 CAÑA,MEDIAS,D102,MEDIA CAÑA,dunlop
0702000470,D103 DUNLOP MEDIAS,1/2 CAÑA,MEDIAS,D103,MEDIA CAÑA,dunlop
0702000480,D105 DUNLOP MEDIAS,1/2 CAÑA,MEDIAS,D105,MEDIA CAÑA,dunlop
0702000490,D106 DUNLOP MEDIAS,1/2 CAÑA,MEDIAS,D106,MEDIA CAÑA,dunlop
0702000500,D107 DUNLOP MEDIAS,1/2 CAÑA,MEDIAS,D107,MEDIA CAÑA,dunlop
0702000510,D112 MEDIA TECNICA,1/2 CAÑA,MEDIAS,D112,MEDIA CAÑA,dunlop
0702000520,D115 MEDIA TECNICA,1/2 CAÑA,MEDIAS,D115,MEDIA CAÑA,dunlop
0702000530,D116 MEDIA C CAÑA,1/2 CAÑA,MEDIAS,D116,MEDIA CAÑA,dunlop
0702000540,D120 MEDIA ALGODÓN,1/2 CAÑA,MEDIAS,D120,MEDIA CAÑA,dunlop
0702000550,D122 MEDIA DE ALG. CAÑA ALT,1/2 CAÑA,MEDIAS,D122,MEDIA CAÑA,dunlop
0702002530,D77,MEDIA,MEDIAS,D77,MEDIA CAÑA,dunlop
0709000010,D123 ALTO INVIERN,ALTO,MEDIAS,D123,ALTA CAÑA,dunlop
0709000020,D126 ALTO INVIER MED ALG,ALTO,MEDIAS,D126,ALTA CAÑA,dunlop
0709000030,D127 ALTO INVIER MED ALG,ALTO,MEDIAS,D127,ALTA CAÑA,dunlop
0709000040,D128 ALTO INVIER MED ALG,ALTO,MEDIAS,D128,ALTA CAÑA,dunlop
0710000020,DT01  MEDIAS TERMICA,TERMICA,MEDIAS,DT01,TERMICA,dunlop
0710000030,DT02  MEDIAS TERMICA,TERMICA,MEDIAS,DT02,TERMICA,dunlop
0710000040,DT03  MEDIAS TERMICA,TERMICA,MEDIAS,DT03,TERMICA,dunlop
