virtuemart_product_id,product_name,product_sku,product_parent_sku,slug,VM_MULTIVARIANT_FIELD_LABEL1,Color,multi_variant_title,multi_variant_fields,product_price,published,category_path,product_desc,Description,peso,Description
,joma-Art:J5000,0704000190,,joma-Art-J5000-0704000190,MEDIAS,JOMA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Joma,"DEPORTIVA joma-Art:J5000<br />MEDIAS - JOMA","J5000 MEDIAS JOMA",1000,"J5000 MEDIAS JOMA"
,joma-Art:J5001,0704000200,,joma-Art-J5001-0704000200,MEDIAS,JOMA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Joma,"DEPORTIVA joma-Art:J5001<br />MEDIAS - JOMA","J5001 MEDIAS JOMA",1000,"J5001 MEDIAS JOMA"
,joma-Art:J5002,0704000210,,joma-Art-J5002-0704000210,MEDIAS,JOMA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Joma,"DEPORTIVA joma-Art:J5002<br />MEDIAS - JOMA","J5002 MEDIAS JOMA",1000,"J5002 MEDIAS JOMA"
,joma-Art:J5003,0704000220,,joma-Art-J5003-0704000220,MEDIAS,JOMA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Joma,"DEPORTIVA joma-Art:J5003<br />MEDIAS - JOMA","J5003 MEDIAS JOMA",1000,"J5003 MEDIAS JOMA"
,joma-Art:J5004,0704000230,,joma-Art-J5004-0704000230,MEDIAS,JOMA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Joma,"DEPORTIVA joma-Art:J5004<br />MEDIAS - JOMA","J5004 MEDIAS JOMA",1000,"J5004 MEDIAS JOMA"
2813,joma-Art:J5005,0704000240,,joma-Art-J5005-0704000240,MEDIAS,JOMA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Joma,"DEPORTIVA joma-Art:J5005<br />Medias","J5005 MEDIAS JOMA",1000,"J5005 MEDIAS JOMA"
2814,joma-Art:J5006,0704000250,,joma-Art-J5006-0704000250,MEDIAS,JOMA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Joma,"DEPORTIVA joma-Art:J5006<br />Medias","J5006 MEDIAS JOMA",1000,"J5006 MEDIAS JOMA"
,joma-Art:J5007,0704000260,,joma-Art-J5007-0704000260,MEDIAS,JOMA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Joma,"DEPORTIVA joma-Art:J5007<br />MEDIAS - JOMA","J5007 MEDIAS JOMA",1000,"J5007 MEDIAS JOMA"
2815,joma-Art:J5008,0704000270,,joma-Art-J5008-0704000270,MEDIAS,JOMA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Joma,"DEPORTIVA joma-Art:J5008<br />Medias","J5008 MEDIAS JOMA",1000,"J5008 MEDIAS JOMA"
2816,joma-Art:J5009,0704000280,,joma-Art-J5009-0704000280,MEDIAS,JOMA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Joma,"DEPORTIVA joma-Art:J5009<br />Medias","J5009 MEDIAS JOMA",1000,"J5009 MEDIAS JOMA"
2817,joma-Art:J5010,0704000290,,joma-Art-J5010-0704000290,MEDIAS,JOMA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Joma,"DEPORTIVA joma-Art:J5010<br />Medias","J5010 MEDIAS JOMA",1000,"J5010 MEDIAS JOMA"
2818,joma-Art:J5011,0704000300,,joma-Art-J5011-0704000300,MEDIAS,JOMA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Joma,"DEPORTIVA joma-Art:J5011<br />Medias","J5011 MEDIAS JOMA",1000,"J5011 MEDIAS JOMA"
2819,joma-Art:J5012,0704000310,,joma-Art-J5012-0704000310,MEDIAS,JOMA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Joma,"DEPORTIVA joma-Art:J5012<br />Medias","J5012 MEDIAS JOMA",1000,"J5012 MEDIAS JOMA"
2820,joma-Art:J5013,0704000320,,joma-Art-J5013-0704000320,MEDIAS,JOMA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Joma,"DEPORTIVA joma-Art:J5013<br />Medias","J5013 MEDIAS JOMA",1000,"J5013 MEDIAS JOMA"
2821,joma-Art:J5014,0704000330,,joma-Art-J5014-0704000330,MEDIAS,JOMA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Joma,"DEPORTIVA joma-Art:J5014<br />Medias","J5014 MEDIAS JOMA",1000,"J5014 MEDIAS JOMA"
2822,joma-Art:J5015,0704000340,,joma-Art-J5015-0704000340,MEDIAS,JOMA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Joma,"DEPORTIVA joma-Art:J5015<br />Medias","J5015 MEDIAS JOMA",1000,"J5015 MEDIAS JOMA"
2823,joma-Art:J5016,0704000350,,joma-Art-J5016-0704000350,MEDIAS,JOMA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Joma,"DEPORTIVA joma-Art:J5016<br />Medias","J5016 MEDIAS JOMA",1000,"J5016 MEDIAS JOMA"
2824,joma-Art:J5017,0704000360,,joma-Art-J5017-0704000360,MEDIAS,JOMA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Joma,"DEPORTIVA joma-Art:J5017<br />Medias","J5017 MEDIAS JOMA",1000,"J5017 MEDIAS JOMA"
2825,joma-Art:J5018,0704000370,,joma-Art-J5018-0704000370,MEDIAS,JOMA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Joma,"DEPORTIVA joma-Art:J5018<br />Medias","J5018 MEDIAS JOMA",1000,"J5018 MEDIAS JOMA"
2826,joma-Art:J5019,0704000380,,joma-Art-J5019-0704000380,MEDIAS,JOMA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Joma,"DEPORTIVA joma-Art:J5019<br />Medias","J5019 MEDIAS JOMA",1000,"J5019 MEDIAS JOMA"
2827,joma-Art:J5020,0704000390,,joma-Art-J5020-0704000390,MEDIAS,JOMA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Joma,"DEPORTIVA joma-Art:J5020<br />Medias","J5020 MEDIAS JOMA",1000,"J5020 MEDIAS JOMA"
2828,joma-Art:J5021,0704000400,,joma-Art-J5021-0704000400,MEDIAS,JOMA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Joma,"DEPORTIVA joma-Art:J5021<br />Medias","J5021 MEDIAS JOMA",1000,"J5021 MEDIAS JOMA"
2829,joma-Art:J5022,0704000410,,joma-Art-J5022-0704000410,MEDIAS,JOMA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Joma,"DEPORTIVA joma-Art:J5022<br />Medias","J5022 MEDIAS JOMA",1000,"J5022 MEDIAS JOMA"
2830,joma-Art:J5023,0704000420,,joma-Art-J5023-0704000420,MEDIAS,JOMA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Joma,"DEPORTIVA joma-Art:J5023<br />Medias","J5023 MEDIAS JOMA",1000,"J5023 MEDIAS JOMA"
,joma-Art:J5024,0704005130,,joma-Art-J5024-0704005130,MEDIAS,JOMA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Joma,"MEDIA joma-Art:J5024<br />MEDIAS - JOMA","J5024 MEDIAS JOMA",1000,"J5024 MEDIAS JOMA"
,joma-Art:J6000,0704000430,,joma-Art-J6000-0704000430,MEDIAS,JOMA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Joma,"DEPORTIVA joma-Art:J6000<br />MEDIAS - JOMA","J6000 MEDIAS JOMA",1000,"J6000 MEDIAS JOMA"
,joma-Art:J6001,0704005140,,joma-Art-J6001-0704005140,MEDIAS,JOMA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Joma,"MEDIA joma-Art:J6001<br />MEDIAS - JOMA","J6001 MEDIAS JOMA",1000,"J6001 MEDIAS JOMA"
2832,joma-Art:J7000,0704000440,,joma-Art-J7000-0704000440,MEDIAS,JOMA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Joma,"DEPORTIVA joma-Art:J7000<br />Medias","J7000 MEDIAS JOMA",1000,"J7000 MEDIAS JOMA"
2833,joma-Art:J7003,0704000450,,joma-Art-J7003-0704000450,MEDIAS,JOMA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Joma,"DEPORTIVA joma-Art:J7003<br />Medias","J7003 MEDIAS JOMA",1000,"J7003 MEDIAS JOMA"
2831,joma-Art:J7004,0704000460,,joma-Art-J7004-0704000460,MEDIAS,JOMA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Joma,"DEPORTIVA joma-Art:J7004<br />Medias","J7004 MEDIAS JOMA",1000,"J7004 MEDIAS JOMA"
