codart,Descripcion,DescAdicional,Familia,Codbarras,Descagrup,marca
0701004680,1501G SOQ. DEP. HOMBRE ONE FEE,SOQUETE,MEDIAS,072354052602,SOQUETE,onefeet
0701004690,1402G SOQ. MAXI DEP. MUJER ONE,SOQUETE,MEDIAS,072354052604,SOQUETE,onefeet
0701004700,1401G SOQ. DEP. MUJER ONE FEET,SOQUETE,MEDIAS,072354052605,SOQUETE,onefeet
0701004710,501R TU SOQUETE RAYADO MUJER,SOQUETE,MEDIAS,076625216331,SOQUETE,onefeet
0701004720,1001R TU SOQUETE RAYADO HOMBRE,SOQUETE,MEDIAS,076625216348,SOQUETE,onefeet
0701004730,1000IC SOQ INVIS CUADRILI ONE,SOQUETE,MEDIAS,0076625257075,SOQUETE,onefeet
0701004740,602LBN TU Dama Micromedia invi,SOQUETE,MEDIAS,0723540525467,SOQUETE,onefeet
0701004750,902LBN TU Hombre Micromedia in,SOQUETE,MEDIAS,0723540525474,SOQUETE,onefeet
0701004760,1503G 1/2 CAÑA DEP. HOMBRE ONE,SOQUETE,MEDIAS,0723540526006,SOQUETE,onefeet
0701004770,1502G SOQ. MAXI DEP. HOMBRE ON,SOQUETE,MEDIAS,0723540526013,SOQUETE,onefeet
0701004780,500DT TU Dama Soquete Alto Ten,SOQUETE,MEDIAS,0723540527867,SOQUETE,onefeet
0701004790,1000DT TU Hombre Soquete Alto,SOQUETE,MEDIAS,0723540527874,SOQUETE,onefeet
0701004800,1401B TU Dama Soquete Deportiv,SOQUETE,MEDIAS,0723540527881,SOQUETE,onefeet
0701004810,1401N TU Dama Soquete Deportiv,SOQUETE,MEDIAS,0723540527898,SOQUETE,onefeet
0701004820,1401BGN TU Dama Soquete Deport,SOQUETE,MEDIAS,0723540527904,SOQUETE,onefeet
0701004830,1402B TU Dama Soquete Alto Ten,SOQUETE,MEDIAS,0723540527911,SOQUETE,onefeet
0701004840,1402N TU Dama Soquete Alto Ten,SOQUETE,MEDIAS,0723540527928,SOQUETE,onefeet
0701004850,1402BGN TU Dama Soquete Alto T,SOQUETE,MEDIAS,0723540527935,SOQUETE,onefeet
0701004860,1501B TU Hombre Soquete Deport,SOQUETE,MEDIAS,0723540527973,SOQUETE,onefeet
