Codart,Descripcion,Descadic,Familia,Codbarras,agrupacion,marca
0201028800,1001WB BOXER,BOXER,LINEA UNDERWARE HOMBRE,1001WB,BOXER,wilson
0201028810,1002WB BOXER,BOXER,LINEA UNDERWARE HOMBRE,1002WB,BOXER,wilson
0201028820,1004WB BOXER,BOXER,LINEA UNDERWARE HOMBRE,1004WB,BOXER,wilson
0201028830,1005WB BOXER,BOXER,LINEA UNDERWARE HOMBRE,1005WB,BOXER,wilson
0201028840,1006WB BOXER,BOXER,LINEA UNDERWARE HOMBRE,1006WB,BOXER,wilson
0201028850,1007WB BOXER,BOXER,LINEA UNDERWARE HOMBRE,1007WB,BOXER,wilson
0201028860,1010WB BOXER,BOXER,LINEA UNDERWARE HOMBRE,1010WB,BOXER,wilson
0201028870,1015WB BOXER,BOXER,LINEA UNDERWARE HOMBRE,1015WB,BOXER,wilson
0201028880,MT5000 BOXER,BOXER,LINEA UNDERWARE HOMBRE,MT5000,BOXER,wilson
0201028890,MT5001 BOXER,BOXER,LINEA UNDERWARE HOMBRE,MT5001,BOXER,wilson
0201028900,MT5002 BOXER,BOXER,LINEA UNDERWARE HOMBRE,MT5002,BOXER,wilson
0201028910,MT5007 BOXER,BOXER,LINEA UNDERWARE HOMBRE,MT5007,BOXER,wilson
0201028920,MT5008 BOXER,BOXER,LINEA UNDERWARE HOMBRE,MT5008,BOXER,wilson
0201028930,MT5010 BOXER,BOXER,LINEA UNDERWARE HOMBRE,MT5010,BOXER,wilson
0201028940,MT5011 BOXER,BOXER,LINEA UNDERWARE HOMBRE,MT5011,BOXER,wilson
0201028950,MT5012 BOXER,BOXER,LINEA UNDERWARE HOMBRE,MT5012,BOXER,wilson
0201028960,MT5104 BOXER,BOXER,LINEA UNDERWARE HOMBRE,MT5104,BOXER,wilson
0201028970,MT5105 BOXER,BOXER,LINEA UNDERWARE HOMBRE,MT5105,BOXER,wilson
0201028980,MT5106 BOXER,BOXER,LINEA UNDERWARE HOMBRE,MT5106,BOXER,wilson
0201028990,MT5107 BOXER,BOXER,LINEA UNDERWARE HOMBRE,MT5107,BOXER,wilson
0201029000,MT5108 BOXER,BOXER,LINEA UNDERWARE HOMBRE,MT5108,BOXER,wilson
0201029010,MT5200 BOXER,BOXER,LINEA UNDERWARE HOMBRE,MT5200,BOXER,wilson
0201029020,MT6000 BOXER X 2,BOXER,LINEA UNDERWARE HOMBRE,MT6000,BOXER,wilson
0201029030,WB2000W CALZA,BOXER,LINEA UNDERWARE HOMBRE,WB2000W,BOXER,wilson
0201037200,1306WM   BOXER,BOXER,LINEA UNDERWARE HOMBRE,1306WM,BOXER,wilson
0301007210,2000WB  CALZA,CALZA,INDUMENTARIA,2000WB,CALZA,wilson
0301007220,2001WC  CALZA,CALZA,INDUMENTARIA,2001WC,CALZA,wilson
0301007230,2002WC  CALZA,CALZA,INDUMENTARIA,2002WC,CALZA,wilson
0301007240,2003WC  LEGGINS,CALZA,INDUMENTARIA,2003WC,CALZA,wilson
0301007250,2004WC  LEGGINS,CALZA,INDUMENTARIA,2004WC,CALZA,wilson
0704000970,100W WILSON MEDIAS TENNIS,MED DEPORT,MEDIAS,100W,DEPORTIVA,wilson
0704000980,101W SOQUETE,MED DEPORT,MEDIAS,101W,DEPORTIVA,wilson
0704001000,102W SOQUETE,MED DEPORT,MEDIAS,102W,DEPORTIVA,wilson
0704001020,1031WB BOXER,MED DEPORT,MEDIAS,1031WB,DEPORTIVA,wilson
0704001040,1032W WILSON MEDIAS,MED DEPORT,MEDIAS,1032W,DEPORTIVA,wilson
0704001060,1032WB BOXER,MED DEPORT,MEDIAS,1032WB,DEPORTIVA,wilson
0704001080,1033WB BOXER,MED DEPORT,MEDIAS,1033WB,DEPORTIVA,wilson
0704001100,1035WB BOXER,MED DEPORT,MEDIAS,1035WB,DEPORTIVA,wilson
0704001120,1036WB BOXER,MED DEPORT,MEDIAS,1036WB,DEPORTIVA,wilson
0704001140,1037W WILSON MEDIAS,MED DEPORT,MEDIAS,1037W,DEPORTIVA,wilson
0704001160,1037WB BOXER,MED DEPORT,MEDIAS,1037WB,DEPORTIVA,wilson
0704001180,1038W WILSON MEDIAS,MED DEPORT,MEDIAS,1038W,DEPORTIVA,wilson
0704001200,1038WB BOXER,MED DEPORT,MEDIAS,1038WB,DEPORTIVA,wilson
0704001220,10390W WILSON MEDIAS HOMBRE,MED DEPORT,MEDIAS,10390W,DEPORTIVA,wilson
