virtuemart_product_id,product_name,product_sku,product_parent_sku,slug,VM_MULTIVARIANT_FIELD_LABEL1,Color,multi_variant_title,multi_variant_fields,product_price,published,category_path,product_desc,Description,peso,Description
,wilson-Art:1001WB,0201028800,,wilson-Art-1001WB-0201028800,BOXER,VARIOS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Wilson,"BOXER wilson-Art:1001WB<br />BOXER - VARIOS","1001WB BOXER",1000,"1001WB BOXER"
,wilson-Art:1002WB,0201028810,,wilson-Art-1002WB-0201028810,BOXER,VARIOS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Wilson,"BOXER wilson-Art:1002WB<br />BOXER - VARIOS","1002WB BOXER",1000,"1002WB BOXER"
,wilson-Art:1004WB,0201028820,,wilson-Art-1004WB-0201028820,BOXER,VARIOS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Wilson,"BOXER wilson-Art:1004WB<br />BOXER - VARIOS","1004WB BOXER",1000,"1004WB BOXER"
,wilson-Art:1005WB,0201028830,,wilson-Art-1005WB-0201028830,BOXER,VARIOS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Wilson,"BOXER wilson-Art:1005WB<br />BOXER - VARIOS","1005WB BOXER",1000,"1005WB BOXER"
,wilson-Art:1006WB,0201028840,,wilson-Art-1006WB-0201028840,BOXER,VARIOS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Wilson,"BOXER wilson-Art:1006WB<br />BOXER - VARIOS","1006WB BOXER",1000,"1006WB BOXER"
,wilson-Art:1007WB,0201028850,,wilson-Art-1007WB-0201028850,BOXER,VARIOS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Wilson,"BOXER wilson-Art:1007WB<br />BOXER - VARIOS","1007WB BOXER",1000,"1007WB BOXER"
,wilson-Art:100W,0704000970,,wilson-Art-100W-0704000970,WILSON,MEDIAS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Wilson,"MED DEPORT wilson-Art:100W<br />WILSON - MEDIAS","100W WILSON MEDIAS TENNIS",1000,"100W WILSON MEDIAS TENNIS"
,wilson-Art:1010WB,0201028860,,wilson-Art-1010WB-0201028860,BOXER,VARIOS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Wilson,"BOXER wilson-Art:1010WB<br />BOXER - VARIOS","1010WB BOXER",1000,"1010WB BOXER"
,wilson-Art:1015WB,0201028870,,wilson-Art-1015WB-0201028870,BOXER,VARIOS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Wilson,"BOXER wilson-Art:1015WB<br />BOXER - VARIOS","1015WB BOXER",1000,"1015WB BOXER"
,wilson-Art:101W,0704000980,,wilson-Art-101W-0704000980,SOQUETE,VARIOS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Wilson,"MED DEPORT wilson-Art:101W<br />SOQUETE - VARIOS","101W SOQUETE",1000,"101W SOQUETE"
,wilson-Art:102W,0704001000,,wilson-Art-102W-0704001000,SOQUETE,VARIOS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Wilson,"MED DEPORT wilson-Art:102W<br />SOQUETE - VARIOS","102W SOQUETE",1000,"102W SOQUETE"
,wilson-Art:1031WB,0704001020,,wilson-Art-1031WB-0704001020,BOXER,VARIOS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Wilson,"MED DEPORT wilson-Art:1031WB<br />BOXER - VARIOS","1031WB BOXER",1000,"1031WB BOXER"
,wilson-Art:1032W,0704001040,,wilson-Art-1032W-0704001040,WILSON,MEDIAS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Wilson,"MED DEPORT wilson-Art:1032W<br />WILSON - MEDIAS","1032W WILSON MEDIAS",1000,"1032W WILSON MEDIAS"
,wilson-Art:1032WB,0704001060,,wilson-Art-1032WB-0704001060,BOXER,VARIOS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Wilson,"MED DEPORT wilson-Art:1032WB<br />BOXER - VARIOS","1032WB BOXER",1000,"1032WB BOXER"
,wilson-Art:1033WB,0704001080,,wilson-Art-1033WB-0704001080,BOXER,VARIOS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Wilson,"MED DEPORT wilson-Art:1033WB<br />BOXER - VARIOS","1033WB BOXER",1000,"1033WB BOXER"
,wilson-Art:1035WB,0704001100,,wilson-Art-1035WB-0704001100,BOXER,VARIOS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Wilson,"MED DEPORT wilson-Art:1035WB<br />BOXER - VARIOS","1035WB BOXER",1000,"1035WB BOXER"
,wilson-Art:1036WB,0704001120,,wilson-Art-1036WB-0704001120,BOXER,VARIOS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Wilson,"MED DEPORT wilson-Art:1036WB<br />BOXER - VARIOS","1036WB BOXER",1000,"1036WB BOXER"
,wilson-Art:1037W,0704001140,,wilson-Art-1037W-0704001140,WILSON,MEDIAS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Wilson,"MED DEPORT wilson-Art:1037W<br />WILSON - MEDIAS","1037W WILSON MEDIAS",1000,"1037W WILSON MEDIAS"
,wilson-Art:1037WB,0704001160,,wilson-Art-1037WB-0704001160,BOXER,VARIOS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Wilson,"MED DEPORT wilson-Art:1037WB<br />BOXER - VARIOS","1037WB BOXER",1000,"1037WB BOXER"
,wilson-Art:1038W,0704001180,,wilson-Art-1038W-0704001180,WILSON,MEDIAS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Wilson,"MED DEPORT wilson-Art:1038W<br />WILSON - MEDIAS","1038W WILSON MEDIAS",1000,"1038W WILSON MEDIAS"
,wilson-Art:1038WB,0704001200,,wilson-Art-1038WB-0704001200,BOXER,VARIOS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Wilson,"MED DEPORT wilson-Art:1038WB<br />BOXER - VARIOS","1038WB BOXER",1000,"1038WB BOXER"
,wilson-Art:10390W,0704001220,,wilson-Art-10390W-0704001220,WILSON,MEDIAS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Wilson,"MED DEPORT wilson-Art:10390W<br />WILSON - MEDIAS","10390W WILSON MEDIAS HOMBRE",1000,"10390W WILSON MEDIAS HOMBRE"
,wilson-Art:10391W,0704001240,,wilson-Art-10391W-0704001240,WILSON,MEDIAS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Wilson,"MED DEPORT wilson-Art:10391W<br />WILSON - MEDIAS","10391W WILSON MEDIAS HOMBRE",1000,"10391W WILSON MEDIAS HOMBRE"
,wilson-Art:103W,0704001260,,wilson-Art-103W-0704001260,WILSON,MEDIAS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Wilson,"MED DEPORT wilson-Art:103W<br />WILSON - MEDIAS","103W WILSON MEDIAS RUNNING",1000,"103W WILSON MEDIAS RUNNING"
,wilson-Art:1040WB,0704001280,,wilson-Art-1040WB-0704001280,BOXER,VARIOS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Wilson,"MED DEPORT wilson-Art:1040WB<br />BOXER - VARIOS","1040WB BOXER",1000,"1040WB BOXER"
,wilson-Art:1042WB,0704001300,,wilson-Art-1042WB-0704001300,BOXER,VARIOS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Wilson,"MED DEPORT wilson-Art:1042WB<br />BOXER - VARIOS","1042WB BOXER",1000,"1042WB BOXER"
,wilson-Art:1058W,0704001320,,wilson-Art-1058W-0704001320,WILSON,MEDIAS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Wilson,"MED DEPORT wilson-Art:1058W<br />WILSON - MEDIAS","1058W WILSON MEDIAS",1000,"1058W WILSON MEDIAS"
,wilson-Art:105W,0704001340,,wilson-Art-105W-0704001340,WILSON,MEDIAS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Wilson,"MED DEPORT wilson-Art:105W<br />WILSON - MEDIAS","105W WILSON MEDIAS GOLF",1000,"105W WILSON MEDIAS GOLF"
,wilson-Art:106W,0704001360,,wilson-Art-106W-0704001360,WILSON,MEDIAS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Wilson,"MED DEPORT wilson-Art:106W<br />WILSON - MEDIAS","106W WILSON MEDIAS GOLF",1000,"106W WILSON MEDIAS GOLF"
,wilson-Art:10744SW,0704001380,,wilson-Art-10744SW-0704001380,WILSON,MEDIAS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Wilson,"MED DEPORT wilson-Art:10744SW<br />WILSON - MEDIAS","10744SW WILSON MEDIAS",1000,"10744SW WILSON MEDIAS"
,wilson-Art:10775W,0704001400,,wilson-Art-10775W-0704001400,WILSON,MEDIAS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Wilson,"MED DEPORT wilson-Art:10775W<br />WILSON - MEDIAS","10775W WILSON MEDIAS",1000,"10775W WILSON MEDIAS"
,wilson-Art:1086W,0704001420,,wilson-Art-1086W-0704001420,WILSON,MEDIAS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Wilson,"MED DEPORT wilson-Art:1086W<br />WILSON - MEDIAS","1086W WILSON MEDIAS",1000,"1086W WILSON MEDIAS"
,wilson-Art:110W,0704001440,,wilson-Art-110W-0704001440,ZOQUETE,VARIOS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Wilson,"MED DEPORT wilson-Art:110W<br />ZOQUETE - VARIOS","110W ZOQUETE",1000,"110W ZOQUETE"
,wilson-Art:1117W,0704001460,,wilson-Art-1117W-0704001460,WILSON,MEDIAS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Wilson,"MED DEPORT wilson-Art:1117W<br />WILSON - MEDIAS","1117W WILSON MEDIAS",1000,"1117W WILSON MEDIAS"
,wilson-Art:111W,0704001480,,wilson-Art-111W-0704001480,ZOQUETE,VARIOS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Wilson,"MED DEPORT wilson-Art:111W<br />ZOQUETE - VARIOS","111W ZOQUETE",1000,"111W ZOQUETE"
,wilson-Art:112W,0704001500,,wilson-Art-112W-0704001500,WILSON,MEDIAS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Wilson,"MED DEPORT wilson-Art:112W<br />WILSON - MEDIAS","112W WILSON MEDIAS RUNNING",1000,"112W WILSON MEDIAS RUNNING"
,wilson-Art:11325W,0704001520,,wilson-Art-11325W-0704001520,WILSON,MEDIAS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Wilson,"MED DEPORT wilson-Art:11325W<br />WILSON - MEDIAS","11325W WILSON MEDIAS",1000,"11325W WILSON MEDIAS"
,wilson-Art:1134W,0704001540,,wilson-Art-1134W-0704001540,WILSON,MEDIAS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Wilson,"MED DEPORT wilson-Art:1134W<br />WILSON - MEDIAS","1134W WILSON MEDIAS",1000,"1134W WILSON MEDIAS"
