virtuemart_product_id,product_name,product_sku,product_parent_sku,slug,VM_MULTIVARIANT_FIELD_LABEL1,Color,multi_variant_title,multi_variant_fields,product_price,published,category_path,product_desc,Description,peso,Description
,BIANCA-Art:112799BI,0704001090,,BIANCA-Art-112799BI-0704001090,T1,VERDE,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Bianca Secreta","DEPORTIVA BIANCA-Art:112799BI<br />T1 - VERDE","112799BI T1 VERDE",4,"112799BI T1 VERDE"
,BIANCA-Art:112799BI,0704005160,,BIANCA-Art-112799BI-0704005160,T2,VERDE,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Bianca Secreta","DEPORTIVA BIANCA-Art:112799BI<br />T2 - VERDE","112799BI T2 VERDE",5,"112799BI T2 VERDE"
,BIANCA-Art:112799BI,0704001130,,BIANCA-Art-112799BI-0704001130,T3,VERDE,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Bianca Secreta","DEPORTIVA BIANCA-Art:112799BI<br />T3 - VERDE","112799BI T3 VERDE",6,"112799BI T3 VERDE"
,BIANCA-Art:112799BI,0704005200,,BIANCA-Art-112799BI-0704005200,T4,NEGRO,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Bianca Secreta","DEPORTIVA BIANCA-Art:112799BI<br />T4 - NEGRO","112799BI T4 NEGRO",7,"112799BI T4 NEGRO"
,BIANCA-Art:112799BI,0704001150,,BIANCA-Art-112799BI-0704001150,T4,VERDE,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Bianca Secreta","DEPORTIVA BIANCA-Art:112799BI<br />T4 - VERDE","112799BI T4 VERDE",7,"112799BI T4 VERDE"
,BIANCA-Art:112799BI,0704005190,,BIANCA-Art-112799BI-0704005190,T5,NEGRO,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Bianca Secreta","DEPORTIVA BIANCA-Art:112799BI<br />T5 - NEGRO","112799BI T5 NEGRO",8,"112799BI T5 NEGRO"
,BIANCA-Art:112799BI,0704001170,,BIANCA-Art-112799BI-0704001170,T5,VERDE,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Bianca Secreta","DEPORTIVA BIANCA-Art:112799BI<br />T5 - VERDE","112799BI T5 VERDE",8,"112799BI T5 VERDE"
,BIANCA-Art:11799BI,0704005180,,BIANCA-Art-11799BI-0704005180,T4,NEGRO,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Bianca Secreta","DEPORTIVA BIANCA-Art:11799BI<br />T4 - NEGRO","11799BI T4 NEGRO",7,"11799BI T4 NEGRO"
,BIANCA-Art:12799BI,0704001110,,BIANCA-Art-12799BI-0704001110,T2,NEGRO,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Bianca Secreta","DEPORTIVA BIANCA-Art:12799BI<br />T2 - NEGRO","12799BI T2 NEGRO",5,"12799BI T2 NEGRO"
,BIANCA-Art:12799BI,0704001010,,BIANCA-Art-12799BI-0704001010,T2,VERDE,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Bianca Secreta","DEPORTIVA BIANCA-Art:12799BI<br />T2 - VERDE","12799BI T2 VERDE",5,"12799BI T2 VERDE"
,BIANCA-Art:12799BI,0704005170,,BIANCA-Art-12799BI-0704005170,T3,NEGRO,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Bianca Secreta","DEPORTIVA BIANCA-Art:12799BI<br />T3 - NEGRO","12799BI T3 NEGRO",6,"12799BI T3 NEGRO"
,BIANCA-Art:12799BI,0704000990,,BIANCA-Art-12799BI-0704000990,DEPORTIVA,CON,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Bianca Secreta","DEPORTIVO BIANCA-Art:12799BI<br />DEPORTIVA - CON","12799BI DEPORTIVA CON TIRAS",1000,"12799BI DEPORTIVA CON TIRAS"
,BIANCA-Art:18721BI,0602051540,,BIANCA-Art-18721BI-0602051540,T3,NEGRO,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Bianca Secreta","PIJAMA BIANCA-Art:18721BI<br />T3 - NEGRO","18721BI T3 NEGRO",6,"18721BI T3 NEGRO"
,BIANCA-Art:18724BI,0602051530,,BIANCA-Art-18724BI-0602051530,T2,UNICO,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Bianca Secreta","PIJAMA BIANCA-Art:18724BI<br />T2 - UNICO","18724BI T2 UNICO",5,"18724BI T2 UNICO"
,BIANCA-Art:18725BI,0601005210,,BIANCA-Art-18725BI-0601005210,T2,UNICO,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Bianca Secreta","PIJAMA BIANCA-Art:18725BI<br />T2 - UNICO","18725BI T2 UNICO",5,"18725BI T2 UNICO"
