CodArt,Descripcion,Descadic,Familia,CodigoBarra,agrupacion,marca
0319003700,20622BI T1 BLANCO CAMISETA,CAMISETA,INDUMENTARIA,20622BI1BL,CAMISETA,BIANCA
0319003710,20622BI T2 BLANCO CAMISETA,CAMISETA,INDUMENTARIA,20622BI2BL,CAMISETA,BIANCA
0319003720,20622BI T3 BLANCO CAMISETA,CAMISETA,INDUMENTARIA,20622BI3BL,CAMISETA,BIANCA
0319003730,20622BI T4 BLANCO CAMISETA,CAMISETA,INDUMENTARIA,20622BI4BL,CAMISETA,BIANCA
0319003740,20622BI T1 NEGRO CAMISETA,CAMISETA,INDUMENTARIA,20622BI1NG,CAMISETA,BIANCA
0319003750,20622BI T2 NEGRO CAMISETA,CAMISETA,INDUMENTARIA,20622BI2NG,CAMISETA,BIANCA
0319003760,20622BI T3 NEGRO CAMISETA,CAMISETA,INDUMENTARIA,20622BI3NG,CAMISETA,BIANCA
0319003770,20622BI T4 NEGRO CAMISETA,CAMISETA,INDUMENTARIA,20622BI4NG,CAMISETA,BIANCA
0319003780,20622BI T1 LADRILLO CAMISETA,CAMISETA,INDUMENTARIA,20622BI1LAD,CAMISETA,BIANCA
0319003790,20622BI T2 LADRILLO CAMISETA,CAMISETA,INDUMENTARIA,20622BI2LAD,CAMISETA,BIANCA
0319003800,20622BI T3 LADRILLO CAMISETA,CAMISETA,INDUMENTARIA,20622BI3LAD,CAMISETA,BIANCA
0319003810,20622BI T4 LADRILLO CAMISETA,CAMISETA,INDUMENTARIA,20622BI4LAD,CAMISETA,BIANCA
0319003820,20622BI T1 VIOLETA MELANGE,CAMISETA,INDUMENTARIA,20622BI1VI,CAMISETA,BIANCA
0319003830,20622BI T2 VIOLETA MELANGE,CAMISETA,INDUMENTARIA,20622BI2VI,CAMISETA,BIANCA
0319003840,20622BI T3 VIOLETA MELANGE,CAMISETA,INDUMENTARIA,20622BI3VI,CAMISETA,BIANCA
0319003850,20622BI T4 VIOLETA MELANGE,CAMISETA,INDUMENTARIA,20622BI4VI,CAMISETA,BIANCA
0601002820,18753BI CAMISOLA RASO,PIJAMA,ROPA DE DORMIR,18753BI,CAMISON,BIANCA
0601002830,18754BI BATA RASO,PIJAMA,ROPA DE DORMIR,18754BI,CAMISON,BIANCA
0601002840,18747BI CAMISOLA RASO,PIJAMA,ROPA DE DORMIR,18747BI,CAMISON,BIANCA
0601002850,18748BI BATA RASO,PIJAMA,ROPA DE DORMIR,18748BI,CAMISON,BIANCA
0601002860,18744BI CAMISOLA RASO,PIJAMA,ROPA DE DORMIR,18744BI,CAMISON,BIANCA
0601002870,18743BI PIJAMA RASO,PIJAMA,ROPA DE DORMIR,18743BI,CAMISON,BIANCA
0601002880,18741BI CAMISOLA RASO,PIJAMA,ROPA DE DORMIR,18741BI,CAMISON,BIANCA
0601002890,18740BI PIJAMA RASO,PIJAMA,ROPA DE DORMIR,18740BI,CAMISON,BIANCA
0601002900,18747BI T1 ESTAMPADO,PIJAMA,ROPA DE DORMIR,18747BI1ES,CAMISON,BIANCA
0601002910,18747BI T2 ESTAMPADO,PIJAMA,ROPA DE DORMIR,18747BI2ES,CAMISON,BIANCA
0601002920,18747BI T3 ESTAMPADO,PIJAMA,ROPA DE DORMIR,18747BI3ES,CAMISON,BIANCA
0601002930,18747BI T4 ESTAMPADO,PIJAMA,ROPA DE DORMIR,18747BI4ES,CAMISON,BIANCA
0601002940,18753BI T1  LISO,PIJAMA,ROPA DE DORMIR,18753BI1LIS,CAMISON,BIANCA
0601002950,18753BI T2  LISO,PIJAMA,ROPA DE DORMIR,18753BI2LIS,CAMISON,BIANCA
0601002960,18753BI T3  LISO,PIJAMA,ROPA DE DORMIR,18753BI3LIS,CAMISON,BIANCA
0601002970,18753BI T4 LISO,PIJAMA,ROPA DE DORMIR,18753BI4LIS,CAMISON,BIANCA
