CodArticulo,Descripcion,DescAdic,Familia,CodBarras,Marca
0601000120,W291 T06 Gris CAMISON,CAMISON,ROPA DE DORMIR,020029100600,KAURYPIJAMAS
0601000130,W291 T06 Rosa CAMISON,CAMISON,ROPA DE DORMIR,020029100689,KAURYPIJAMAS
0601000140,W291 T08 Celeste CAMISON,CAMISON,ROPA DE DORMIR,020029100891,KAURYPIJAMAS
0601000150,W291 T08 Gris CAMISON,CAMISON,ROPA DE DORMIR,020029100800,KAURYPIJAMAS
0601000160,W291 T08 Rosa CAMISON,CAMISON,ROPA DE DORMIR,020029100889,KAURYPIJAMAS
0601000170,W291 T10 Celeste CAMISON,CAMISON,ROPA DE DORMIR,020029101091,KAURYPIJAMAS
0601000180,W291 T10 Gris CAMISON,CAMISON,ROPA DE DORMIR,020029101000,KAURYPIJAMAS
0601000190,W291 T10 Rosa CAMISON,CAMISON,ROPA DE DORMIR,020029101089,KAURYPIJAMAS
0601000200,W291 T12 Celeste CAMISON,CAMISON,ROPA DE DORMIR,020029101291,KAURYPIJAMAS
0601000210,W291 T12 Gris CAMISON,CAMISON,ROPA DE DORMIR,020029101200,KAURYPIJAMAS
0601000220,W291 T12 Rosa CAMISON,CAMISON,ROPA DE DORMIR,020029101289,KAURYPIJAMAS
0601000230,W289 TUNICO Celeste POLAR,POLAR,ROPA DE DORMIR,780028900091,KAURYPIJAMAS
0601000240,W290 T01 Rosa CAMISON,CAMISON,ROPA DE DORMIR,780029000189,KAURYPIJAMAS
0601000250,W290 T02 Rosa CAMISON,CAMISON,ROPA DE DORMIR,780029000289,KAURYPIJAMAS
0601000260,W290 T03 Rosa CAMISON,CAMISON,ROPA DE DORMIR,780029000389,KAURYPIJAMAS
0601000270,W291 T04 Celeste CAMISON,CAMISON,ROPA DE DORMIR,020029100491,KAURYPIJAMAS
0601000280,W291 T04 Gris CAMISON,CAMISON,ROPA DE DORMIR,020029100400,KAURYPIJAMAS
0601000290,W291 T04 Rosa CAMISON,CAMISON,ROPA DE DORMIR,020029100489,KAURYPIJAMAS
0601000300,W291 T06 Celeste CAMISON,CAMISON,ROPA DE DORMIR,020029100691,KAURYPIJAMAS
0601000310,W291 T14 Celeste CAMISON,CAMISON,ROPA DE DORMIR,020029101491,KAURYPIJAMAS
0601000320,W291 T14 Gris CAMISON,CAMISON,ROPA DE DORMIR,020029101400,KAURYPIJAMAS
0601000330,W291 T14 Rosa CAMISON,CAMISON,ROPA DE DORMIR,020029101489,KAURYPIJAMAS
0602036310,W292 T04 Celeste PIJAMA,PIJAMA,ROPA DE DORMIR,780029200491,KAURYPIJAMAS
0602036320,W292 T04 Gris PIJAMA,PIJAMA,ROPA DE DORMIR,780029200400,KAURYPIJAMAS
0602036330,W292 T06 Celeste PIJAMA,PIJAMA,ROPA DE DORMIR,780029200691,KAURYPIJAMAS
0602036340,W292 T06 Gris PIJAMA,PIJAMA,ROPA DE DORMIR,780029200600,KAURYPIJAMAS
0602036350,W292 T08 Celeste PIJAMA,PIJAMA,ROPA DE DORMIR,780029200891,KAURYPIJAMAS
0602036360,W292 T08 Gris PIJAMA,PIJAMA,ROPA DE DORMIR,780029200800,KAURYPIJAMAS
0602036370,W292 T10 Celeste PIJAMA,PIJAMA,ROPA DE DORMIR,780029201091,KAURYPIJAMAS
0602036380,W292 T10 Gris PIJAMA,PIJAMA,ROPA DE DORMIR,780029201000,KAURYPIJAMAS
0602036390,W292 T12 Celeste PIJAMA,PIJAMA,ROPA DE DORMIR,780029201291,KAURYPIJAMAS
0602036400,W292 T12 Gris PIJAMA,PIJAMA,ROPA DE DORMIR,780029201200,KAURYPIJAMAS
0602036410,W292 T14 Celeste PIJAMA,PIJAMA,ROPA DE DORMIR,780029201491,KAURYPIJAMAS
0602036420,W292 T14 Gris PIJAMA,PIJAMA,ROPA DE DORMIR,780029201400,KAURYPIJAMAS
0602036430,W293 T04 Celeste PIJAMA,PIJAMA,ROPA DE DORMIR,780029300491,KAURYPIJAMAS
0602036440,W293 T04 Gris PIJAMA,PIJAMA,ROPA DE DORMIR,780029300400,KAURYPIJAMAS
0602036450,W293 T04 Rosa PIJAMA,PIJAMA,ROPA DE DORMIR,780029300489,KAURYPIJAMAS
0602036460,W293 T06 Celeste PIJAMA,PIJAMA,ROPA DE DORMIR,780029300691,KAURYPIJAMAS
0602036470,W293 T06 Gris PIJAMA,PIJAMA,ROPA DE DORMIR,780029300600,KAURYPIJAMAS
0602036480,W293 T06 Rosa PIJAMA,PIJAMA,ROPA DE DORMIR,780029300689,KAURYPIJAMAS
0602036490,W293 T08 Celeste PIJAMA,PIJAMA,ROPA DE DORMIR,780029300891,KAURYPIJAMAS
0602036500,W293 T08 Gris PIJAMA,PIJAMA,ROPA DE DORMIR,780029300800,KAURYPIJAMAS
0602036510,W293 T08 Rosa PIJAMA,PIJAMA,ROPA DE DORMIR,780029300889,KAURYPIJAMAS
0602036520,W293 T10 Celeste PIJAMA,PIJAMA,ROPA DE DORMIR,780029301091,KAURYPIJAMAS
0602036530,W293 T10 Gris PIJAMA,PIJAMA,ROPA DE DORMIR,780029301000,KAURYPIJAMAS
0602036540,W293 T10 Rosa PIJAMA,PIJAMA,ROPA DE DORMIR,780029301089,KAURYPIJAMAS
0602036550,W293 T12 Celeste PIJAMA,PIJAMA,ROPA DE DORMIR,780029301291,KAURYPIJAMAS
0602036560,W293 T12 Gris PIJAMA,PIJAMA,ROPA DE DORMIR,780029301200,KAURYPIJAMAS
0602036570,W293 T12 Rosa PIJAMA,PIJAMA,ROPA DE DORMIR,780029301289,KAURYPIJAMAS
0602036580,W293 T14 Celeste PIJAMA,PIJAMA,ROPA DE DORMIR,780029301491,KAURYPIJAMAS
0602036590,W293 T14 Gris PIJAMA,PIJAMA,ROPA DE DORMIR,780029301400,KAURYPIJAMAS
0602036600,W293 T14 Rosa PIJAMA,PIJAMA,ROPA DE DORMIR,780029301489,KAURYPIJAMAS
0602036610,W294 T01 Celeste PIJAMA,PIJAMA,ROPA DE DORMIR,780029400191,KAURYPIJAMAS
0602036620,W294 T01 Gris PIJAMA,PIJAMA,ROPA DE DORMIR,780029400100,KAURYPIJAMAS
0602036630,W294 T01 Rosa PIJAMA,PIJAMA,ROPA DE DORMIR,780029400189,KAURYPIJAMAS
0602036640,W294 T02 Celeste PIJAMA,PIJAMA,ROPA DE DORMIR,780029400291,KAURYPIJAMAS
0602036650,W294 T02 Gris PIJAMA,PIJAMA,ROPA DE DORMIR,780029400200,KAURYPIJAMAS
0602036660,W294 T02 Rosa PIJAMA,PIJAMA,ROPA DE DORMIR,780029400289,KAURYPIJAMAS
0602036670,W294 T03 Celeste PIJAMA,PIJAMA,ROPA DE DORMIR,780029400391,KAURYPIJAMAS
0602036680,W294 T03 Gris PIJAMA,PIJAMA,ROPA DE DORMIR,780029400300,KAURYPIJAMAS
0602036690,W294 T03 Rosa PIJAMA,PIJAMA,ROPA DE DORMIR,780029400389,KAURYPIJAMAS
0602036700,W295 T01 Blanco PIJAMA,PIJAMA,ROPA DE DORMIR,780029500101,KAURYPIJAMAS
0602036710,W295 T02 Blanco PIJAMA,PIJAMA,ROPA DE DORMIR,780029500201,KAURYPIJAMAS
0602036720,W295 T03 Blanco PIJAMA,PIJAMA,ROPA DE DORMIR,780029500301,KAURYPIJAMAS
0602036730,W297 T01 Rosa PIJAMA,PIJAMA,ROPA DE DORMIR,780029700189,KAURYPIJAMAS
0602036740,W297 T02 Rosa PIJAMA,PIJAMA,ROPA DE DORMIR,780029700289,KAURYPIJAMAS
0602036750,W297 T03 Rosa PIJAMA,PIJAMA,ROPA DE DORMIR,780029700389,KAURYPIJAMAS
0602036760,W300 T01 Blanco PIJAMA,PIJAMA,ROPA DE DORMIR,780030000101,KAURYPIJAMAS
0602036770,W300 T01 Negro PIJAMA,PIJAMA,ROPA DE DORMIR,780030000102,KAURYPIJAMAS
0602036780,W300 T02 Blanco PIJAMA,PIJAMA,ROPA DE DORMIR,780030000201,KAURYPIJAMAS
0602036790,W300 T02 Negro PIJAMA,PIJAMA,ROPA DE DORMIR,780030000202,KAURYPIJAMAS
0602036800,W300 T03 Blanco PIJAMA,PIJAMA,ROPA DE DORMIR,780030000301,KAURYPIJAMAS
0602036810,W300 T03 Negro PIJAMA,PIJAMA,ROPA DE DORMIR,780030000302,KAURYPIJAMAS
0602036820,W289K TUNICO ROSA,POLAR,ROPA DE DORMIR,780028900089,KAURYPIJAMAS
0604000050,W296 TUNICO Queen ANTIFAZ,ANTIFAZ,ROPA DE DORMIR,780029600094,KAURYPIJAMAS
