virtuemart_product_id,product_name,product_sku,product_parent_sku,slug,VM_MULTIVARIANT_FIELD_LABEL1,Color,multi_variant_title,multi_variant_fields,product_price,published,category_path,product_desc
,SIGRY-Art:1005S,0101122340,,SIGRY-Art 1005S-0101122340,BOXER,VARIOS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Lenceria de Mujer/Sigry,CONJUNTO SIGRY-Art:1005S<br />BOXER - VARIOS
,SIGRY-Art:1050S,0101122350,,SIGRY-Art 1050S-0101122350,PELOTA,SIGRY,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Lenceria de Mujer/Sigry,CONJUNTO SIGRY-Art:1050S<br />PELOTA - SIGRY
,SIGRY-Art:1060S,0101122360,,SIGRY-Art 1060S-0101122360,LATA,BELEN,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Lenceria de Mujer/Sigry,CONJUNTO SIGRY-Art:1060S<br />LATA - BELEN
,SIGRY-Art:1171S,0101127130,,SIGRY-Art 1171S-0101127130,T85,BLANCO,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Lenceria de Mujer/Sigry,CONJUNTO SIGRY-Art:1171S<br />T85 - BLANCO
,SIGRY-Art:1171S,0101127140,0101127130,SIGRY-Art 1171S-0101127140,T85,NEGRO,,,1.0,Y,,CONJUNTO SIGRY-Art:1171S<br />T85 - NEGRO
,SIGRY-Art:1171S,0101133430,0101127130,SIGRY-Art 1171S-0101133430,T85,BLANCO,,,1.0,Y,,CONJUNTO SIGRY-Art:1171S<br />T85 - BLANCO
,SIGRY-Art:1171S,0101133470,0101127130,SIGRY-Art 1171S-0101133470,T85,NEGRO,,,1.0,Y,,CONJUNTO SIGRY-Art:1171S<br />T85 - NEGRO
,SIGRY-Art:1171S,0101127150,0101127130,SIGRY-Art 1171S-0101127150,T90,BLANCO,,,1.0,Y,,CONJUNTO SIGRY-Art:1171S<br />T90 - BLANCO
,SIGRY-Art:1171S,0101127160,0101127130,SIGRY-Art 1171S-0101127160,T90,NEGRO,,,1.0,Y,,CONJUNTO SIGRY-Art:1171S<br />T90 - NEGRO
,SIGRY-Art:1171S,0101133440,0101127130,SIGRY-Art 1171S-0101133440,T90,BLANCO,,,1.0,Y,,CONJUNTO SIGRY-Art:1171S<br />T90 - BLANCO
