virtuemart_product_id,product_name,product_sku,product_parent_sku,slug,VM_MULTIVARIANT_FIELD_LABEL1,Color,multi_variant_title,multi_variant_fields,product_price,published,,
5531,TIENTO-Art:00T,1001000170,,TIENTO-Art 00T-1001000170,CATALOGO,TIENTO,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Lenceria de Mujer/Tiento,CATALOGO TIENTO-Art:00T<br />Catálogo de Corseteria y Packs<br />
2720,TIENTO-Art:1001T,0101147940,,TIENTO-Art 1001T-0101147940,T95,BLANCO,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Lenceria de Mujer/Tiento,CONJUNTO TIENTO-Art:1001T<br /><p>SOUTIEN CONFORT TAZA DOBLE SIN ARCO DE ALGODON LYCRA® PREMIUM Y PUNTILLA <br /> Talles: 95 - 100 - 105 - 110 <br /> Colores: BLANCO - NEGRO - HUESO</p>
,TIENTO-Art:1001T,0101147950,0101147940,TIENTO-Art 1001T-0101147950,T95,HUESO,,,1.0,Y,,
,TIENTO-Art:1001T,0101147960,0101147940,TIENTO-Art 1001T-0101147960,T95,NEGRO,,,1.0,Y,,
,TIENTO-Art:1001T,0101147970,0101147940,TIENTO-Art 1001T-0101147970,T100,BLANCO,,,1.0,Y,,
,TIENTO-Art:1001T,0101147980,0101147940,TIENTO-Art 1001T-0101147980,T100,HUESO,,,1.0,Y,,
,TIENTO-Art:1001T,0101147990,0101147940,TIENTO-Art 1001T-0101147990,T100,NEGRO,,,1.0,Y,,
,TIENTO-Art:1001T,0101148000,0101147940,TIENTO-Art 1001T-0101148000,T105,BLANCO,,,1.0,Y,,
,TIENTO-Art:1001T,0101148010,0101147940,TIENTO-Art 1001T-0101148010,T105,HUESO,,,1.0,Y,,
,TIENTO-Art:1001T,0101148020,0101147940,TIENTO-Art 1001T-0101148020,T105,NEGRO,,,1.0,Y,,
,TIENTO-Art:1001T,0101148030,0101147940,TIENTO-Art 1001T-0101148030,T110,BLANCO,,,1.0,Y,,
,TIENTO-Art:1001T,0101148040,0101147940,TIENTO-Art 1001T-0101148040,T110,HUESO,,,1.0,Y,,
,TIENTO-Art:1001T,0101148050,0101147940,TIENTO-Art 1001T-0101148050,T110,NEGRO,,,1.0,Y,,
7096,TIENTO-Art:1003T,0102012620,,TIENTO-Art 1003T-0102012620,T95,BLANCO,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Lenceria de Mujer/Tiento,"CORPIÑO TIENTO-Art:1003T<br />Soutien maternal de algodón y lycra.<br /> 
Talles: 95 - 100 - 105 - 110 <br />
Colores: BLANCO - NEGRO - MELANGE"
,TIENTO-Art:1003T,0101166630,0102012620,TIENTO-Art 1003T-0101166630,T95,BLANCO,,,1.0,Y,,
,TIENTO-Art:1003T,0101166640,0102012620,TIENTO-Art 1003T-0101166640,T95,MELANGE,,,1.0,Y,,
,TIENTO-Art:1003T,0102012630,0102012620,TIENTO-Art 1003T-0102012630,T95,NEGRO,,,1.0,Y,,
,TIENTO-Art:1003T,0102012590,0102012620,TIENTO-Art 1003T-0102012590,T100,BLANCO,,,1.0,Y,,
,TIENTO-Art:1003T,0102012640,0102012620,TIENTO-Art 1003T-0102012640,T100,MELANGE,,,1.0,Y,,
,TIENTO-Art:1003T,0102012580,0102012620,TIENTO-Art 1003T-0102012580,T100,NEGRO,,,1.0,Y,,
,TIENTO-Art:1003T,0102012570,0102012620,TIENTO-Art 1003T-0102012570,T105,BLANCO,,,1.0,Y,,
,TIENTO-Art:1003T,0102012560,0102012620,TIENTO-Art 1003T-0102012560,SOUTIEN,MATERNAL,,,1.0,Y,,
,TIENTO-Art:1003T,0102012650,0102012620,TIENTO-Art 1003T-0102012650,T105,MELANGE,,,1.0,Y,,
,TIENTO-Art:1003T,0102012600,0102012620,TIENTO-Art 1003T-0102012600,T105,NEGRO,,,1.0,Y,,
,TIENTO-Art:1003T,0102012660,0102012620,TIENTO-Art 1003T-0102012660,T110,BLANCO,,,1.0,Y,,
,TIENTO-Art:1003T,0102012670,0102012620,TIENTO-Art 1003T-0102012670,T110,MELANGE,,,1.0,Y,,
,TIENTO-Art:1003T,0102012610,0102012620,TIENTO-Art 1003T-0102012610,T110,NEGRO,,,1.0,Y,,
,TIENTO-Art:1003T,0102012680,0102012620,TIENTO-Art 1003T-0102012680,T115,BLANCO,,,1.0,Y,,
,TIENTO-Art:1003T,0102012690,0102012620,TIENTO-Art 1003T-0102012690,T115,MELANGE,,,1.0,Y,,
