codigo,Descripcion,Desc_adicional,Familia,agrupacion,Cod_barras
0201029040,1002XY T10,BOXER,LINEA UNDERWARE HOMBRE,BOXER,10021002
0201029050,1002XY T12,BOXER,LINEA UNDERWARE HOMBRE,BOXER,10021200
0201029060,1002XY T14,BOXER,LINEA UNDERWARE HOMBRE,BOXER,10021408
0201029070,1002XY T2,BOXER,LINEA UNDERWARE HOMBRE,BOXER,10022009
0201029080,1002XY T4,BOXER,LINEA UNDERWARE HOMBRE,BOXER,10024003
0201029090,1002XY T6,BOXER,LINEA UNDERWARE HOMBRE,BOXER,10026007
0201029100,1002XY T8,BOXER,LINEA UNDERWARE HOMBRE,BOXER,10028001
0201029110,1003XY T10,BOXER,LINEA UNDERWARE HOMBRE,BOXER,10031001
0201029120,1003XY T12,BOXER,LINEA UNDERWARE HOMBRE,BOXER,10031209
0201029130,1003XY T2,BOXER,LINEA UNDERWARE HOMBRE,BOXER,10032008
0201029140,1003XY T4,BOXER,LINEA UNDERWARE HOMBRE,BOXER,10034002
0201029150,1003XY T6,BOXER,LINEA UNDERWARE HOMBRE,BOXER,10036006
0201029160,1003XY T8,BOXER,LINEA UNDERWARE HOMBRE,BOXER,10038000
0201029170,1004XY T10,BOXER,LINEA UNDERWARE HOMBRE,BOXER,10041000
0201029180,1004XY T12,BOXER,LINEA UNDERWARE HOMBRE,BOXER,10041208
0201029190,1004XY T2,BOXER,LINEA UNDERWARE HOMBRE,BOXER,10042007
0201029200,1004XY T4,BOXER,LINEA UNDERWARE HOMBRE,BOXER,10044001
0201029210,1004XY T6,BOXER,LINEA UNDERWARE HOMBRE,BOXER,10046005
0201029220,1004XY T8,BOXER,LINEA UNDERWARE HOMBRE,BOXER,10048009
0201029230,1005XY T10,BOXER,LINEA UNDERWARE HOMBRE,BOXER,10051009
0201029240,1005XY T12,BOXER,LINEA UNDERWARE HOMBRE,BOXER,10051207
0201029250,1005XY T2,BOXER,LINEA UNDERWARE HOMBRE,BOXER,10052006
0201029260,1005XY T4,BOXER,LINEA UNDERWARE HOMBRE,BOXER,10054000
0201029270,1005XY T6,BOXER,LINEA UNDERWARE HOMBRE,BOXER,10056004
0201029280,1005XY T8,BOXER,LINEA UNDERWARE HOMBRE,BOXER,10058008
0201029290,1006XY T10,BOXER,LINEA UNDERWARE HOMBRE,BOXER,10061008
0201029300,1006XY T12,BOXER,LINEA UNDERWARE HOMBRE,BOXER,10061206
0201029310,1006XY T14,BOXER,LINEA UNDERWARE HOMBRE,BOXER,10061404
0201029320,1006XY T2,BOXER,LINEA UNDERWARE HOMBRE,BOXER,10062005
0201029330,1006XY T4,BOXER,LINEA UNDERWARE HOMBRE,BOXER,10064009
0201029340,1006XY T6,BOXER,LINEA UNDERWARE HOMBRE,BOXER,10066003
0201029350,1006XY T8,BOXER,LINEA UNDERWARE HOMBRE,BOXER,10068007
0201029360,1010XY T10,BOXER,LINEA UNDERWARE HOMBRE,BOXER,10101001
0201029370,1010XY T12,BOXER,LINEA UNDERWARE HOMBRE,BOXER,10101209
0201029380,1010XY T14,BOXER,LINEA UNDERWARE HOMBRE,BOXER,10101407
0201029390,1010XY T2,BOXER,LINEA UNDERWARE HOMBRE,BOXER,10102008
0201029400,1010XY T4,BOXER,LINEA UNDERWARE HOMBRE,BOXER,10104002
0201029410,1010XY T6,BOXER,LINEA UNDERWARE HOMBRE,BOXER,10106006
