virtuemart_product_id,product_name,product_sku,product_parent_sku,slug,VM_MULTIVARIANT_FIELD_LABEL1,Color,multi_variant_title,multi_variant_fields,product_price,published,category_path,product_desc,Description,peso,Description
,INTELLIGENTBRA-Art:001IN,0801000050,,INTELLIGENTBRA-Art-001IN-0801000050,CLIP,MAGICO,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/INTELLIGENTBRA","ACRILICO INTELLIGENTBRA-Art:001IN<br />CLIP - MAGICO","001IN CLIP MAGICO PACKX8",1000,"001IN CLIP MAGICO PACKX8"
,INTELLIGENTBRA-Art:002INBRETEL,0802000120,,INTELLIGENTBRA-Art-002INBRETEL-0802000120,COMF,VARIOS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/INTELLIGENTBRA","ACRILICO INTELLIGENTBRA-Art:002INBRETEL<br />COMF - VARIOS","002INBRETEL COMF",1000,"002INBRETEL COMF"
,INTELLIGENTBRA-Art:003IN,0801000060,,INTELLIGENTBRA-Art-003IN-0801000060,REGULADOR,PACK,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/INTELLIGENTBRA","ACRILICO INTELLIGENTBRA-Art:003IN<br />REGULADOR - PACK","003IN REGULADOR PACK 3",1000,"003IN REGULADOR PACK 3"
,INTELLIGENTBRA-Art:003IN1,0801000070,,INTELLIGENTBRA-Art-003IN1-0801000070,REGULADOR,C/ELAST,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/INTELLIGENTBRA","ACRILICO INTELLIGENTBRA-Art:003IN1<br />REGULADOR - C/ELAST","003IN1 REGULADOR C/ELAST DE SI",1000,"003IN1 REGULADOR C/ELAST DE SI"
,INTELLIGENTBRA-Art:004IN,0801000080,,INTELLIGENTBRA-Art-004IN-0801000080,REGULADOR,DE,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/INTELLIGENTBRA","ACRILICO INTELLIGENTBRA-Art:004IN<br />REGULADOR - DE","004IN REGULADOR DE CONT PACKX",1000,"004IN REGULADOR DE CONT PACKX"
,INTELLIGENTBRA-Art:005IN,0801000090,,INTELLIGENTBRA-Art-005IN-0801000090,REGULADOR,DE,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/INTELLIGENTBRA","ACRILICO INTELLIGENTBRA-Art:005IN<br />REGULADOR - DE","005IN REGULADOR DE CONT PACK E",1000,"005IN REGULADOR DE CONT PACK E"
,INTELLIGENTBRA-Art:006IN,0801000100,,INTELLIGENTBRA-Art-006IN-0801000100,REG,DE,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/INTELLIGENTBRA","ACRILICO INTELLIGENTBRA-Art:006IN<br />REG - DE","006IN REG DE CONT PACK 3 C EL",1000,"006IN REG DE CONT PACK 3 C EL"
,INTELLIGENTBRA-Art:007IN,0802000130,,INTELLIGENTBRA-Art-007IN-0802000130,6MM,BRETELES,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/INTELLIGENTBRA","BRETEL INTELLIGENTBRA-Art:007IN<br />6MM - BRETELES","007IN 6MM BRETELES DEMONT PACK",1000,"007IN 6MM BRETELES DEMONT PACK"
,INTELLIGENTBRA-Art:007IN1,0802000140,,INTELLIGENTBRA-Art-007IN1-0802000140,10MM,BRETELES,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/INTELLIGENTBRA","BRETEL INTELLIGENTBRA-Art:007IN1<br />10MM - BRETELES","007IN1 10MM BRETELES DESMONT P",1000,"007IN1 10MM BRETELES DESMONT P"
,INTELLIGENTBRA-Art:008IN,0802000150,,INTELLIGENTBRA-Art-008IN-0802000150,BRETELES,DESMONT,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/INTELLIGENTBRA","BRETEL INTELLIGENTBRA-Art:008IN<br />BRETELES - DESMONT","008IN BRETELES DESMONT SPORT P",1000,"008IN BRETELES DESMONT SPORT P"
