virtuemart_product_id,product_name,product_sku,product_parent_sku,slug,VM_MULTIVARIANT_FIELD_LABEL1,Color,multi_variant_title,multi_variant_fields,product_price,published,category_path,product_desc,Description,peso,Description
,arcoiris-Art:BATA,0409000570,,arcoiris-Art-BATA-0409000570,TM,AZUL,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Blanquería/Arco Iris","AIBATFMER6433 arcoiris-Art:BATA<br />TM - AZUL","BATA TM AZUL",105,"BATA TM AZUL"
,arcoiris-Art:BATA,0409000750,,arcoiris-Art-BATA-0409000750,TM,LILA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Blanquería/Arco Iris","AIBATFMER5060 arcoiris-Art:BATA<br />TM - LILA","BATA TM LILA",105,"BATA TM LILA"
,arcoiris-Art:BATA,0409000740,,arcoiris-Art-BATA-0409000740,TM,SALMON,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Blanquería/Arco Iris","AIBATFMER2158 arcoiris-Art:BATA<br />TM - SALMON","BATA TM SALMON",105,"BATA TM SALMON"
,arcoiris-Art:BATA,0409000580,,arcoiris-Art-BATA-0409000580,TL,AZUL,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Blanquería/Arco Iris","AIBA1 arcoiris-Art:BATA<br />TL - AZUL","BATA TL AZUL",110,"BATA TL AZUL"
,arcoiris-Art:BATA,0409000760,,arcoiris-Art-BATA-0409000760,TL,LILA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Blanquería/Arco Iris","AIBATFLAR5060 arcoiris-Art:BATA<br />TL - LILA","BATA TL LILA",110,"BATA TL LILA"
,arcoiris-Art:BATA,0409000730,,arcoiris-Art-BATA-0409000730,TL,SALMON,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Blanquería/Arco Iris","AIBATFLAR2158 arcoiris-Art:BATA<br />TL - SALMON","BATA TL SALMON",110,"BATA TL SALMON"
,arcoiris-Art:BATA,0409000590,,arcoiris-Art-BATA-0409000590,TXL,AZUL,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Blanquería/Arco Iris","AIBATFXLR6433 arcoiris-Art:BATA<br />TXL - AZUL","BATA TXL AZUL",115,"BATA TXL AZUL"
,arcoiris-Art:BATA,0409000770,,arcoiris-Art-BATA-0409000770,TXL,LILA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Blanquería/Arco Iris","AIBATFXLR5060 arcoiris-Art:BATA<br />TXL - LILA","BATA TXL LILA",115,"BATA TXL LILA"
,arcoiris-Art:BATA,0409000720,,arcoiris-Art-BATA-0409000720,TXL,SALMON,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Blanquería/Arco Iris","AIBATFXLR2158 arcoiris-Art:BATA<br />TXL - SALMON","BATA TXL SALMON",115,"BATA TXL SALMON"
,arcoiris-Art:BATA,0409000030,,arcoiris-Art-BATA-0409000030,ARCO,IRIS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Blanquería/Arco Iris","AIBATFMER3121 arcoiris-Art:BATA<br />ARCO - IRIS","BATA ARCO IRIS MEDIUM BORDO 31",1000,"BATA ARCO IRIS MEDIUM BORDO 31"
