Codart,Descripcion,DescAdicional,Familia,CodBarras,agrupacion,marca
0401003030,SA FANTASIA MIXTO JDS 1 SAMMY,FANTMJDSR1SAMMY,BLANQUERIA,7794170005660,SABANA,fantasia
0401003040,SA FANTASIA MIXTO JDC 1 SAMMY,FANTMJDCR1SAMMY,BLANQUERIA,7794170005998,SABANA,fantasia
0401003050,SA FANTASIA MIXTO JDC 1 WEZI,FANTMJDCR1WEZI,BLANQUERIA,7794170006001,SABANA,fantasia
0401003060,SA FANTASIA MIXTO JDC 2 ZIPP,FANTMJDCR2ZIPP,BLANQUERIA,7794170006018,SABANA,fantasia
0401003070,SA FANTASIA MIXTO JDS 1 GAEL,FANTMJDSR1GAEL,BLANQUERIA,7794170006025,SABANA,fantasia
0401003080,SA FANTASIA MIXTO JDC 1 GAEL,FANTMJDCR1GAEL,BLANQUERIA,7794170006247,SABANA,fantasia
0401003090,SA FANTASIA MIXTO JDC 1 IVAN,FANTMJDCR1IVAN,BLANQUERIA,7794170006254,SABANA,fantasia
0401003100,SA FANTASIA MIXTO JDC 1 MELANI,FANTMJDCR1MELANI,BLANQUERIA,7794170006261,SABANA,fantasia
0401003190,SA FANTASIA MIXTO 2PL JUSTIN,FANTMJDCR1JUSTIN,BLANQUERIA,7794170008838,SABANA,fantasia
0401003200,SA FANTASIA MIXTO 2PL WAYNE,FANTMJDCR1WAYNE,BLANQUERIA,7794170008845,SABANA,fantasia
0401003210,SA FANTASIA MIXTO 2PL ADELE,FANTMJDCR3ADELE,BLANQUERIA,7794170008852,SABANA,fantasia
0401003220,SA FANTASIA MIXTO 2PL DIZZY,FANTMJDCR3DIZZY,BLANQUERIA,7794170008869,SABANA,fantasia
0401003230,SA FANTASIA MIXTO 2PL WALL,FANTMJDCR3WALL,BLANQUERIA,7794170008876,SABANA,fantasia
0401003240,SA FANTASIA MIXTO 1PL JUSTIN,FANTMJDSR1JUSTIN,BLANQUERIA,7794170008890,SABANA,fantasia
0401003250,SA FANTASIA MIXTO 1PL WAYNE,FANTMJDSR1WAYNE,BLANQUERIA,7794170008906,SABANA,fantasia
0401003260,SA FANTASIA MIXTO 1PL ADELE,FANTMJDSR3ADELE,BLANQUERIA,7794170008913,SABANA,fantasia
0401003270,SA FANTASIA MIXTO 1PL DIZZY,FANTMJDSR3DIZZY,BLANQUERIA,7794170008920,SABANA,fantasia
0401003280,SA FANTASIA MIXTO 1PL WALL,FANTMJDSR3WALL,BLANQUERIA,7794170008937,SABANA,fantasia
0401003290,SA FANTASIA MIXTO 2PL CARO,FANTMJDCR6CARO,BLANQUERIA,7794170009132,SABANA,fantasia
0401003300,SA FANTASIA MIXTO 1PL CARO,FANTMJDSR6CARO,BLANQUERIA,7794170009149,SABANA,fantasia
0401003330,SA FANTASIA MIXTO JDC 1 BARBAR,FANTMJDCR1BARBAR,BLANQUERIA,7798180147891,SABANA,fantasia
0401003340,SA FANTASIA MIXTO JDC 1 BISTRO,FANTMJDCR1BISTRO,BLANQUERIA,7798180147907,SABANA,fantasia
0401003350,SA FANTASIA 100 ALG JDC 1 CINT,FANTPJDCR1CINTHI,BLANQUERIA,7794170005691,SABANA,fantasia
0401003360,SA FANTASIA 100 ALG JDC 1 CLAR,FANTPJDCR1CLARA,BLANQUERIA,7794170005707,SABANA,fantasia
0401003370,SA FANTASIA 100 ALG JDC 1 DENA,FANTPJDCR1DENARI,BLANQUERIA,7794170005714,SABANA,fantasia
0401003380,SA FANTASIA 100 2PL EDDY,FANTPJDCR1EDDY,BLANQUERIA,7794170005783,SABANA,fantasia
0401003390,SA FANTASIA 100 ALG JDC 1 OMAR,FANTPJDCR1OMAR,BLANQUERIA,7794170005806,SABANA,fantasia
0401003400,SABANA FANTASIA 100 1PL EDDY,FANTPJDSR1EDDY,BLANQUERIA,7794170005820,SABANA,fantasia
0401003410,SABANA PRATA 1PL FABRICIO,PRA15JDSR1FABRIC,BLANQUERIA,7794170006155,SABANA,fantasia
0401003420,SA FANTASIA 100 2PL GRANT,FANTPJDCR2GRANT,BLANQUERIA,7794170009866,SABANA,fantasia
0401003430,SA FANTASIA 100 2PL HECTOR,FANTPJDCR2HECTOR,BLANQUERIA,7794170009873,SABANA,fantasia
0401003440,SA FANTASIA 100 2PL IARA,FANTPJDCR2IARA,BLANQUERIA,7794170009880,SABANA,fantasia
0401003450,SA FANTASIA 100 2PL LENY,FANTPJDCR2LENY,BLANQUERIA,7794170009897,SABANA,fantasia
0401003460,SA FANTASIA 100 2PL LUCILA,FANTPJDCR2LUCILA,BLANQUERIA,7794170009903,SABANA,fantasia
0401003470,SABANA FANTASIA 100 1PL GRANT,FANTPJDSR2GRANT,BLANQUERIA,7794170009910,SABANA,fantasia
0401003480,SABANA FANTASIA 100 1PL HECTOR,FANTPJDSR2HECTOR,BLANQUERIA,7794170009927,SABANA,fantasia
0401003490,SABANA FANTASIA 100 1PL IARA,FANTPJDSR2IARA,BLANQUERIA,7794170009934,SABANA,fantasia
0401003500,SABANA FANTASIA 100 1PL LENY,FANTPJDSR2LENY,BLANQUERIA,7794170009941,SABANA,fantasia
0401003510,SABANA FANTASIA 100 1PL LUCILA,FANTPJDSR2LUCILA,BLANQUERIA,7794170009958,SABANA,fantasia
0401003520,SABANA PRATA 1PL ENZO,PRA15JDSR1ENZO,BLANQUERIA,7794170010060,SABANA,fantasia
0401003530,SABANA PRATA 1PL LUCIO,PRA15JDSR1LUCIO,BLANQUERIA,7794170010077,SABANA,fantasia
0401003540,SABANA PRATA 1PL VINY,PRA15JDSR1VINY,BLANQUERIA,7794170010084,SABANA,fantasia
0401003550,SABANA PRATA 1PL JULIA,PRA15JDSR2JULIA,BLANQUERIA,7794170010091,SABANA,fantasia
0401003560,SABANA PRATA 1PL STELLA,PRA15JDSR2STELLA,BLANQUERIA,7794170010107,SABANA,fantasia
0401003570,SABANA FANTASIA INFANTIL  JDS,FANIPJDSRAUTOS,BLANQUERIA,7794170014068,SABANA,fantasia
0401003580,SABANA FANTASIA INFANTIL  JDS,FANIPJDSRMIAU,BLANQUERIA,7794170014075,SABANA,fantasia
0401003590,SABANA FANTASIA INFANTIL  JDS,FANIPJDSRSAFARI,BLANQUERIA,7794170014082,SABANA,fantasia
0401003600,SA FANTASIA EDGAR 2-1/2,FANTPJDCR1EDGAR,BLANQUERIA,7794170014709,SABANA,fantasia
0401003610,SA FANTASIA WILL 2-1/2,FANTPJDCR1WILL,BLANQUERIA,7794170014716,SABANA,fantasia
0401003620,SA FANTASIA BARAN 2-1/2,FANTPJDCR2BARAN,BLANQUERIA,7794170014723,SABANA,fantasia
0401003630,SABANA FANTASIA 100% 2 1/2PL P,FANTPJDCR2PILAR,BLANQUERIA,7794170014730,SABANA,fantasia
0401003640,SA FANTASIA SEBAS 2-1/2,FANTPJDCR2SEBAS,BLANQUERIA,7794170014747,SABANA,fantasia
0401003650,SABANA FANTASIA 100% 2 1/2PL A,FANTPJDCR3AMANDA,BLANQUERIA,7794170014754,SABANA,fantasia
0401003660,SABANA FANTASIA 100% 1 1/2PL E,FANTPJDSR1EDGAR,BLANQUERIA,7794170014761,SABANA,fantasia
0401003670,SABANA FANTASIA 100% 1 1/2PL W,FANTPJDSR1WILL,BLANQUERIA,7794170014778,SABANA,fantasia
0401003680,SABANA FANTASIA 100% 1 1/2PL B,FANTPJDSR2BARAN,BLANQUERIA,7794170014785,SABANA,fantasia
0401003690,SABANA FANTASIA 100% 1 1/2PL P,FANTPJDSR2PILAR,BLANQUERIA,7794170014792,SABANA,fantasia
0401003700,SABANA FANTASIA 100% 1 1/2PL S,FANTPJDSR2SEBAS,BLANQUERIA,7794170014808,SABANA,fantasia
