CodArt,Descripcion,Desc_adicional,Familia,CodigoBarras,agrupacion,marca
0401004300,LENÇOL KAMACOLOR JDC CLEMENTIN,KAMACJDCM1CLEMEN,BLANQUERIA,7892949044909,SABANA,santista
0401004310,LENÇOL KAMACOLOR JDC LILLA 1RO,KAMACJDCM1LILLA,BLANQUERIA,7892949044916,SABANA,santista
0401004320,LENÇOL KAMACOLOR JDC LINT 1VER,KAMACJDCM1LINT,BLANQUERIA,7892949044923,SABANA,santista
0401004330,LENÇOL KAMACOLOR JDQ LILLA 2CI,KAMACJDQM2LILLA,BLANQUERIA,7892949045005,SABANA,santista
0401004340,LENÇOL KAMACOLOR JDS CLEMENTIN,KAMACJDSM1CLEMEN,BLANQUERIA,7892949045029,SABANA,santista
0401004350,LENÇOL KAMACOLOR JDS LILLA 2CI,KAMACJDSM2LILLA,BLANQUERIA,7892949045067,SABANA,santista
0401004450,LENCOL KAMACOLOR JDQ ECOLOGY 1,KAMACJDQ11ECOLOG,BLANQUERIA,7798153674232,SABANA,santista
0401004460,LENCOL KAMACOLOR JDQ KADU 1PIS,KAMACJDQ11KADU,BLANQUERIA,7798153674249,SABANA,santista
0401004500,SABANA KAMAOCLOR 2PL RAINBOW,KAMIXJDCR1RAINBO,BLANQUERIA,7794170008951,SABANA,santista
0401004510,SABANA KAMACOLOR 2PL ERIC,KAMIXJDCR2ERIC,BLANQUERIA,7794170008968,SABANA,santista
0401004520,SABANA KAMACOLOR 2PL FELIX,KAMIXJDCR2FELIX,BLANQUERIA,7794170008975,SABANA,santista
0401004530,SABANA KAMACOLOR 2PL GARDEN,KAMIXJDCR2GARDEN,BLANQUERIA,7794170008982,SABANA,santista
0401004540,SABANA KAMACOLOR 2PL RISK,KAMIXJDCR2RISK,BLANQUERIA,7794170008999,SABANA,santista
0401004550,SABANA KAMACOLOR 2PL AUDREY,KAMIXJDCR3AUDREY,BLANQUERIA,7794170009002,SABANA,santista
0401004560,SA KAMACOLOR 1PL RAINBOW,KAMIXJDSR1RAINBO,BLANQUERIA,7794170009071,SABANA,santista
0401004570,SA KAMACOLOR 1PL ERIC,KAMIXJDSR2ERIC,BLANQUERIA,7794170009088,SABANA,santista
0401004580,SA KAMACOLOR 1PL FELIX,KAMIXJDSR2FELIX,BLANQUERIA,7794170009095,SABANA,santista
0401004590,SA KAMACOLOR 1PL GARDEN,KAMIXJDSR2GARDEN,BLANQUERIA,7794170009101,SABANA,santista
0401004600,SA KAMACOLOR 1PL RISK,KAMIXJDSR2RISK,BLANQUERIA,7794170009118,SABANA,santista
0401004610,SA KAMACOLOR 1PL AUDREY,KAMIXJDSR3AUDREY,BLANQUERIA,7794170009125,SABANA,santista
0401004670,SA UNIQUE 2PL DANIEL,SA180JDCR1DANIEL,BLANQUERIA,7794170010114,SABANA,santista
0401004680,SA UNIQUE 2PL VILMA,SA180JDCR1VILMA,BLANQUERIA,7794170010138,SABANA,santista
0401004690,SA UNIQUE 2 1/2PL ANDRES 2,SA180JDCR2ANDRES,BLANQUERIA,7794170010145,SABANA,santista
0401004700,SA UNIQUE 2 1/2PL CIRO 2,SA180JDCR2CIRO,BLANQUERIA,7794170010152,SABANA,santista
0401004710,SABANA 180 HILOS KING SIZE,SA180JDKR2ANDRES,BLANQUERIA,7794170010206,SABANA,santista
0401004720,SABANAS QUEEN 180 HILOS SANTIS,SA180JDQR2CIRO,BLANQUERIA,7794170010275,SABANA,santista
