virtuemart_product_id,product_name,product_sku,product_parent_sku,slug,VM_MULTIVARIANT_FIELD_LABEL1,Color,multi_variant_title,multi_variant_fields,product_price,published,category_path,product_desc
2140,LODY MEN-Art:M1013,0303012530,,LODY MEN-Art-M1013-0303012530,T1,UNICO,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Lenceria de Hombre/Lody Men,"REMERA LODY MEN-Art:M1013<br />Camiseta alg. lycra con estampa localizada.<br />
Talles: S-M-L-XL<br />
Colores: único"
,LODY MEN-Art:M1013,0303012540,0303012530,LODY MEN-Art-M1013-0303012540,T2,UNICO,,,1.0,Y,,
,LODY MEN-Art:M1013,0303012550,0303012530,LODY MEN-Art-M1013-0303012550,T3,UNICO,,,1.0,Y,,
,LODY MEN-Art:M1013,0303012560,0303012530,LODY MEN-Art-M1013-0303012560,T4,UNICO,,,1.0,Y,,
,LODY MEN-Art:M1013,0303002650,0303012530,LODY MEN-Art-M1013-0303002650,TS,UNICO,,,1.0,Y,,
,LODY MEN-Art:M1013,0303002660,0303012530,LODY MEN-Art-M1013-0303002660,TM,UNICO,,,1.0,Y,,
,LODY MEN-Art:M1013,0303002670,0303012530,LODY MEN-Art-M1013-0303002670,TL,UNICO,,,1.0,Y,,
,LODY MEN-Art:M1013,0303002680,0303012530,LODY MEN-Art-M1013-0303002680,TXL,UNICO,,,1.0,Y,,
2143,LODY MEN-Art:M1014,0303012570,,LODY MEN-Art-M1014-0303012570,T1,BLANCO,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Lenceria de Hombre/Lody Men,"REMERA LODY MEN-Art:M1014<br />Camiseta térmica lisa<br />
Talles: S-M-L-XL<br />
Colores: blanco - negro"
,LODY MEN-Art:M1014,0303012580,0303012570,LODY MEN-Art-M1014-0303012580,T1,NEGRO,,,1.0,Y,,
,LODY MEN-Art:M1014,0303012590,0303012570,LODY MEN-Art-M1014-0303012590,T2,BLANCO,,,1.0,Y,,
,LODY MEN-Art:M1014,0303012600,0303012570,LODY MEN-Art-M1014-0303012600,T2,NEGRO,,,1.0,Y,,
,LODY MEN-Art:M1014,0303012610,0303012570,LODY MEN-Art-M1014-0303012610,T3,BLANCO,,,1.0,Y,,
,LODY MEN-Art:M1014,0303012620,0303012570,LODY MEN-Art-M1014-0303012620,T3,NEGRO,,,1.0,Y,,
,LODY MEN-Art:M1014,0303012630,0303012570,LODY MEN-Art-M1014-0303012630,T4,BLANCO,,,1.0,Y,,
,LODY MEN-Art:M1014,0303012640,0303012570,LODY MEN-Art-M1014-0303012640,T4,NEGRO,,,1.0,Y,,
,LODY MEN-Art:M1014,0319000150,0303012570,LODY MEN-Art-M1014-0319000150,TS,BLANCO,,,1.0,Y,,
,LODY MEN-Art:M1014,0319000160,0303012570,LODY MEN-Art-M1014-0319000160,TS,NEGRO,,,1.0,Y,,
,LODY MEN-Art:M1014,0319000170,0303012570,LODY MEN-Art-M1014-0319000170,TM,BLANCO,,,1.0,Y,,
,LODY MEN-Art:M1014,0319000180,0303012570,LODY MEN-Art-M1014-0319000180,TM,NEGRO,,,1.0,Y,,
,LODY MEN-Art:M1014,0319000190,0303012570,LODY MEN-Art-M1014-0319000190,TL,BLANCO,,,1.0,Y,,
,LODY MEN-Art:M1014,0319000200,0303012570,LODY MEN-Art-M1014-0319000200,TL,NEGRO,,,1.0,Y,,
,LODY MEN-Art:M1014,0319000210,0303012570,LODY MEN-Art-M1014-0319000210,TXL,BLANCO,,,1.0,Y,,
,LODY MEN-Art:M1014,0319000220,0303012570,LODY MEN-Art-M1014-0319000220,TXL,NEGRO,,,1.0,Y,,
2144,LODY MEN-Art:M1015,0303012650,,LODY MEN-Art-M1015-0303012650,T1,UNICO,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Lenceria de Hombre/Lody Men,"REMERA LODY MEN-Art:M1015<br />Camiseta térmica estampada.<br />
Talles: S-M-L-XL<br />
Colores: único"
,LODY MEN-Art:M1015,0303012660,0303012650,LODY MEN-Art-M1015-0303012660,T2,UNICO,,,1.0,Y,,
