Cod_articulo,Descripcion,Desc_adicional,Familia,Codigo_barras,marca
0201029040,1002XY T10,BOXER,LINEA UNDERWARE HOMBRE,10021002,XY
0201029050,1002XY T12,BOXER,LINEA UNDERWARE HOMBRE,10021200,XY
0201029060,1002XY T14,BOXER,LINEA UNDERWARE HOMBRE,10021408,XY
0201029070,1002XY T2,BOXER,LINEA UNDERWARE HOMBRE,10022009,XY
0201029080,1002XY T4,BOXER,LINEA UNDERWARE HOMBRE,10024003,XY
0201029090,1002XY T6,BOXER,LINEA UNDERWARE HOMBRE,10026007,XY
0201029100,1002XY T8,BOXER,LINEA UNDERWARE HOMBRE,10028001,XY
0201029110,1003XY T10,BOXER,LINEA UNDERWARE HOMBRE,10031001,XY
0201029120,1003XY T12,BOXER,LINEA UNDERWARE HOMBRE,10031209,XY
0201029130,1003XY T2,BOXER,LINEA UNDERWARE HOMBRE,10032008,XY
0201029140,1003XY T4,BOXER,LINEA UNDERWARE HOMBRE,10034002,XY
0201029150,1003XY T6,BOXER,LINEA UNDERWARE HOMBRE,10036006,XY
0201029160,1003XY T8,BOXER,LINEA UNDERWARE HOMBRE,10038000,XY
0201029170,1004XY T10,BOXER,LINEA UNDERWARE HOMBRE,10041000,XY
0201029180,1004XY T12,BOXER,LINEA UNDERWARE HOMBRE,10041208,XY
0201029190,1004XY T2,BOXER,LINEA UNDERWARE HOMBRE,10042007,XY
0201029200,1004XY T4,BOXER,LINEA UNDERWARE HOMBRE,10044001,XY
0201029210,1004XY T6,BOXER,LINEA UNDERWARE HOMBRE,10046005,XY
0201029220,1004XY T8,BOXER,LINEA UNDERWARE HOMBRE,10048009,XY
0201029230,1005XY T10,BOXER,LINEA UNDERWARE HOMBRE,10051009,XY
0201029240,1005XY T12,BOXER,LINEA UNDERWARE HOMBRE,10051207,XY
0201029250,1005XY T2,BOXER,LINEA UNDERWARE HOMBRE,10052006,XY
0201029260,1005XY T4,BOXER,LINEA UNDERWARE HOMBRE,10054000,XY
0201029270,1005XY T6,BOXER,LINEA UNDERWARE HOMBRE,10056004,XY
0201029280,1005XY T8,BOXER,LINEA UNDERWARE HOMBRE,10058008,XY
0201029290,1006XY T10,BOXER,LINEA UNDERWARE HOMBRE,10061008,XY
0201029300,1006XY T12,BOXER,LINEA UNDERWARE HOMBRE,10061206,XY
0201029310,1006XY T14,BOXER,LINEA UNDERWARE HOMBRE,10061404,XY
0201029320,1006XY T2,BOXER,LINEA UNDERWARE HOMBRE,10062005,XY
0201029330,1006XY T4,BOXER,LINEA UNDERWARE HOMBRE,10064009,XY
0201029340,1006XY T6,BOXER,LINEA UNDERWARE HOMBRE,10066003,XY
0201029350,1006XY T8,BOXER,LINEA UNDERWARE HOMBRE,10068007,XY
0201029360,1010XY T10,BOXER,LINEA UNDERWARE HOMBRE,10101001,XY
0201029370,1010XY T12,BOXER,LINEA UNDERWARE HOMBRE,10101209,XY
0201029380,1010XY T14,BOXER,LINEA UNDERWARE HOMBRE,10101407,XY
0201029390,1010XY T2,BOXER,LINEA UNDERWARE HOMBRE,10102008,XY
0201029400,1010XY T4,BOXER,LINEA UNDERWARE HOMBRE,10104002,XY
0201029410,1010XY T6,BOXER,LINEA UNDERWARE HOMBRE,10106006,XY
0201029420,1010XY T8,BOXER,LINEA UNDERWARE HOMBRE,10108000,XY
0201029430,1017XY T10,BOXER,LINEA UNDERWARE HOMBRE,10171004,XY
0201029440,1017XY T12,BOXER,LINEA UNDERWARE HOMBRE,10171202,XY
0201029450,1017XY T14,BOXER,LINEA UNDERWARE HOMBRE,10171400,XY
0201029460,1017XY T2,BOXER,LINEA UNDERWARE HOMBRE,10172001,XY
0201029470,1017XY T4,BOXER,LINEA UNDERWARE HOMBRE,10174005,XY
0201029480,1017XY T6,BOXER,LINEA UNDERWARE HOMBRE,10176009,XY
0201029490,1017XY T8,BOXER,LINEA UNDERWARE HOMBRE,10178003,XY
0201029500,1018XY T10,BOXER,LINEA UNDERWARE HOMBRE,10181003,XY
