Codarticulo,Descripcion,Desc_adicional,Familia,Codigo_barras,marca
0303012030,4100XY TS MANGA CORTA,REMERA,INDUMENTARIA,41001004,XY-ROPAS
0303012040,4100XY TM MANGA CORTA,REMERA,INDUMENTARIA,41002001,XY-ROPAS
0303012050,4100XY TL MANGA CORTA,REMERA,INDUMENTARIA,41003008,XY-ROPAS
0303012060,4100XY TXL MANGA CORTA,REMERA,INDUMENTARIA,41004005,XY-ROPAS
0303012070,4110XY TS MANGA CORTA,REMERA,INDUMENTARIA,41101004,XY-ROPAS
0303012080,4110XY TM MANGA CORTA,REMERA,INDUMENTARIA,41102008,XY-ROPAS
0303012090,4110XY TL MANGA CORTA,REMERA,INDUMENTARIA,41103005,XY-ROPAS
0303012100,4110XY TXL MANGA CORTA,REMERA,INDUMENTARIA,41104002,XY-ROPAS
0303012110,6100XY TS,REMERA,INDUMENTARIA,61001008,XY-ROPAS
0303012120,6100XY TM,REMERA,INDUMENTARIA,61002005,XY-ROPAS
0303012130,6100XY TL,REMERA,INDUMENTARIA,61003002,XY-ROPAS
0303012140,6100XY TXL,REMERA,INDUMENTARIA,61004009,XY-ROPAS
0304008830,9050XY MUSCULOSA DEPORTIVA,MUSCULOSA,INDUMENTARIA,9050XY,XY-ROPAS
0306003310,8030XY TXXL PANTALON,PANTALON,INDUMENTARIA,80305002,XY-ROPAS
0306003320,8030XY TXL PANTALON,PANTALON,INDUMENTARIA,80304005,XY-ROPAS
0306003330,8030XY TL PANTALON,PANTALON,INDUMENTARIA,80303008,XY-ROPAS
0306003340,8030XY TS PANTALON,PANTALON,INDUMENTARIA,80301004,XY-ROPAS
0306003350,8030XY TM PANTALON,PANTALON,INDUMENTARIA,80302001,XY-ROPAS
0307000950,8020XY BABUCHA DE JERSEY,BABUCHA,INDUMENTARIA,8020XY,XY-ROPAS
0307000960,8030XY BABUCHA DE JERSEY,BABUCHA,INDUMENTARIA,8030XY,XY-ROPAS
