virtuemart_product_id,product_name,product_sku,product_parent_sku,slug,VM_MULTIVARIANT_FIELD_LABEL1,Color,multi_variant_title,multi_variant_fields,product_price,published,category_path,product_desc,Description,peso,Description
,ANDRESSA-Art:A000A,0507004740,,ANDRESSA-Art-A000A-0507004740,BOMBACHAS,VARIOS,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Andressa","BIKINI ANDRESSA-Art:A000A<br />BOMBACHAS - VARIOS","A000A BOMBACHAS",1000,"A000A BOMBACHAS"
3028,ANDRESSA-Art:A001,0112000010,,ANDRESSA-Art-A001-0112000010,COLALESS,ANDRESSA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Andressa","BOM BIKINI ANDRESSA-Art:A001<br />Pack x3 colaless alg/lyc c/puntilla y less alg/lyc estamp. c/puntilla <br />
TALLES: 1 a 3<br />
COLORES: blanco/acqua/lunares fucsia - negro/gris/raya gris-negro","A001 COLALESS ANDRESSA",1000,"A001 COLALESS ANDRESSA"
,ANDRESSA-Art:A0015,0112000020,,ANDRESSA-Art-A0015-0112000020,Pack,x,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Andressa","PACK ANDRESSA-Art:A0015<br />Pack - x","A0015 Pack x 3 culotless alg/l",1000,"A0015 Pack x 3 culotless alg/l"
,ANDRESSA-Art:A0016,0112000030,,ANDRESSA-Art-A0016-0112000030,Pack,x,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Andressa","PACK ANDRESSA-Art:A0016<br />Pack - x","A0016 Pack x 3 less reg de tul",1000,"A0016 Pack x 3 less reg de tul"
3029,ANDRESSA-Art:A002,0112000040,,ANDRESSA-Art-A002-0112000040,COULOTTE,ANDRESSA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Andressa","PACK ANDRESSA-Art:A002<br />Pack x3 culotless alg/lyc c/puntilla y less alg/lyc estamp. c/puntilla <br />
TALLES: 1 a 3<br />
COLORES: blanco/salmón/liberty - negro/acqua/lunar azul-blanco","A002 COULOTTE ANDRESSA",1000,"A002 COULOTTE ANDRESSA"
,ANDRESSA-Art:A0027,0112000050,,ANDRESSA-Art-A0027-0112000050,COLALESS,ANDRESSA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Andressa","PACK ANDRESSA-Art:A0027<br />COLALESS - ANDRESSA","A0027 COLALESS ANDRESSA",1000,"A0027 COLALESS ANDRESSA"
3038,ANDRESSA-Art:A0028,0112000060,,ANDRESSA-Art-A0028-0112000060,COLALESS,ANDRESSA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Andressa","PACK ANDRESSA-Art:A0028<br />Pack x3 culots combinados alg./lyc. estamp. <br />
TALLES: único<br />
COLORES: acqua/rayado/lunar - azul/liberty/lunar","A0028 COLALESS ANDRESSA",1000,"A0028 COLALESS ANDRESSA"
3030,ANDRESSA-Art:A003,0112000070,,ANDRESSA-Art-A003-0112000070,COLALESS,ANDRESSA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Andressa","PACK ANDRESSA-Art:A003<br />Pack x3 less microf. estampada <br />
TALLES: 1 a 3<br />
COLORES: lunares surtido","A003 COLALESS ANDRESSA",1000,"A003 COLALESS ANDRESSA"
3025,ANDRESSA-Art:A0033,0112000080,,ANDRESSA-Art-A0033-0112000080,COLALESS,ANDRESSA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Andressa","PACK ANDRESSA-Art:A0033<br />Pack x3 colaless microfibra <br />
TALLES: 1 a 3<br />
COLORES: blanco/negro/hueso - nude/vino/azul - blanco/neg/nude - bco/neg/salmón","A0033 COLALESS ANDRESSA",1000,"A0033 COLALESS ANDRESSA"
3026,ANDRESSA-Art:A0034,0112000090,,ANDRESSA-Art-A0034-0112000090,VEDETINA,ANDRESSA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Andressa","PACK ANDRESSA-Art:A0034<br />Pack x3 vedetinas microfibra <br />
TALLES: 1 a 3<br />
COLORES: blanco/negro/hueso - nude/vino/azul - blanco/neg/nude - bco/neg/salmón","A0034 VEDETINA ANDRESSA",1000,"A0034 VEDETINA ANDRESSA"
