Codigo,Descripcion,Desc_adic,Familia,barcode,marca
0101000030,A0042 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A0042,ANDRESSA
0101000040,A0043 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A0043,ANDRESSA
0101000050,A0046 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A0046,ANDRESSA
0101000060,A0048 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A0048,ANDRESSA
0101000070,A0049 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A0049,ANDRESSA
0101000080,A0050 CONJUNTO ANDRESSA,PACK,LENCERIA,A0050,ANDRESSA
0101000090,A0108 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A0108,ANDRESSA
0101000100,A0110 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A0110,ANDRESSA
0101000110,A0111 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A0111,ANDRESSA
0101000120,A0112 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A0112,ANDRESSA
0101000130,A0114 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A0114,ANDRESSA
0101000140,A0120 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A0120,ANDRESSA
0101000150,A0121 PUSH ANDRESSA,CONJUNTO,LENCERIA,A0121,ANDRESSA
0101000160,A0122 TRIANGULO SOFT ANDRESSA,CONJUNTO,LENCERIA,A0122,ANDRESSA
0101000170,A0250 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A0250,ANDRESSA
0101000180,A0312 Bretelera y short de tul,CONJUNTO,LENCERIA,A0312,ANDRESSA
0101000190,A0362 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A0362,ANDRESSA
0101000200,A0363 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A0363,ANDRESSA
0101000210,A0364 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A0364,ANDRESSA
0101000220,A0365 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A0365,ANDRESSA
0101000230,A0401 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A0401,ANDRESSA
0101000240,A0450 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A0450,ANDRESSA
0101000250,A0451 Soft extreme y less de m,CONJUNTO,LENCERIA,A0451,ANDRESSA
0101000260,A0452 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A0452,ANDRESSA
0101000270,A0465 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A0465,ANDRESSA
0101000280,A0474 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A0474,ANDRESSA
0101000290,A0480 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A0480,ANDRESSA
0101000300,A1202 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A1202,ANDRESSA
0101000310,A1203 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A1203,ANDRESSA
0101000320,A1205 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A1205,ANDRESSA
0101000330,A1206 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A1206,ANDRESSA
0101000340,A1210 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A1210,ANDRESSA
0101000350,A1212 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A1212,ANDRESSA
0101000360,A1213 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A1213,ANDRESSA
0101000370,A1214 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A1214,ANDRESSA
0101000380,A1215 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A1215,ANDRESSA
0101000390,A1216 CONJUNTO ANDRESSA,CONJUNTO,LENCERIA,A1216,ANDRESSA
0101000400,A1217 BRALETTE ANDRESSA,CONJUNTO,LENCERIA,A1217,ANDRESSA
0101000410,A1218 TRIANGULO SOFT ANDRESSA,CONJUNTO,LENCERIA,A1218,ANDRESSA
0101000420,A1219 TRIANGULO SOFT ANDRESSA,CONJUNTO,LENCERIA,A1219,ANDRESSA
0101000430,A1221 Triang c/base de microfi,CONJUNTO,LENCERIA,A1221,ANDRESSA
0101000440,A1223 Soft c/base y less trico,CONJUNTO,LENCERIA,A1223,ANDRESSA
