Cod_articulo,Descripcion,Desc_Adicional,Familia,Cod_barra
0101018400,570BR T85 MELANGE,CONJUNTO,LENCERIA,057085013
0101018410,570BR T90 MELANGE,CONJUNTO,LENCERIA,057090013
0101018420,570BR T95 MELANGE,CONJUNTO,LENCERIA,057095013
0101018430,442BR T85 BLANCO,CONJUNTO,LENCERIA,0442085001
0101018440,442BR T85 NEGRO,CONJUNTO,LENCERIA,0442085002
0101018450,442BR T85 ROJO,CONJUNTO,LENCERIA,0442085004
0101018460,442BR T85 FRANCIA,CONJUNTO,LENCERIA,0442085051
0101018470,442BR T85 PINK,CONJUNTO,LENCERIA,0442085055
0101018480,442BR T90 BLANCO,CONJUNTO,LENCERIA,0442090001
0101018490,442BR T90 NEGRO,CONJUNTO,LENCERIA,0442090002
0101018500,442BR T90 ROJO,CONJUNTO,LENCERIA,0442090004
0101018510,442BR T90 FRANCIA,CONJUNTO,LENCERIA,0442090051
0101018520,442BR T90 PINK,CONJUNTO,LENCERIA,0442090055
0101018530,442BR T95 BLANCO,CONJUNTO,LENCERIA,0442095001
0101018540,442BR T95 NEGRO,CONJUNTO,LENCERIA,0442095002
0101018550,442BR T95 ROJO,CONJUNTO,LENCERIA,0442095004
0101018560,442BR T95 FRANCIA,CONJUNTO,LENCERIA,0442095051
0101018570,442BR T95 PINK,CONJUNTO,LENCERIA,0442095055
0101018580,442BR T100 BLANCO,CONJUNTO,LENCERIA,0442100001
0101018590,442BR T100 NEGRO,CONJUNTO,LENCERIA,0442100002
0101018600,442BR T100 ROJO,CONJUNTO,LENCERIA,0442100004
0101018610,442BR T100 FRANCIA,CONJUNTO,LENCERIA,0442100051
0101018620,442BR T100 PINK,CONJUNTO,LENCERIA,0442100055
0101018630,443BR T85 BLANCO,CONJUNTO,LENCERIA,0443085001
0101018640,443BR T85 NEGRO,CONJUNTO,LENCERIA,0443085002
0101018650,443BR T85 CORAL,CONJUNTO,LENCERIA,0443085005
0101018660,443BR T85 CIELO,CONJUNTO,LENCERIA,0443085098
0101018670,443BR T85 CIELO,CONJUNTO,LENCERIA,0443085099
0101018680,443BR T90 BLANCO,CONJUNTO,LENCERIA,0443090001
0101018690,443BR T90 NEGRO,CONJUNTO,LENCERIA,0443090002
0101018700,443BR T90 CORAL,CONJUNTO,LENCERIA,0443090005
0101018710,443BR T90 CIELO,CONJUNTO,LENCERIA,0443090098
0101018720,443BR T90 CIELO,CONJUNTO,LENCERIA,0443090099
0101018730,443BR T95 BLANCO,CONJUNTO,LENCERIA,0443095001
0101018740,443BR T95 NEGRO,CONJUNTO,LENCERIA,0443095002
0101018750,443BR T95 CORAL,CONJUNTO,LENCERIA,0443095005
0101018760,443BR T95 CIELO,CONJUNTO,LENCERIA,0443095098
0101018770,443BR T95 CIELO,CONJUNTO,LENCERIA,0443095099
0101018780,443BR T100 BLANCO,CONJUNTO,LENCERIA,0443100001
0101018790,443BR T100 NEGRO,CONJUNTO,LENCERIA,0443100002
0101018800,443BR T100 CORAL,CONJUNTO,LENCERIA,0443100005
0101018810,443BR T100 CIELO,CONJUNTO,LENCERIA,0443100098
0101018820,443BR T100 CIELO,CONJUNTO,LENCERIA,0443100099
0101018830,450BR T85 BLANCO,CONJUNTO,LENCERIA,0450085001
0101018840,450BR T85 PERU,CONJUNTO,LENCERIA,0450085057
0101018850,450BR T85 SALMON,CONJUNTO,LENCERIA,0450085079
0101018860,450BR T90 BLANCO,CONJUNTO,LENCERIA,0450090001
0101018870,450BR T90 PERU,CONJUNTO,LENCERIA,0450090057
0101018880,450BR T90 SALMON,CONJUNTO,LENCERIA,0450090079
0101018890,450BR T95 BLANCO,CONJUNTO,LENCERIA,0450095001
0101018900,450BR T95 PERU,CONJUNTO,LENCERIA,0450095057
0101018910,450BR T95 SALMON,CONJUNTO,LENCERIA,0450095079
0101018920,450BR T100 BLANCO,CONJUNTO,LENCERIA,0450100001
0101018930,450BR T100 PERU,CONJUNTO,LENCERIA,0450100057
0101018940,450BR T100 SALMON,CONJUNTO,LENCERIA,0450100079
0101018950,570BR T85 BLANCO,CONJUNTO,LENCERIA,0570085001
0101018960,570BR T85 NEGRO,CONJUNTO,LENCERIA,0570085002
0101018970,570BR T85 FUCSIA,CONJUNTO,LENCERIA,0570085006
0101018980,570BR T85 MELANGE,CONJUNTO,LENCERIA,0570085013
0101018990,570BR T85 FRANCIA,CONJUNTO,LENCERIA,0570085051
0101019000,570BR T85 CANARIO,CONJUNTO,LENCERIA,0570085078
0101019010,570BR T90 BLANCO,CONJUNTO,LENCERIA,0570090001
0101019020,570BR T90 NEGRO,CONJUNTO,LENCERIA,0570090002
0101019030,570BR T90 FUCSIA,CONJUNTO,LENCERIA,0570090006
0101019040,570BR T90 MELANGE,CONJUNTO,LENCERIA,0570090013
0101019050,570BR T90 FRANCIA,CONJUNTO,LENCERIA,0570090051
0101019060,570BR T90 CANARIO,CONJUNTO,LENCERIA,0570090078
0101019070,570BR T95 BLANCO,CONJUNTO,LENCERIA,0570095001
0101019080,570BR T95 NEGRO,CONJUNTO,LENCERIA,0570095002
0101019090,570BR T95 FUCSIA,CONJUNTO,LENCERIA,0570095006
0101019100,570BR T95 MELANGE,CONJUNTO,LENCERIA,0570095013
0101019110,570BR T95 FRANCIA,CONJUNTO,LENCERIA,0570095051
0101019120,570BR T95 CANARIO,CONJUNTO,LENCERIA,0570095078
0101019130,570BR T100 BLANCO,CONJUNTO,LENCERIA,0570100001
0101019140,570BR T100 NEGRO,CONJUNTO,LENCERIA,0570100002
0101019150,570BR T100 FUCSIA,CONJUNTO,LENCERIA,0570100006
0101019160,570BR T100 MELANGE,CONJUNTO,LENCERIA,0570100013
0101019170,570BR T100 FRANCIA,CONJUNTO,LENCERIA,0570100051
0101019180,570BR T100 CANARIO,CONJUNTO,LENCERIA,0570100078
0101019190,570BR T105 BLANCO,CONJUNTO,LENCERIA,0570105001
0101019200,570BR T105 NEGRO,CONJUNTO,LENCERIA,0570105002
0101019210,570BR T105 FUCSIA,CONJUNTO,LENCERIA,0570105006
0101019220,570BR T105 MELANGE,CONJUNTO,LENCERIA,0570105013
0101019230,570BR T105 FRANCIA,CONJUNTO,LENCERIA,0570105051
0101019240,570BR T105 CANARIO,CONJUNTO,LENCERIA,0570105078
0101019250,575BR T85 FUCSIA,CONJUNTO,LENCERIA,0575085006
0101019260,575BR T85 MELANGE,CONJUNTO,LENCERIA,0575085013
0101019270,575BR T85 ESMERALDA,CONJUNTO,LENCERIA,0575085014
0101019280,575BR T85 MARINO,CONJUNTO,LENCERIA,0575085016
0101019290,575BR T85 TOPO,CONJUNTO,LENCERIA,0575085064
0101019300,575BR T90 FUCSIA,CONJUNTO,LENCERIA,0575090006
0101019310,575BR T90 MELANGE,CONJUNTO,LENCERIA,0575090013
0101019320,575BR T90 ESMERALDA,CONJUNTO,LENCERIA,0575090014
0101019330,575BR T90 MARINO,CONJUNTO,LENCERIA,0575090016
0101019340,575BR T90 TOPO,CONJUNTO,LENCERIA,0575090064
0101019350,575BR T95 FUCSIA,CONJUNTO,LENCERIA,0575095006
0101019360,575BR T95 MELANGE,CONJUNTO,LENCERIA,0575095013
0101019370,575BR T95 ESMERALDA,CONJUNTO,LENCERIA,0575095014
0101019380,575BR T95 MARINO,CONJUNTO,LENCERIA,0575095016
0101019390,575BR T95 TOPO,CONJUNTO,LENCERIA,0575095064
0101019400,575BR T100 FUCSIA,CONJUNTO,LENCERIA,0575100006
0101019410,575BR T100 MELANGE,CONJUNTO,LENCERIA,0575100013
0101019420,575BR T100 ESMERALDA,CONJUNTO,LENCERIA,0575100014
0101019430,575BR T100 MARINO,CONJUNTO,LENCERIA,0575100016
0101019440,575BR T100 TOPO,CONJUNTO,LENCERIA,0575100064
0101019450,575BR T105 FUCSIA,CONJUNTO,LENCERIA,0575105006
0101019460,575BR T105 MELANGE,CONJUNTO,LENCERIA,0575105013
0101019470,575BR T105 ESMERALDA,CONJUNTO,LENCERIA,0575105014
0101019480,575BR T105 MARINO,CONJUNTO,LENCERIA,0575105016
0101019490,575BR T105 TOPO,CONJUNTO,LENCERIA,0575105064
0101019500,578BR T85 BLANCO,CONJUNTO,LENCERIA,0578085001
0101019510,578BR T85 NEGRO,CONJUNTO,LENCERIA,0578085002
0101019520,578BR T85 MELANGE,CONJUNTO,LENCERIA,0578085013
0101019530,578BR T85 MARINO,CONJUNTO,LENCERIA,0578085016
0101019540,578BR T85 FLAMINGO,CONJUNTO,LENCERIA,0578085069
0101019550,578BR T90 BLANCO,CONJUNTO,LENCERIA,0578090001
0101019560,578BR T90 NEGRO,CONJUNTO,LENCERIA,0578090002
0101019570,578BR T90 MELANGE,CONJUNTO,LENCERIA,0578090013
0101019580,578BR T90 MARINO,CONJUNTO,LENCERIA,0578090016
0101019590,578BR T90 FLAMINGO,CONJUNTO,LENCERIA,0578090069
0101019600,578BR T95 BLANCO,CONJUNTO,LENCERIA,0578095001
0101019610,578BR T95 NEGRO,CONJUNTO,LENCERIA,0578095002
0101019620,578BR T95 MELANGE,CONJUNTO,LENCERIA,0578095013
0101019630,578BR T95 MARINO,CONJUNTO,LENCERIA,0578095016
0101019640,578BR T95 FLAMINGO,CONJUNTO,LENCERIA,0578095069
0101019650,578BR T100 BLANCO,CONJUNTO,LENCERIA,0578100001
0101019660,578BR T100 NEGRO,CONJUNTO,LENCERIA,0578100002
0101019670,578BR T100 MELANGE,CONJUNTO,LENCERIA,0578100013
0101019680,578BR T100 MARINO,CONJUNTO,LENCERIA,0578100016
0101019690,578BR T100 FLAMINGO,CONJUNTO,LENCERIA,0578100069
0101019700,578BR T105 BLANCO,CONJUNTO,LENCERIA,0578105001
0101019710,578BR T105 NEGRO,CONJUNTO,LENCERIA,0578105002
0101019720,578BR T105 MELANGE,CONJUNTO,LENCERIA,0578105013
0101019730,578BR T105 MARINO,CONJUNTO,LENCERIA,0578105016
0101019740,578BR T105 FLAMINGO,CONJUNTO,LENCERIA,0578105069
0101019750,575BR T85 MARINO,CONJUNTO,LENCERIA,0757085016
0101019760,575BR T90 MARINO,CONJUNTO,LENCERIA,0757090016
0101019770,1000BR T85 BLANCO,`CONJUNTO,LENCERIA,1000085001
0101019780,1000BR T85 NEGRO,`CONJUNTO,LENCERIA,1000085002
0101019790,1000BR T85 ROJO,`CONJUNTO,LENCERIA,1000085004
0101019800,1000BR T85 FUCSIA,`CONJUNTO,LENCERIA,1000085006
0101019810,1000BR T85 MARINO,`CONJUNTO,LENCERIA,1000085016
0101019820,1000BR T85 FRANCIA,`CONJUNTO,LENCERIA,1000085051
0101019830,1000BR T85 LIMA,`CONJUNTO,LENCERIA,1000085068
0101019840,1000BR T90 BLANCO,`CONJUNTO,LENCERIA,1000090001
0101019850,1000BR T90 NEGRO,`CONJUNTO,LENCERIA,1000090002
0101019860,1000BR T90 ROJO,`CONJUNTO,LENCERIA,1000090004
0101019870,1000BR T90 FUCSIA,`CONJUNTO,LENCERIA,1000090006
