Cod_art,Descripcion,Desc_adicional,Familia,Cod_barras,marca
0101027430,104C T85 BLANCO,CONJUNTO,LENCERIA,223104001085,coramina
0101027440,104C T90 BLANCO,CONJUNTO,LENCERIA,223104001090,coramina
0101027450,104C T95 BLANCO,CONJUNTO,LENCERIA,223104001095,coramina
0101027460,104C T100 BLANCO,CONJUNTO,LENCERIA,223104001100,coramina
0101027470,104C T105 BLANCO,CONJUNTO,LENCERIA,223104001105,coramina
0101027480,104C T85 NEGRO,CONJUNTO,LENCERIA,223104002085,coramina
0101027490,104C T90 NEGRO,CONJUNTO,LENCERIA,223104002090,coramina
0101027500,104C T95 NEGRO,CONJUNTO,LENCERIA,223104002095,coramina
0101027510,104C T100 NEGRO,CONJUNTO,LENCERIA,223104002100,coramina
0101027520,104C T105 NEGRO,CONJUNTO,LENCERIA,223104002105,coramina
0101027530,104C T85 HUESO,CONJUNTO,LENCERIA,223104004085,coramina
0101027540,104C T90 HUESO,CONJUNTO,LENCERIA,223104004090,coramina
0101027550,104C T95 HUESO,CONJUNTO,LENCERIA,223104004095,coramina
0101027560,104C T100 HUESO,CONJUNTO,LENCERIA,223104004100,coramina
0101027570,104C T105 HUESO,CONJUNTO,LENCERIA,223104004105,coramina
0101027580,104C T85 GRIS,CONJUNTO,LENCERIA,223104006085,coramina
0101027590,104C T90 GRIS,CONJUNTO,LENCERIA,223104006090,coramina
0101027600,104C T95 GRIS,CONJUNTO,LENCERIA,223104006095,coramina
0101027610,104C T100 GRIS,CONJUNTO,LENCERIA,223104006100,coramina
0101027620,104C T105 GRIS,CONJUNTO,LENCERIA,223104006105,coramina
0101027630,105C T85 BLANCO,CONJUNTO,LENCERIA,223105001085,coramina
0101027640,105C T90 BLANCO,CONJUNTO,LENCERIA,223105001090,coramina
0101027650,105C T95 BLANCO,CONJUNTO,LENCERIA,223105001095,coramina
0101027660,105C T100 BLANCO,CONJUNTO,LENCERIA,223105001100,coramina
0101027670,105C T105 BLANCO,CONJUNTO,LENCERIA,223105001105,coramina
0101027680,105C T85 NEGRO,CONJUNTO,LENCERIA,223105002085,coramina
0101027690,105C T90 NEGRO,CONJUNTO,LENCERIA,223105002090,coramina
0101027700,105C T95 NEGRO,CONJUNTO,LENCERIA,223105002095,coramina
0101027710,105C T100 NEGRO,CONJUNTO,LENCERIA,223105002100,coramina
0101027720,105C T105 NEGRO,CONJUNTO,LENCERIA,223105002105,coramina
0101027730,105C T85 HUESO,CONJUNTO,LENCERIA,223105004085,coramina
0101027740,105C T90 HUESO,CONJUNTO,LENCERIA,223105004090,coramina
0101027750,105C T95 HUESO,CONJUNTO,LENCERIA,223105004095,coramina
0101027760,105C T100 HUESO,CONJUNTO,LENCERIA,223105004100,coramina
0101027770,105C T105 HUESO,CONJUNTO,LENCERIA,223105004105,coramina
0101027780,115C T85 BLANCO,CONJUNTO,LENCERIA,223115001085,coramina
0101027790,115C T90 BLANCO,CONJUNTO,LENCERIA,223115001090,coramina
0101027800,115C T95 BLANCO,CONJUNTO,LENCERIA,223115001095,coramina
0101027810,115C T100 BLANCO,CONJUNTO,LENCERIA,223115001100,coramina
0101027820,115C T105 BLANCO,CONJUNTO,LENCERIA,223115001105,coramina
0101027830,115C T85 NEGRO,CONJUNTO,LENCERIA,223115002085,coramina
0101027840,115C T90 NEGRO,CONJUNTO,LENCERIA,223115002090,coramina
0101027850,115C T95 NEGRO,CONJUNTO,LENCERIA,223115002095,coramina
0101027860,115C T100 NEGRO,CONJUNTO,LENCERIA,223115002100,coramina
0101027870,115C T105 NEGRO,CONJUNTO,LENCERIA,223115002105,coramina
0101027880,115C T85 HUESO,CONJUNTO,LENCERIA,223115004085,coramina
0101027890,115C T90 HUESO,CONJUNTO,LENCERIA,223115004090,coramina
0101027900,115C T95 HUESO,CONJUNTO,LENCERIA,223115004095,coramina
0101027910,115C T100 HUESO,CONJUNTO,LENCERIA,223115004100,coramina
0101027920,115C T105 HUESO,CONJUNTO,LENCERIA,223115004105,coramina
0101027930,137C T85 BLANCO,CONJUNTO,LENCERIA,223137001085,coramina
0101027940,137C T90 BLANCO,CONJUNTO,LENCERIA,223137001090,coramina
0101027950,137C T95 BLANCO,CONJUNTO,LENCERIA,223137001095,coramina
0101027960,137C T100 BLANCO,CONJUNTO,LENCERIA,223137001100,coramina
0101027970,137C T105 BLANCO,CONJUNTO,LENCERIA,223137001105,coramina
0101027980,137C T85 NEGRO,CONJUNTO,LENCERIA,223137002085,coramina
0101027990,137C T90 NEGRO,CONJUNTO,LENCERIA,223137002090,coramina
0101028000,137C T95 NEGRO,CONJUNTO,LENCERIA,223137002095,coramina
0101028010,137C T100 NEGRO,CONJUNTO,LENCERIA,223137002100,coramina
0101028020,137C T105 NEGRO,CONJUNTO,LENCERIA,223137002105,coramina
0101028030,137C T85 HUESO,CONJUNTO,LENCERIA,223137004085,coramina
0101028040,137C T90 HUESO,CONJUNTO,LENCERIA,223137004090,coramina
0101028050,137C T95 HUESO,CONJUNTO,LENCERIA,223137004095,coramina
0101028060,137C T100 HUESO,CONJUNTO,LENCERIA,223137004100,coramina
0101028070,137C T105 HUESO,CONJUNTO,LENCERIA,223137004105,coramina
0101028080,137C T85 ROJO,CONJUNTO,LENCERIA,223137007085,coramina
0101028090,137C T90 ROJO,CONJUNTO,LENCERIA,223137007090,coramina
0101028100,137C T95 ROJO,CONJUNTO,LENCERIA,223137007095,coramina
0101028110,137C T100 ROJO,CONJUNTO,LENCERIA,223137007100,coramina
0101028120,137C T105 ROJO,CONJUNTO,LENCERIA,223137007105,coramina
0101028130,141C T85 BLANCO,CONJUNTO,LENCERIA,223141001085,coramina
0101028140,141C T90 BLANCO,CONJUNTO,LENCERIA,223141001090,coramina
0101028150,141C T95 BLANCO,CONJUNTO,LENCERIA,223141001095,coramina
0101028160,141C T100 BLANCO,CONJUNTO,LENCERIA,223141001100,coramina
0101028170,141C T85 NEGRO,CONJUNTO,LENCERIA,223141002085,coramina
0101028180,141C T90 NEGRO,CONJUNTO,LENCERIA,223141002090,coramina
0101028190,141C T95 NEGRO,CONJUNTO,LENCERIA,223141002095,coramina
0101028200,141C T100 NEGRO,CONJUNTO,LENCERIA,223141002100,coramina
0101028210,141C T85 AVELLANA,CONJUNTO,LENCERIA,223141003085,coramina
0101028220,141C T90 AVELLANA,CONJUNTO,LENCERIA,223141003090,coramina
0101028230,141C T95 AVELLANA,CONJUNTO,LENCERIA,223141003095,coramina
0101028240,141C T100 AVELLANA,CONJUNTO,LENCERIA,223141003100,coramina
0101028250,141C T85 HUESO,CONJUNTO,LENCERIA,223141004085,coramina
0101028260,141C T90 HUESO,CONJUNTO,LENCERIA,223141004090,coramina
0101028270,141C T95 HUESO,CONJUNTO,LENCERIA,223141004095,coramina
0101028280,141C T100 HUESO,CONJUNTO,LENCERIA,223141004100,coramina
0101028290,141C T85 GRIS,CONJUNTO,LENCERIA,223141006085,coramina
0101028300,141C T90 GRIS,CONJUNTO,LENCERIA,223141006090,coramina
0101028310,141C T95 GRIS,CONJUNTO,LENCERIA,223141006095,coramina
0101028320,141C T100 GRIS,CONJUNTO,LENCERIA,223141006100,coramina
0101028330,141C T85 ROJO,CONJUNTO,LENCERIA,223141007085,coramina
0101028340,141C T90 ROJO,CONJUNTO,LENCERIA,223141007090,coramina
0101028350,141C T95 ROJO,CONJUNTO,LENCERIA,223141007095,coramina
0101028360,141C T100 ROJO,CONJUNTO,LENCERIA,223141007100,coramina
0101028370,141C T85 CELESTE,CONJUNTO,LENCERIA,223141008085,coramina
0101028380,141C T90 CELESTE,CONJUNTO,LENCERIA,223141008090,coramina
0101028390,141C T95 CELESTE,CONJUNTO,LENCERIA,223141008095,coramina
0101028400,141C T100 CELESTE,CONJUNTO,LENCERIA,223141008100,coramina
0101028410,141C T85 ORQUIDEA,CONJUNTO,LENCERIA,223141009085,coramina
0101028420,141C T90 ORQUIDEA,CONJUNTO,LENCERIA,223141009090,coramina
0101028430,141C T95 ORQUIDEA,CONJUNTO,LENCERIA,223141009095,coramina
0101028440,141C T100 ORQUIDEA,CONJUNTO,LENCERIA,223141009100,coramina
0101028450,141C T85 ROSA,CONJUNTO,LENCERIA,223141011085,coramina
0101028460,141C T90 ROSA,CONJUNTO,LENCERIA,223141011090,coramina
0101028470,141C T95 ROSA,CONJUNTO,LENCERIA,223141011095,coramina
0101028480,141C T100 ROSA,CONJUNTO,LENCERIA,223141011100,coramina
0101028490,141C T85 AZUL MEL,CONJUNTO,LENCERIA,223141014085,coramina
0101028500,141C T90 AZUL MEL,CONJUNTO,LENCERIA,223141014090,coramina
0101028510,141C T95 AZUL MEL,CONJUNTO,LENCERIA,223141014095,coramina
0101028520,141C T100 AZUL MEL,CONJUNTO,LENCERIA,223141014100,coramina
0101028530,141C T85 LILA,CONJUNTO,LENCERIA,223141024085,coramina
0101028540,141C T90 LILA,CONJUNTO,LENCERIA,223141024090,coramina
0101028550,141C T95 LILA,CONJUNTO,LENCERIA,223141024095,coramina
0101028560,141C T100 LILA,CONJUNTO,LENCERIA,223141024100,coramina
0101028570,141C T85 FUCSIA,CONJUNTO,LENCERIA,223141026085,coramina
0101028580,141C T90 FUCSIA,CONJUNTO,LENCERIA,223141026090,coramina
0101028590,141C T95 FUCSIA,CONJUNTO,LENCERIA,223141026095,coramina
0101028600,141C T100 FUCSIA,CONJUNTO,LENCERIA,223141026100,coramina
0101028610,141C T85 CORAL,CONJUNTO,LENCERIA,223141030085,coramina
0101028620,141C T90 CORAL,CONJUNTO,LENCERIA,223141030090,coramina
0101028630,141C T95 CORAL,CONJUNTO,LENCERIA,223141030095,coramina
0101028640,141C T100 CORAL,CONJUNTO,LENCERIA,223141030100,coramina
0101028650,141C T85 FRANCIA,CONJUNTO,LENCERIA,223141034085,coramina
0101028660,141C T90 FRANCIA,CONJUNTO,LENCERIA,223141034090,coramina
0101028670,141C T95 FRANCIA,CONJUNTO,LENCERIA,223141034095,coramina
0101028680,141C T100 FRANCIA,CONJUNTO,LENCERIA,223141034100,coramina
0101028690,141C T85 ALELI,CONJUNTO,LENCERIA,223141042085,coramina
0101028700,141C T90 ALELI,CONJUNTO,LENCERIA,223141042090,coramina
0101028710,141C T95 ALELI,CONJUNTO,LENCERIA,223141042095,coramina
0101028720,141C T100 ALELI,CONJUNTO,LENCERIA,223141042100,coramina
0101028730,142C T90 BLANCO,CONJUNTO,LENCERIA,223142001090,coramina
0101028740,142C T95 BLANCO,CONJUNTO,LENCERIA,223142001095,coramina
0101028750,142C T100 BLANCO,CONJUNTO,LENCERIA,223142001100,coramina
0101028760,142C T105 BLANCO,CONJUNTO,LENCERIA,223142001105,coramina
0101028770,142C T110 BLANCO,CONJUNTO,LENCERIA,223142001110,coramina
0101028780,142C T90 NEGRO,CONJUNTO,LENCERIA,223142002085,coramina
0101028790,142C T95 NEGRO,CONJUNTO,LENCERIA,223142002090,coramina
0101028800,142C T100 NEGRO,CONJUNTO,LENCERIA,223142002095,coramina
0101028810,142C T105 NEGRO,CONJUNTO,LENCERIA,223142002100,coramina
0101028820,142C T110 NEGRO,CONJUNTO,LENCERIA,223142002105,coramina
0101028830,142C T90 HUESO,CONJUNTO,LENCERIA,223142004090,coramina
0101028840,142C T95 HUESO,CONJUNTO,LENCERIA,223142004095,coramina
0101028850,142C T100 HUESO,CONJUNTO,LENCERIA,223142004100,coramina
0101028860,142C T105 HUESO,CONJUNTO,LENCERIA,223142004105,coramina
0101028870,142C T110 HUESO,CONJUNTO,LENCERIA,223142004110,coramina
0101028880,145C T85 HUESO,CONJUNTO,LENCERIA,223145004085,coramina
0101028890,145C T90 HUESO,CONJUNTO,LENCERIA,223145004090,coramina
0101028900,145C T95 HUESO,CONJUNTO,LENCERIA,223145004095,coramina
0101028910,145C T100 HUESO,CONJUNTO,LENCERIA,223145004100,coramina
0101028920,145C T85 GRIS,CONJUNTO,LENCERIA,223145006085,coramina
0101028930,145C T90 GRIS,CONJUNTO,LENCERIA,223145006090,coramina
0101028940,145C T95 GRIS,CONJUNTO,LENCERIA,223145006095,coramina
0101028950,145C T100 GRIS,CONJUNTO,LENCERIA,223145006100,coramina
0101028960,145C T85 BLANCO/R,CONJUNTO,LENCERIA,223145051085,coramina
0101028970,145C T90 BLANCO/R,CONJUNTO,LENCERIA,223145051090,coramina
0101028980,145C T95 BLANCO/R,CONJUNTO,LENCERIA,223145051095,coramina
0101028990,145C T100 BLANCO/R,CONJUNTO,LENCERIA,223145051100,coramina
0101029000,145C T85 BCO/LILA,CONJUNTO,LENCERIA,223145053085,coramina
0101029010,145C T90 BCO/LILA,CONJUNTO,LENCERIA,223145053090,coramina
0101029020,145C T95 BCO/LILA,CONJUNTO,LENCERIA,223145053095,coramina
0101029030,145C T100 BCO/LILA,CONJUNTO,LENCERIA,223145053100,coramina
0101029040,145C T85 HSO/CELESTE,CONJUNTO,LENCERIA,223145091085,coramina
0101029050,145C T90 HSO/CELESTE,CONJUNTO,LENCERIA,223145091090,coramina
0101029060,145C T95 HSO/CELESTE,CONJUNTO,LENCERIA,223145091095,coramina
0101029070,145C T100 HSO/CELESTE,CONJUNTO,LENCERIA,223145091100,coramina
0101029080,145C T85 HSO/ROSA,CONJUNTO,LENCERIA,223145100085,coramina
0101029090,145C T90 HSO/ROSA,CONJUNTO,LENCERIA,223145100090,coramina
0101029100,145C T95 HSO/ROSA,CONJUNTO,LENCERIA,223145100095,coramina
0101029110,145C T100 HSO/ROSA,CONJUNTO,LENCERIA,223145100100,coramina
0101029120,145C T85 BCO/CORAL,CONJUNTO,LENCERIA,223145101085,coramina
0101029130,145C T90 BCO/CORAL,CONJUNTO,LENCERIA,223145101090,coramina
0101029140,145C T95 BCO/CORAL,CONJUNTO,LENCERIA,223145101095,coramina
0101029150,145C T100 BCO/CORAL,CONJUNTO,LENCERIA,223145101100,coramina
0101029160,145C T85 GRIS/VIOLETA,CONJUNTO,LENCERIA,223145134085,coramina
0101029170,145C T90 GRIS/VIOLETA,CONJUNTO,LENCERIA,223145134090,coramina
0101029180,145C T95 GRIS/VIOLETA,CONJUNTO,LENCERIA,223145134095,coramina
0101029190,145C T100 GRIS/VIOLETA,CONJUNTO,LENCERIA,223145134100,coramina
0101029200,166C T85 BLANCO,CONJUNTO,LENCERIA,223166001085,coramina
0101029210,166C T90 BLANCO,CONJUNTO,LENCERIA,223166001090,coramina
0101029220,166C T95 BLANCO,CONJUNTO,LENCERIA,223166001095,coramina
0101029230,166C T100 BLANCO,CONJUNTO,LENCERIA,223166001100,coramina
0101029240,166C T105 BLANCO,CONJUNTO,LENCERIA,223166001105,coramina
0101029250,166C T110 BLANCO,CONJUNTO,LENCERIA,223166001110,coramina
0101029260,166C T85 NEGRO,CONJUNTO,LENCERIA,223166002085,coramina
0101029270,166C T90 NEGRO,CONJUNTO,LENCERIA,223166002090,coramina
0101029280,166C T95 NEGRO,CONJUNTO,LENCERIA,223166002095,coramina
0101029290,166C T100 NEGRO,CONJUNTO,LENCERIA,223166002100,coramina
0101029300,166C T105 NEGRO,CONJUNTO,LENCERIA,223166002105,coramina
0101029310,166C T110 NEGRO,CONJUNTO,LENCERIA,223166002110,coramina
0101029320,166C T85 HUESO,CONJUNTO,LENCERIA,223166004085,coramina
0101029330,166C T90 HUESO,CONJUNTO,LENCERIA,223166004090,coramina
0101029340,166C T95 HUESO,CONJUNTO,LENCERIA,223166004095,coramina
0101029350,166C T100 HUESO,CONJUNTO,LENCERIA,223166004100,coramina
0101029360,166C T105 HUESO,CONJUNTO,LENCERIA,223166004105,coramina
0101029370,166C T110 HUESO,CONJUNTO,LENCERIA,223166004110,coramina
0101029380,166C T85 GRIS,CONJUNTO,LENCERIA,223166006085,coramina
0101029390,166C T90 GRIS,CONJUNTO,LENCERIA,223166006090,coramina
0101029400,166C T95 GRIS,CONJUNTO,LENCERIA,223166006095,coramina
0101029410,166C T100 GRIS,CONJUNTO,LENCERIA,223166006100,coramina
