cod_articulo,Descripcion,Desc_adicional,Familia,Codigo_barras,marca
0101043340,110F CONJ FAIRUZ,CONJUNTO,LENCERIA,110F,fairuz
0101043350,111F CONJ FAIRUZ,CONJUNTO,LENCERIA,111F,fairuz
0101043360,112F CONJ FAIRUZ,CONJUNTO,LENCERIA,112F,fairuz
0101043370,113F CONJ FAIRUZ,CONJUNTO,LENCERIA,113F,fairuz
0101043380,114F CONJ FAIRUZ,CONJUNTO,LENCERIA,114F,fairuz
0101043390,115F CONJ FAIRUZ,CONJUNTO,LENCERIA,115F,fairuz
0101043400,116F CONJ FAIRUZ,CONJUNTO,LENCERIA,116F,fairuz
0101043410,117F CONJ FAIRUZ,CONJUNTO,LENCERIA,117F,fairuz
0101043420,118F CONJ FAIRUZ,CONJUNTO,LENCERIA,118F,fairuz
0101043430,120F CONJ FAIRUZ,CONJUNTO,LENCERIA,120F,fairuz
0101043440,121F CONJUNTO,CONJUNTO,LENCERIA,121F,fairuz
0101043450,122F CONJ FAIRUZ,CONJUNTO,LENCERIA,122F,fairuz
0101043460,123F CONJUNTO,CONJUNTO,LENCERIA,123F,fairuz
0101043470,125F CONJ FAIRUZ,CONJUNTO,LENCERIA,125F,fairuz
0101043480,130F CONJ FAIRUZ,CONJUNTO,LENCERIA,130F,fairuz
0101043490,2020F CONJ FAIRUZ,CONJUNTO,LENCERIA,2020F,fairuz
0101043500,2020FE CONJ FAIRUZ TALLES 105-,CONJUNTO,LENCERIA,2020FE,fairuz
0101043510,202F CONJ FAIRUZ,CONJUNTO,LENCERIA,202F,fairuz
0101043520,2030F CONJ FAIRUZ,CONJUNTO,LENCERIA,2030F,fairuz
0101043530,2031F CON FAIRUZ,CONJUNTO,LENCERIA,2031F,fairuz
0101043540,2033F CON FAIRUZ,CONJUNTO,LENCERIA,2033F,fairuz
0101043550,2035F CON FAIRUZ,CONJUNTO,LENCERIA,2035F,fairuz
0101043560,2036F CON FAIRUZ,CONJUNTO,LENCERIA,2036F,fairuz
0101043570,2037F CON FAIRUZ,CONJUNTO,LENCERIA,2037F,fairuz
0101043580,2038F CON FAIRUZ,CONJUNTO,LENCERIA,2038F,fairuz
0101043590,203F CONJ FAIRUZ,CONJUNTO,LENCERIA,203F,fairuz
