Cod_articulo,Descripcion,Desc_adic,Familia,Codbar,marca
0101044720,J651 T1 BLANCO,CONJUNTO,LENCERIA,065100101,LENCERIA JULIETA
0101044730,J651 T1 SALMON,CONJUNTO,LENCERIA,065100107,LENCERIA JULIETA
0101044740,J651 T1 ALMENDRA,CONJUNTO,LENCERIA,065100114,LENCERIA JULIETA
0101044750,J651 T1 FRANCIA,CONJUNTO,LENCERIA,065100138,LENCERIA JULIETA
0101044760,J651 T2 BLANCO,CONJUNTO,LENCERIA,065100201,LENCERIA JULIETA
0101044770,J651 T2 SALMON,CONJUNTO,LENCERIA,065100207,LENCERIA JULIETA
0101044780,J651 T2 ALMENDRA,CONJUNTO,LENCERIA,065100214,LENCERIA JULIETA
0101044790,J651 T2 FRANCIA,CONJUNTO,LENCERIA,065100238,LENCERIA JULIETA
0101044800,J651 T3 BLANCO,CONJUNTO,LENCERIA,065100301,LENCERIA JULIETA
0101044810,J651 T3 SALMON,CONJUNTO,LENCERIA,065100307,LENCERIA JULIETA
0101044820,J651 T3 ALMENDRA,CONJUNTO,LENCERIA,065100314,LENCERIA JULIETA
0101044830,J651 T3 FRANCIA,CONJUNTO,LENCERIA,065100338,LENCERIA JULIETA
0101044840,J651 T4 BLANCO,CONJUNTO,LENCERIA,065100401,LENCERIA JULIETA
0101044850,J651 T4 SALMON,CONJUNTO,LENCERIA,065100407,LENCERIA JULIETA
0101044860,J651 T4 ALMENDRA,CONJUNTO,LENCERIA,065100414,LENCERIA JULIETA
0101044870,J651 T4 FRANCIA,CONJUNTO,LENCERIA,065100438,LENCERIA JULIETA
0101044880,J652 T1 BLANCO,CONJUNTO,LENCERIA,065200101,LENCERIA JULIETA
0101044890,J652 T1 SALMON,CONJUNTO,LENCERIA,065200107,LENCERIA JULIETA
0101044900,J652 T1 ALMENDRA,CONJUNTO,LENCERIA,065200114,LENCERIA JULIETA
0101044910,J6521 T1 FRANCIA,CONJUNTO,LENCERIA,065200138,LENCERIA JULIETA
0101044920,J652 T2 BLANCO,CONJUNTO,LENCERIA,065200201,LENCERIA JULIETA
0101044930,J652 T2 SALMON,CONJUNTO,LENCERIA,065200207,LENCERIA JULIETA
0101044940,J652 T2 ALMENDRA,CONJUNTO,LENCERIA,065200214,LENCERIA JULIETA
0101044950,J652 T2 FRANCIA,CONJUNTO,LENCERIA,065200238,LENCERIA JULIETA
0101044960,J652 T3 BLANCO,CONJUNTO,LENCERIA,065200301,LENCERIA JULIETA
0101044970,J652 T3 SALMON,CONJUNTO,LENCERIA,065200307,LENCERIA JULIETA
0101044980,J652 T3 ALMENDRA,CONJUNTO,LENCERIA,065200314,LENCERIA JULIETA
0101044990,J652 T3 FRANCIA,CONJUNTO,LENCERIA,065200338,LENCERIA JULIETA
0101045000,J652 T4 BLANCO,CONJUNTO,LENCERIA,065200401,LENCERIA JULIETA
0101045010,J652 T4 SALMON,CONJUNTO,LENCERIA,065200407,LENCERIA JULIETA
0101045020,J652 T4 ALMENDRA,CONJUNTO,LENCERIA,065200414,LENCERIA JULIETA
0101045030,J652 T4 FRANCIA,CONJUNTO,LENCERIA,065200438,LENCERIA JULIETA
0101045040,J653 T1 BLANCO,CONJUNTO,LENCERIA,065300101,LENCERIA JULIETA
0101045050,J653 T1 SALMON,CONJUNTO,LENCERIA,065300107,LENCERIA JULIETA
0101045060,J653 T1 ALMENDRA,CONJUNTO,LENCERIA,065300114,LENCERIA JULIETA
0101045070,J653 T1 FRANCIA,CONJUNTO,LENCERIA,065300138,LENCERIA JULIETA
0101045080,J653 T2 BLANCO,CONJUNTO,LENCERIA,065300201,LENCERIA JULIETA
0101045090,J653 T2 SALMON,CONJUNTO,LENCERIA,065300207,LENCERIA JULIETA
0101045100,J653 T2 ALMENDRA,CONJUNTO,LENCERIA,065300214,LENCERIA JULIETA
0101045110,J653 T2 FRANCIA,CONJUNTO,LENCERIA,065300238,LENCERIA JULIETA
0101045120,J653 T3 BLANCO,CONJUNTO,LENCERIA,065300301,LENCERIA JULIETA
0101045130,J653 T3 SALMON,CONJUNTO,LENCERIA,065300307,LENCERIA JULIETA
0101045140,J653 T3 ALMENDRA,CONJUNTO,LENCERIA,065300314,LENCERIA JULIETA
0101045150,J653 T3 FRANCIA,CONJUNTO,LENCERIA,065300338,LENCERIA JULIETA
0101045160,J653 T4 BLANCO,CONJUNTO,LENCERIA,065300401,LENCERIA JULIETA
0101045170,J653 T4 SALMON,CONJUNTO,LENCERIA,065300407,LENCERIA JULIETA
0101045180,J653 T4 ALMENDRA,CONJUNTO,LENCERIA,065300414,LENCERIA JULIETA
0101045190,J653 T4 FRANCIA,CONJUNTO,LENCERIA,065300438,LENCERIA JULIETA
0101154580,651J CONJUNTO JULIETA,CONJUNTO,LENCERIA,651J,LENCERIA JULIETA
0101154590,652J CONJUNTO JULIETA,CONJUNTO,LENCERIA,652J,LENCERIA JULIETA
0101154600,653J  CONJUNTOS JULIETA,CONJUNTO,LENCERIA,653J,LENCERIA JULIETA
0102005970,J1000 T90 BLANCO CORP,CORPIÑO,LENCERIA,2120901000,LENCERIA JULIETA
0102005980,J1000 T95 BLANCO CORP,CORPIÑO,LENCERIA,2120951000,LENCERIA JULIETA
0102005990,J1000 T100 BLANCO CORP,CORPIÑO,LENCERIA,2121001000,LENCERIA JULIETA
0102006000,J1000 T105 BLANCO CORP,CORPIÑO,LENCERIA,2121051000,LENCERIA JULIETA
0102011090,ARTICULOS DE OFERTA X2,CORPIÑO,LENCERIA,00OF3,LENCERIA JULIETA
0105003620,J101 CULOTTE PUNT ROSA,BOMBACHA,LENCERIA,J101UNI,LENCERIA JULIETA
0105003630,J102 LESS PUNT ROSA,BOMBACHA,LENCERIA,J102UNI,LENCERIA JULIETA
0105003640,J103 UNI CULOTTE ROSA,BOMBACHA,LENCERIA,J103UNI,LENCERIA JULIETA
0105003650,J106 LESS REG ROSA,BOMBACHA,LENCERIA,J106UNI,LENCERIA JULIETA
0105003660,J112 VEDETINA PUNT ROSA,BOMBACHA,LENCERIA,J112UNI,LENCERIA JULIETA
0105003670,J420 LESS ENTERA ROSA,BOMBACHA,LENCERIA,J420UNI,LENCERIA JULIETA
0105003680,J420 LESS ENTERA SIN COSTURA,BOMBACHA,LENCERIA,J420UNISC,LENCERIA JULIETA
0105003690,J420 LESS ENTERA SIN COSTURA T,BOMBACHA,LENCERIA,J420UNISCXL,LENCERIA JULIETA
0105003700,J420XLUNI LESS ENTERA ROSA,BOMBACHA,LENCERIA,J420XLUNI,LENCERIA JULIETA
0105003710,J423 LESS ENTERA SIN COSTURA,BOMBACHA,LENCERIA,J423UNISC,LENCERIA JULIETA
0105003720,J423 LESS ENTERA SIN COSTURA T,BOMBACHA,LENCERIA,J423UNISCXL,LENCERIA JULIETA
0105003730,J430 CULOTTE SIN COSTURA,BOMBACHA,LENCERIA,J430UNISC,LENCERIA JULIETA
0105003740,J430 CULOTTE SIN COSTURA TXL,BOMBACHA,LENCERIA,J430UNISCXL,LENCERIA JULIETA
0105003750,J433 CULOTTE SIN COSTURA,BOMBACHA,LENCERIA,J433UNISC,LENCERIA JULIETA
0105003760,J433 CULOTTE SIN COSTURA TXL,BOMBACHA,LENCERIA,J433UNISCXL,LENCERIA JULIETA
0105003770,J440UNI VEDETINA ALG ROSA,BOMBACHA,LENCERIA,J440UNI,LENCERIA JULIETA
0105003780,J440 VEDETINA SIN COSTURA,BOMBACHA,LENCERIA,J440UNISC,LENCERIA JULIETA
0105003790,J440 VEDETINA SIN COSTURA TXL,BOMBACHA,LENCERIA,J440UNISCXL,LENCERIA JULIETA
0105003800,J440XLUNI VEDETINA ROSA,BOMBACHA,LENCERIA,J440XLUNI,LENCERIA JULIETA
0105003810,J443 VEDETINA SIN COSTURA,BOMBACHA,LENCERIA,J443UNISC,LENCERIA JULIETA
0105003820,J443 VEDETINA SIN COSTURA TXL,BOMBACHA,LENCERIA,J443UNISCXL,LENCERIA JULIETA
0105003830,J450 CULOTTE LESS ALG ROSA,BOMBACHA,LENCERIA,J450UNI,LENCERIA JULIETA
0105003840,J450 CULOTTE LESS SIN COSTURA,BOMBACHA,LENCERIA,J450UNISC,LENCERIA JULIETA
0105003850,J450 CULOTTE LESS SIN COSTURA,BOMBACHA,LENCERIA,J450UNISCXL,LENCERIA JULIETA
0105003860,J453 CULOTTE LESS SIN COSTURA,BOMBACHA,LENCERIA,J453UNISC,LENCERIA JULIETA
0105003870,J453 CULOTTE LESS SIN COSTURA,BOMBACHA,LENCERIA,J453UNISCXL,LENCERIA JULIETA
0105027580,J430 CULOTTE ALG ROSA,BOMBACHA,LENCERIA,J430UNI,LENCERIA JULIETA
0105027590,J410 LESS REGUL ROSA,BOMBACHA,LENCERIA,J410UNI,LENCERIA JULIETA
0105031800,J215 VEDETINA LISA ROSA,BOMB UNIDAD,LENCERIA,J215,LENCERIA JULIETA
0105031810,J250 CULOTTE LESS SURT ROSA,BOMB UNIDAD,LENCERIA,J250,LENCERIA JULIETA
0105031820,J204 LESS ENTER MICROF ROSA,BOMB UNIDAD,LENCERIA,J204,LENCERIA JULIETA
0105031830,J207 LESS REG MICROF ROSA,BOMB UNIDAD,LENCERIA,J207,LENCERIA JULIETA
0105031840,J400 BOMB NENA T4 ROSA,BOMB UNIDAD,LENCERIA,J400T4,LENCERIA JULIETA
0105031850,J400 BOMB NENA T6 ROSA,BOMB UNIDAD,LENCERIA,J400T6,LENCERIA JULIETA
0105031860,J400 BOMB NENA T8 ROSA,BOMB UNIDAD,LENCERIA,J400T8,LENCERIA JULIETA
0105031870,J400 BOMB NENA T10 ROSA,BOMB UNIDAD,LENCERIA,J400T10,LENCERIA JULIETA
0105031880,J400 BOMB NENA T12 ROSA,BOMB UNIDAD,LENCERIA,J400T12,LENCERIA JULIETA
0105031890,J206 BOMBACHAS ROSA UNIDAD,BOMB UNIDAD,LENCERIA,J206,LENCERIA JULIETA
0112002010,J101 PACK X2 CULOTTE PUNTILLA,PACK,LENCERIA,0020000101,LENCERIA JULIETA
0112002020,J103 PACK X2 CULOTTE PUNTILLA,PACK,LENCERIA,0020000103,LENCERIA JULIETA
0112002030,J102 PACK X 3 LESS ENTERA PUNT,PACK,LENCERIA,0030000102,LENCERIA JULIETA
0112002040,J106 TU PACK TIRITALESS,PACK,LENCERIA,0030000106,LENCERIA JULIETA
0112002050,J204 PACK X3 COLALESS,PACK,LENCERIA,0030000204,LENCERIA JULIETA
0112002060,J207 PACK X3 TIRITA REGULABE,PACK,LENCERIA,0030000207,LENCERIA JULIETA
0112002070,J410 PACK X3 LESS REG,PACK,LENCERIA,0030000410,LENCERIA JULIETA
0112002080,J411 PACK X3 LESS REG,PACK,LENCERIA,0030000411,LENCERIA JULIETA
0112002090,J412 PACK X3 LESS REG,PACK,LENCERIA,0030000412,LENCERIA JULIETA
0112002100,J413 PACK X3 LESS REG,PACK,LENCERIA,0030000413,LENCERIA JULIETA
0112002110,J420 PACK X3 LESS ENT,PACK,LENCERIA,0030000420,LENCERIA JULIETA
0112002120,J421 PACK X3 LESS ENT,PACK,LENCERIA,0030000421,LENCERIA JULIETA
0112002130,J422  PACK X3 LESS ENT,PACK,LENCERIA,0030000422,LENCERIA JULIETA
0112002140,J423  PACK X3 LESS ENT,PACK,LENCERIA,0030000423,LENCERIA JULIETA
0112002150,J430 PACK X3 CULOTTE,PACK,LENCERIA,0030000430,LENCERIA JULIETA
0112002160,J431 PACK X3 CULOTTE,PACK,LENCERIA,0030000431,LENCERIA JULIETA
0112002170,J432 PACK X3 CULOTTE,PACK,LENCERIA,0030000432,LENCERIA JULIETA
0112002180,J433 PACK X3 CULOTTE,PACK,LENCERIA,0030000433,LENCERIA JULIETA
0112002190,J440 PACK X3 VEDETINA,PACK,LENCERIA,0030000440,LENCERIA JULIETA
0112002200,J441 PACK X3 VEDETINA,PACK,LENCERIA,0030000441,LENCERIA JULIETA
0112002210,J442  PACK X3 VEDETINA,PACK,LENCERIA,0030000442,LENCERIA JULIETA
0112002220,J443 PACK X3 VEDETINA,PACK,LENCERIA,0030000443,LENCERIA JULIETA
0112002230,J450 PACK X3 CULOTTE LESS,PACK,LENCERIA,0030000450,LENCERIA JULIETA
0112002240,J451 PACK X3 CULOTTE LESS,PACK,LENCERIA,0030000451,LENCERIA JULIETA
0112002250,J452 PACK X3 CULOTTE LESS,PACK,LENCERIA,0030000452,LENCERIA JULIETA
0112002260,J453 PACK X3 CULOTTE LESS,PACK,LENCERIA,0030000453,LENCERIA JULIETA
0112002270,J460 PACK X3 LESS ENT CON PUNT,PACK,LENCERIA,0030000460,LENCERIA JULIETA
0112002280,J461 PACK X3 LESS ENT CON PUNT,PACK,LENCERIA,0030000461,LENCERIA JULIETA
0112002290,J462 PACK X3 LESS ENT CON PUNT,PACK,LENCERIA,0030000462,LENCERIA JULIETA
0112002300,J463 PACK X3 LESS ENT CON PUNT,PACK,LENCERIA,0030000463,LENCERIA JULIETA
0112002310,J420XL PACK X3 LESS ENT XL,PACK,LENCERIA,0030010420,LENCERIA JULIETA
0112002320,J421XL PACK X3 LESS ENT XL,PACK,LENCERIA,0030010421,LENCERIA JULIETA
0112002330,J422XL PACK X3 LESS ENT XL,PACK,LENCERIA,0030010422,LENCERIA JULIETA
0112002340,J423XL PACK X3 LESS ENT XL,PACK,LENCERIA,0030010423,LENCERIA JULIETA
0112002350,J440XL PACK X3 VEDETINA XL,PACK,LENCERIA,0030010440,LENCERIA JULIETA
0112002360,J441XL PACK X3 VEDETINA XL,PACK,LENCERIA,0030010441,LENCERIA JULIETA
0112002370,J442XL PACK X3 VEDETINA XL,PACK,LENCERIA,0030010442,LENCERIA JULIETA
0112002380,J443XL PACK X3 VEDETINA XL,PACK,LENCERIA,0030010443,LENCERIA JULIETA
0112002390,J402 T4 PACK X 3 BOMB NENA ALG,PACK,LENCERIA,0030040402,LENCERIA JULIETA
0112002400,J420 PACK X3 LESS ENTERA SIN C,PACK,LENCERIA,0030040420,LENCERIA JULIETA
0112002410,J421 PACK X3 LESS ENTERA  SIN,PACK,LENCERIA,0030040421,LENCERIA JULIETA
0112002420,J422 PACK X3 LESS ENTERA SIN C,PACK,LENCERIA,0030040422,LENCERIA JULIETA
0112002430,J423 PACK X3 LESS ENTERA SIN C,PACK,LENCERIA,0030040423,LENCERIA JULIETA
0112002440,J430 PACK X3 CULOTTE ALGODÓN S,PACK,LENCERIA,0030040430,LENCERIA JULIETA
0112002450,J431 PACK X3 CULOTTE ALGODÓN S,PACK,LENCERIA,0030040431,LENCERIA JULIETA
0112002460,J432 PACK X3 CULOTTE ALGODÓN S,PACK,LENCERIA,0030040432,LENCERIA JULIETA
0112002470,J433 PACK X3 CULOTTE ALGODÓN S,PACK,LENCERIA,0030040433,LENCERIA JULIETA
0112002480,J440 PACK X3 VEDETINA ALGODÓN,PACK,LENCERIA,0030040440,LENCERIA JULIETA
0112002490,J441 PACK X3 T4 VEDET ALG,PACK,LENCERIA,0030040441,LENCERIA JULIETA
0112002500,J442 PACK X3 VEDETINA ALGODÓN,PACK,LENCERIA,0030040442,LENCERIA JULIETA
0112002510,J443 PACK X3 VEDETINA ALGODÓN,PACK,LENCERIA,0030040443,LENCERIA JULIETA
0112002520,J450 PACK X3 TXL CULOTTE LESS,PACK,LENCERIA,0030040450,LENCERIA JULIETA
0112002530,J451 PACK X3 TXL CULOTTE LESS,PACK,LENCERIA,0030040451,LENCERIA JULIETA
0112002540,J452 PACK X3 TXL CULOTTE LESS,PACK,LENCERIA,0030040452,LENCERIA JULIETA
0112002550,J453 PACK X3 TXL CULOTTE LESS,PACK,LENCERIA,0030040453,LENCERIA JULIETA
0112002560,J420 PACK X3 TXL LESS ENTERA S,PACK,LENCERIA,0030050420,LENCERIA JULIETA
0112002570,J421 PACK X3 TXL LESS ENTERA S,PACK,LENCERIA,0030050421,LENCERIA JULIETA
0112002580,J422 PACK X3 TXL LESS ENTERA S,PACK,LENCERIA,0030050422,LENCERIA JULIETA
0112002590,J423 PACK X3 TXL LESS ENTERA S,PACK,LENCERIA,0030050423,LENCERIA JULIETA
0112002600,J430 PACK X3 TXL CULOTTE ALGOD,PACK,LENCERIA,0030050430,LENCERIA JULIETA
0112002610,J431 PACK X3 TXL CULOTTE ALGOD,PACK,LENCERIA,0030050431,LENCERIA JULIETA
0112002620,J432 PACK X3 TXLCULOTTE ALGODÓ,PACK,LENCERIA,0030050432,LENCERIA JULIETA
0112002630,J433 PACK X3 TXL CULOTTE ALGOD,PACK,LENCERIA,0030050433,LENCERIA JULIETA
0112002640,J440 PACK X3 TXL VEDETINA ALGO,PACK,LENCERIA,0030050440,LENCERIA JULIETA
0112002650,J441 PACK X3 TXL VEDETINA ALGO,PACK,LENCERIA,0030050441,LENCERIA JULIETA
0112002660,J442 PACK X3 TXL VEDETINA ALGO,PACK,LENCERIA,0030050442,LENCERIA JULIETA
0112002670,J443 PACK X3 TXL VEDETINA ALGO,PACK,LENCERIA,0030050443,LENCERIA JULIETA
0112002680,J402 T6 PACK X 3 BOMB NENA ALG,PACK,LENCERIA,0030060402,LENCERIA JULIETA
0112002690,J402 T8 PACK X 3 BOMB NENA ALG,PACK,LENCERIA,0030080402,LENCERIA JULIETA
0112002700,J402 T10 PACK X 3 BOMB NENA AL,PACK,LENCERIA,0030100402,LENCERIA JULIETA
0112002710,J402 T12 PACK X 3 BOMB NENA AL,PACK,LENCERIA,0030120402,LENCERIA JULIETA
0112002760,J410 LESS PACK X3 LESS REG LIS,PACK,LENCERIA,J410,LENCERIA JULIETA
0112002770,J411 PACK X3 LESS REG SURT,PACK,LENCERIA,J411,LENCERIA JULIETA
0112002780,J412 PACK X3 LESS REG SURT,PACK,LENCERIA,J412,LENCERIA JULIETA
0112002790,J413 PACK X3 LESS REG ESTAMP,PACK,LENCERIA,J413,LENCERIA JULIETA
0112002800,J420 LESS PACK X3 JULIETA,PACK,LENCERIA,J420,LENCERIA JULIETA
0112002810,J420XL PACK X3 LESS ENTERA LIS,PACK,LENCERIA,J420XL,LENCERIA JULIETA
0112002820,J421 LES ENTERA PACK X3,PACK,LENCERIA,J421,LENCERIA JULIETA
0112002830,J421XL LES ENTERA PACK X3,PACK,LENCERIA,J421XL,LENCERIA JULIETA
0112002840,J422 PACK X3 JULIETA,PACK,LENCERIA,J422,LENCERIA JULIETA
0112002850,J422XL LES ENTERA PACK X3,PACK,LENCERIA,J422XL,LENCERIA JULIETA
0112002860,J423 PACK X3 COLALESS,PACK,LENCERIA,J423,LENCERIA JULIETA
0112002870,J423XL PACK X3 COLALESS,PACK,LENCERIA,J423XL,LENCERIA JULIETA
0112002880,J430 PACK X3 CULOTTE LISO,PACK,LENCERIA,J430,LENCERIA JULIETA
0112002890,J431 PACK X3 CULOTTE,PACK,LENCERIA,J431,LENCERIA JULIETA
0112002900,J432 PACK X3 CULOTTE,PACK,LENCERIA,J432,LENCERIA JULIETA
0112002910,J433 PACK X3 CULOTTE,PACK,LENCERIA,J433,LENCERIA JULIETA
0112002920,J440 PACK X3 VEDETINA JULIETA,PACK,LENCERIA,J440,LENCERIA JULIETA
0112002930,J440XL PAXK X3 VEDETINA LISA,PACK,LENCERIA,J440XL,LENCERIA JULIETA
