Codart,Descripcion,Desc_adic,Familia,Codbarra,MARCELA KOURY
0101077880,5223MK T100 BLANCO,CONJUNTO,LENCERIA,52230501,MARCELA KOURY
0101077890,5223MK T100 NEGRO,CONJUNTO,LENCERIA,52230503,MARCELA KOURY
0101077900,5434MK T85 NEGRO,CONJUNTO,LENCERIA,54340203,MARCELA KOURY
0101077910,5434MK T90 NEGRO,CONJUNTO,LENCERIA,54340303,MARCELA KOURY
0101077920,5434MK T95 NEGRO,CONJUNTO,LENCERIA,54340403,MARCELA KOURY
0101077930,5434MK T100 NEGRO,CONJUNTO,LENCERIA,54340503,MARCELA KOURY
0101077940,5223MK T100 NOUGAT,CONJUNTO,LENCERIA,522305128,MARCELA KOURY
0101077950,5294MK T100 ROSA CUARZO,CONJUNTO,LENCERIA,529405334,MARCELA KOURY
0101096850,5232MK T85 NOUGAT-CORAL,CONJUNTO,LENCERIA,523202,MARCELA KOURY
0101096860,5232MK T90 NOUGAT-CORAL,CONJUNTO,LENCERIA,523203,MARCELA KOURY
0101096870,5232MK T95 NOUGAT-CORAL,CONJUNTO,LENCERIA,523204,MARCELA KOURY
0101096880,5232MK T100 NOUGAT-CORAL,CONJUNTO,LENCERIA,523205,MARCELA KOURY
0101096890,5372MK T85 BCO-NOUGAT,CONJUNTO,LENCERIA,537202,MARCELA KOURY
0101096900,5372MK T90 BCO-NOUGAT,CONJUNTO,LENCERIA,537203,MARCELA KOURY
0101096910,5372MK T95 BCO-NOUGAT,CONJUNTO,LENCERIA,537204,MARCELA KOURY
0101096920,5372MK T100 BCO-NOUGAT,CONJUNTO,LENCERIA,537205,MARCELA KOURY
0101096930,5373MK T85 BCO-NOUGAT,CONJUNTO,LENCERIA,537302,MARCELA KOURY
0101096940,5373MK T90 BCO-NOUGAT,CONJUNTO,LENCERIA,537303,MARCELA KOURY
0101096950,5373MK T95 BCO-NOUGAT,CONJUNTO,LENCERIA,537304,MARCELA KOURY
0101096960,5373MK T100 BCO-NOUGAT,CONJUNTO,LENCERIA,537305,MARCELA KOURY
0101096970,5084MK T85 BLANCO,CONJUNTO,LENCERIA,50840201,MARCELA KOURY
0101096980,5084MK T85 NEGRO,CONJUNTO,LENCERIA,50840203,MARCELA KOURY
0101096990,5084MK T85 ROSA PETALO,CONJUNTO,LENCERIA,50840228,MARCELA KOURY
0101097000,5084MK T90 BLANCO,CONJUNTO,LENCERIA,50840301,MARCELA KOURY
0101097010,5084MK T90 NEGRO,CONJUNTO,LENCERIA,50840303,MARCELA KOURY
0101097020,5084MK T90 NOUGAT,CONJUNTO,LENCERIA,50840328,MARCELA KOURY
0101097030,5084MK T95 BLANCO,CONJUNTO,LENCERIA,50840401,MARCELA KOURY
0101097040,5084MK T95 NEGRO,CONJUNTO,LENCERIA,50840403,MARCELA KOURY
0101097050,5084MK T95 NOUGAT,CONJUNTO,LENCERIA,50840428,MARCELA KOURY
0101097060,5084MK T100 BLANCO,CONJUNTO,LENCERIA,50840501,MARCELA KOURY
0101097070,5084MK T100 NEGRO,CONJUNTO,LENCERIA,50840503,MARCELA KOURY
0101097080,5084MK T100 NOUGAT,CONJUNTO,LENCERIA,50840528,MARCELA KOURY
0101097090,5116MK T85 BLANCO,CONJUNTO,LENCERIA,51160201,MARCELA KOURY
0101097100,5116MK T85 NEGRO,CONJUNTO,LENCERIA,51160203,MARCELA KOURY
0101097110,5116MK T85 NOUGAT,CONJUNTO,LENCERIA,51160228,MARCELA KOURY
0101097120,5116MK T90 BLANCO,CONJUNTO,LENCERIA,51160301,MARCELA KOURY
0101097130,5116MK T90 NEGRO,CONJUNTO,LENCERIA,51160303,MARCELA KOURY
0101097140,5116MK T90 NOUGAT,CONJUNTO,LENCERIA,51160328,MARCELA KOURY
0101097150,5116MK T95 BLANCO,CONJUNTO,LENCERIA,51160401,MARCELA KOURY
0101097160,5116MK T95 NEGRO,CONJUNTO,LENCERIA,51160403,MARCELA KOURY
0101097170,5116MK T95 NOUGAT,CONJUNTO,LENCERIA,51160428,MARCELA KOURY
0101097180,5116MK T100 BLANCO,CONJUNTO,LENCERIA,51160501,MARCELA KOURY
0101097190,5116MK T100 NEGRO,CONJUNTO,LENCERIA,51160503,MARCELA KOURY
0101097200,5116MK T100 NOUGAT,CONJUNTO,LENCERIA,51160528,MARCELA KOURY
0101097210,5160MK T85 BLANCO,CONJUNTO,LENCERIA,51600201,MARCELA KOURY
0101097220,5160MK T85 NEGRO,CONJUNTO,LENCERIA,51600203,MARCELA KOURY
0101097230,5160MK T85 NOUGAT,CONJUNTO,LENCERIA,51600228,MARCELA KOURY
0101097240,5160MK T90 BLANCO,CONJUNTO,LENCERIA,51600301,MARCELA KOURY
0101097250,5160MK T90 NEGRO,CONJUNTO,LENCERIA,51600303,MARCELA KOURY
0101097260,5160MK T90 NOUGAT,CONJUNTO,LENCERIA,51600328,MARCELA KOURY
0101097270,5160MK T95 BLANCO,CONJUNTO,LENCERIA,51600401,MARCELA KOURY
0101097280,5160MK T95 NEGRO,CONJUNTO,LENCERIA,51600403,MARCELA KOURY
0101097290,5160MK T95 NOUGAT,CONJUNTO,LENCERIA,51600428,MARCELA KOURY
0101097300,5160MK T100 BLANCO,CONJUNTO,LENCERIA,51600501,MARCELA KOURY
0101097310,5160MK T100 NEGRO,CONJUNTO,LENCERIA,51600503,MARCELA KOURY
0101097320,5160MK T100 NOUGAT,CONJUNTO,LENCERIA,51600528,MARCELA KOURY
0101097330,5223MK T80 NEGRO,CONJUNTO,LENCERIA,52230103,MARCELA KOURY
0101097340,5223MK T85 BLANCO,CONJUNTO,LENCERIA,52230201,MARCELA KOURY
0101097350,5223MK T85 NEGRO,CONJUNTO,LENCERIA,52230203,MARCELA KOURY
0101097360,5223MK T85 NOUGAT,CONJUNTO,LENCERIA,52230228,MARCELA KOURY
0101097370,5223MK T90 BLANCO,CONJUNTO,LENCERIA,52230301,MARCELA KOURY
0101097380,5223MK T90 NEGRO,CONJUNTO,LENCERIA,52230303,MARCELA KOURY
0101097390,5223MK T90 NOUGAT,CONJUNTO,LENCERIA,52230328,MARCELA KOURY
0101097400,5223MK T95 BLANCO,CONJUNTO,LENCERIA,52230401,MARCELA KOURY
0101097410,5223MK T95 NEGRO,CONJUNTO,LENCERIA,52230403,MARCELA KOURY
0101097420,5223MK T95 NOUGAT,CONJUNTO,LENCERIA,52230428,MARCELA KOURY
0101097430,5232MK T85 NGRO-ESMERALDA,CONJUNTO,LENCERIA,52320223,MARCELA KOURY
0101097440,5232MK T85 BCO-ESMERALDA,CONJUNTO,LENCERIA,52320238,MARCELA KOURY
0101097450,5232MK T90 NGRO-ESMERALDA,CONJUNTO,LENCERIA,52320323,MARCELA KOURY
0101097460,5232MK T90 BCO-ESMERALDA,CONJUNTO,LENCERIA,52320338,MARCELA KOURY
0101097470,5232MK T95 NGRO-ESMERALDA,CONJUNTO,LENCERIA,52320423,MARCELA KOURY
0101097480,5232MK T95 BCO-ESMERALDA,CONJUNTO,LENCERIA,52320438,MARCELA KOURY
0101097490,5232MK T100 NGRO-ESMERALDA,CONJUNTO,LENCERIA,52320523,MARCELA KOURY
0101097500,5232MK T100 BCO-ESMERALDA,CONJUNTO,LENCERIA,52320538,MARCELA KOURY
0101097510,5275MK T90 BLANCO,CONJUNTO,LENCERIA,52750301,MARCELA KOURY
0101097520,5275MK T90 NEGRO,CONJUNTO,LENCERIA,52750303,MARCELA KOURY
0101097530,5275MK T90 NOUGAT,CONJUNTO,LENCERIA,52750328,MARCELA KOURY
0101097540,5275MK T95 BLANCO,CONJUNTO,LENCERIA,52750401,MARCELA KOURY
0101097550,5275MK T95 NEGRO,CONJUNTO,LENCERIA,52750403,MARCELA KOURY
0101097560,5275MK T95 NOUGAT,CONJUNTO,LENCERIA,52750428,MARCELA KOURY
0101097570,5275MK T100 BLANCO,CONJUNTO,LENCERIA,52750501,MARCELA KOURY
0101097580,5275MK T100 NEGRO,CONJUNTO,LENCERIA,52750503,MARCELA KOURY
0101097590,5275MK T100 NOUGAT,CONJUNTO,LENCERIA,52750528,MARCELA KOURY
0101097600,5275MK T105 BLANCO,CONJUNTO,LENCERIA,52750601,MARCELA KOURY
0101097610,5275MK T105 NEGRO,CONJUNTO,LENCERIA,52750603,MARCELA KOURY
0101097620,5275MK T105 NOUGAT,CONJUNTO,LENCERIA,52750628,MARCELA KOURY
0101097630,5294MK T85 BLANCO,CONJUNTO,LENCERIA,52940201,MARCELA KOURY
0101097640,5294MK T85 HUESO,CONJUNTO,LENCERIA,52940202,MARCELA KOURY
0101097650,5294MK T85 NEGRO,CONJUNTO,LENCERIA,52940203,MARCELA KOURY
