Cod_art,Descripcion,Desc_adicional,Familia,Codbarra,agrupacion,marca
0102008990,R2000 T.90 BLANCO,CORPIÑO,LENCERIA,20009001,CORPIÑO,NASTASE
0102009000,R2000 T.90 NEGRO,CORPIÑO,LENCERIA,20009002,CORPIÑO,NASTASE
0102009010,R2000 T.90 HUESO,CORPIÑO,LENCERIA,20009003,CORPIÑO,NASTASE
0102009020,R2000 T.90 AVELLANA,CORPIÑO,LENCERIA,20009004,CORPIÑO,NASTASE
0102009030,R2000 T.90 NATURAL,CORPIÑO,LENCERIA,20009005,CORPIÑO,NASTASE
0102009040,R2000 T.95 BLANCO,CORPIÑO,LENCERIA,20009501,CORPIÑO,NASTASE
0102009050,R2000 T.95 NEGRO,CORPIÑO,LENCERIA,20009502,CORPIÑO,NASTASE
0102009060,R2000 T.95 HUESO,CORPIÑO,LENCERIA,20009503,CORPIÑO,NASTASE
0102009070,R2000 T.95 AVELLANA,CORPIÑO,LENCERIA,20009504,CORPIÑO,NASTASE
0102009080,R2000 T.95 NATURAL,CORPIÑO,LENCERIA,20009505,CORPIÑO,NASTASE
0102009090,R2007 T.90 BLANCO,CORPIÑO,LENCERIA,20079001,CORPIÑO,NASTASE
0102009100,R2007 T.90 NEGRO,CORPIÑO,LENCERIA,20079002,CORPIÑO,NASTASE
0102009110,R2007 T.90 HUESO,CORPIÑO,LENCERIA,20079003,CORPIÑO,NASTASE
0102009120,R2007 T.95 BLANCO,CORPIÑO,LENCERIA,20079501,CORPIÑO,NASTASE
0102009130,R2007 T.95 NEGRO,CORPIÑO,LENCERIA,20079502,CORPIÑO,NASTASE
0102009140,R2007 T.95 HUESO,CORPIÑO,LENCERIA,20079503,CORPIÑO,NASTASE
0102009150,R2000 T.100 BLANCO,CORPIÑO,LENCERIA,200010001,CORPIÑO,NASTASE
0102009160,R2000 T.100 NEGRO,CORPIÑO,LENCERIA,200010002,CORPIÑO,NASTASE
0102009170,R2000 T.100 HUESO,CORPIÑO,LENCERIA,200010003,CORPIÑO,NASTASE
0102009180,R2000 T.100 AVELLANA,CORPIÑO,LENCERIA,200010004,CORPIÑO,NASTASE
0102009190,R2000 T.100 NATURAL,CORPIÑO,LENCERIA,200010005,CORPIÑO,NASTASE
0102009200,R2000 T.105 BLANCO,CORPIÑO,LENCERIA,200010501,CORPIÑO,NASTASE
0102009210,R2000 T.105 NEGRO,CORPIÑO,LENCERIA,200010502,CORPIÑO,NASTASE
0102009220,R2000 T.105 HUESO,CORPIÑO,LENCERIA,200010503,CORPIÑO,NASTASE
0102009230,R2000 T.105 AVELLANA,CORPIÑO,LENCERIA,200010504,CORPIÑO,NASTASE
0102009240,R2000 T.105 NATURAL,CORPIÑO,LENCERIA,200010505,CORPIÑO,NASTASE
0102009250,R2000 T.110 BLANCO,CORPIÑO,LENCERIA,200011001,CORPIÑO,NASTASE
0102009260,R2000 T.110 NEGRO,CORPIÑO,LENCERIA,200011002,CORPIÑO,NASTASE
0102009270,R2000 T.110 HUESO,CORPIÑO,LENCERIA,200011003,CORPIÑO,NASTASE
0102009280,R2000 T.110 AVELLANA,CORPIÑO,LENCERIA,200011004,CORPIÑO,NASTASE
0102009290,R2000 T.110 NATURAL,CORPIÑO,LENCERIA,200011005,CORPIÑO,NASTASE
0102009300,R2000 T.115 BLANCO,CORPIÑO,LENCERIA,200011501,CORPIÑO,NASTASE
0102009310,R2000 T.115 NEGRO,CORPIÑO,LENCERIA,200011502,CORPIÑO,NASTASE
0102009320,R2000 T.115 HUESO,CORPIÑO,LENCERIA,200011503,CORPIÑO,NASTASE
0102009330,R2000 T.115 AVELLNA,CORPIÑO,LENCERIA,200011504,CORPIÑO,NASTASE
0102009340,R2000 T.115 NATURAL,CORPIÑO,LENCERIA,200011505,CORPIÑO,NASTASE
0102009350,R2000 T.120 BLANCO,CORPIÑO,LENCERIA,200012001,CORPIÑO,NASTASE
0102009360,R2000 T.120 NEGRO,CORPIÑO,LENCERIA,200012002,CORPIÑO,NASTASE
0102009370,R2000 T.120 HUESO,CORPIÑO,LENCERIA,200012003,CORPIÑO,NASTASE
0102009380,R2000 T.120 AVELLANA,CORPIÑO,LENCERIA,200012004,CORPIÑO,NASTASE
0102009390,R2000 T.120 NATURAL,CORPIÑO,LENCERIA,200012005,CORPIÑO,NASTASE
0102009400,R2007 T.100 BLANCO,CORPIÑO,LENCERIA,200710001,CORPIÑO,NASTASE
0102009410,R2007 T.100 NEGRO,CORPIÑO,LENCERIA,200710002,CORPIÑO,NASTASE
0102009420,R2007 T.100 HUESO,CORPIÑO,LENCERIA,200710003,CORPIÑO,NASTASE
0102009430,R2007 T.105 BLANCO,CORPIÑO,LENCERIA,200710501,CORPIÑO,NASTASE
0102009440,R2007 T.105 NEGRO,CORPIÑO,LENCERIA,200710502,CORPIÑO,NASTASE
0102009450,R2007 T.105 HUESO,CORPIÑO,LENCERIA,200710503,CORPIÑO,NASTASE
0102009460,R2007 T. 110 BLANCO,CORPIÑO,LENCERIA,200711001,CORPIÑO,NASTASE
0102009470,R2007 T.110 NEGRO,CORPIÑO,LENCERIA,200711002,CORPIÑO,NASTASE
0102009480,R2007 T.110 HUESO,CORPIÑO,LENCERIA,200711003,CORPIÑO,NASTASE
0102009490,R2007 T.115 BLANCO,CORPIÑO,LENCERIA,200711501,CORPIÑO,NASTASE
0102009500,R2007 T.115 NEGRO,CORPIÑO,LENCERIA,200711502,CORPIÑO,NASTASE
0102009510,R2007 T.115 HUESO,CORPIÑO,LENCERIA,200711503,CORPIÑO,NASTASE
0102009520,R2007 T.120 BLANCO,CORPIÑO,LENCERIA,200712001,CORPIÑO,NASTASE
0102009530,R2007 T.120 NEGRO,CORPIÑO,LENCERIA,200712002,CORPIÑO,NASTASE
0102009540,R2007 T.120 HUESO,CORPIÑO,LENCERIA,200712003,CORPIÑO,NASTASE
0102009550,R2000NA REDUCTOR,CORPIÑO,LENCERIA,R2000NA,CORPIÑO,NASTASE
0102009560,R2001NA REDUCTOR,CORPIÑO,LENCERIA,R2001NA,CORPIÑO,NASTASE
0102009570,R2002NA REDUCTOR,CORPIÑO,LENCERIA,R2002NA,CORPIÑO,NASTASE
0102009580,R2003NA REDUCTOR,CORPIÑO,LENCERIA,R2003NA,CORPIÑO,NASTASE
0102009590,R2004NA REDUCTOR,CORPIÑO,LENCERIA,R2004NA,CORPIÑO,NASTASE
0102009600,R2005NA REDUCTOR,CORPIÑO,LENCERIA,R2005NA,CORPIÑO,NASTASE
0102009610,R2006NA REDUCTOR,CORPIÑO,LENCERIA,R2006NA,CORPIÑO,NASTASE
0102009620,R2007NA REDUCTOR,CORPIÑO,LENCERIA,R2007NA,CORPIÑO,NASTASE
0102009630,R2008NA REDUCTOR,CORPIÑO,LENCERIA,R2008NA,CORPIÑO,NASTASE
0102009640,R2009NA REDUCTOR,CORPIÑO,LENCERIA,R2009NA,CORPIÑO,NASTASE
0102009650,R2010NA CORP AMAMANTAR,CORPIÑO,LENCERIA,R2010NA,CORPIÑO,NASTASE
0102009660,R2011NA CORPIÑO,CORPIÑO,LENCERIA,R2011NA,CORPIÑO,NASTASE
0102009670,R2012NA CORPIÑO,CORPIÑO,LENCERIA,R2012NA,CORPIÑO,NASTASE
0102009680,R2013NA CORPIÑO,CORPIÑO,LENCERIA,R2013NA,CORPIÑO,NASTASE
0102009690,R2014NA CORPIÑO,CORPIÑO,LENCERIA,R2014NA,CORPIÑO,NASTASE
0102009700,R2015NA CORPIÑO,CORPIÑO,LENCERIA,R2015NA,CORPIÑO,NASTASE
0102009710,R2016NA CORPIÑO,CORPIÑO,LENCERIA,R2016NA,CORPIÑO,NASTASE
0105012300,001NA BOMBACHA ESPEC,BOMBACHA,LENCERIA,001NA,BOMBACHA,NASTASE
0105012310,002NA BOMBACHA ESPEC,BOMBACHA,LENCERIA,002NA,BOMBACHA,NASTASE
0105012320,003NA BOMBACHA ESPEC,BOMBACHA,LENCERIA,003NA,BOMBACHA,NASTASE
0105012330,004NA BOMBACHA ESPEC,BOMBACHA,LENCERIA,004NA,BOMBACHA,NASTASE
0105012340,005NA BOMBACHA ESPEC,BOMBACHA,LENCERIA,005NA,BOMBACHA,NASTASE
0105012350,006NA BOMBACHA ESPEC,BOMBACHA,LENCERIA,006NA,BOMBACHA,NASTASE
0105012360,007NA BOMBACHA ESPEC,BOMBACHA,LENCERIA,007NA,BOMBACHA,NASTASE
0105012370,008NA BOMBACHA ESPEC,BOMBACHA,LENCERIA,008NA,BOMBACHA,NASTASE
0105012380,009NA BOMBACHA ESPEC,BOMBACHA,LENCERIA,009NA,BOMBACHA,NASTASE
0105012390,010NA BOMBACHA ESPEC,BOMBACHA,LENCERIA,010NA,BOMBACHA,NASTASE
0105012400,011NA BOMBACHA ESPEC,BOMBACHA,LENCERIA,011NA,BOMBACHA,NASTASE
0105012410,012NA BOMBACHA ESPEC,BOMBACHA,LENCERIA,012NA,BOMBACHA,NASTASE
0105012420,013NA BOMBACHA ESPEC,BOMBACHA,LENCERIA,013NA,BOMBACHA,NASTASE
0105012430,014NA BOMBACHA ESPEC,BOMBACHA,LENCERIA,014NA,BOMBACHA,NASTASE
0105012440,015NA BOMBACHA ESPEC,BOMBACHA,LENCERIA,015NA,BOMBACHA,NASTASE
0105012450,016NA BOMBACHA ESPEC,BOMBACHA,LENCERIA,016NA,BOMBACHA,NASTASE
0105012460,1000NA TRUSA T2,BOMBACHA,LENCERIA,1000NA,BOMBACHA,NASTASE
0105012470,1000NA TRUSA T3,BOMBACHA,LENCERIA,1000NA3,BOMBACHA,NASTASE
0105012480,1000NA TRUSA T4,BOMBACHA,LENCERIA,1000NA4,BOMBACHA,NASTASE
0105012490,1000NA TRUSA T5,BOMBACHA,LENCERIA,1000NA5,BOMBACHA,NASTASE
0105012500,1001NA BOMBACHA,BOMBACHA,LENCERIA,1001NA,BOMBACHA,NASTASE
0105012510,1018NA BOMBACHA,BOMBACHA,LENCERIA,1018NA,BOMBACHA,NASTASE
0105012520,1019NA BOMBACHA,BOMBACHA,LENCERIA,1019NA,BOMBACHA,NASTASE
0105012530,1034NA SHORT,BOMBACHA,LENCERIA,1034NA,BOMBACHA,NASTASE
0105012540,1055NA LESS,BOMBACHA,LENCERIA,1055NA,BOMBACHA,NASTASE
0105012550,1056NA VEDETINA,BOMBACHA,LENCERIA,1056NA,BOMBACHA,NASTASE
0105012560,1057NA VEDETINA,BOMBACHA,LENCERIA,1057NA,BOMBACHA,NASTASE
0105012570,1058NA CULOTTE,BOMBACHA,LENCERIA,1058NA,BOMBACHA,NASTASE
0105012580,1059NA CULOTTE,BOMBACHA,LENCERIA,1059NA,BOMBACHA,NASTASE
0105012590,1065NA LESS,BOMBACHA,LENCERIA,1065NA,BOMBACHA,NASTASE
0105012600,1066NA VEDETINA,BOMBACHA,LENCERIA,1066NA,BOMBACHA,NASTASE
0105012610,1067NA VEDETINA,BOMBACHA,LENCERIA,1067NA,BOMBACHA,NASTASE
0105012620,1068NA VEDETINA,BOMBACHA,LENCERIA,1068NA,BOMBACHA,NASTASE
0105012630,1069NA VEDETINA,BOMBACHA,LENCERIA,1069NA,BOMBACHA,NASTASE
0105012640,10NA BOMBACHA NASTASE,BOMBACHA,LENCERIA,10NA,BOMBACHA,NASTASE
0105012650,11NA BOMBACHA NASTASE,BOMBACHA,LENCERIA,11NA,BOMBACHA,NASTASE
0105012660,12NA BOMBACHA NASTASE,BOMBACHA,LENCERIA,12NA,BOMBACHA,NASTASE
0105012670,131NA,BOMBACHA,LENCERIA,131NA,BOMBACHA,NASTASE
0105012680,13NA BOMBACHA ESPEC,BOMBACHA,LENCERIA,13NA,BOMBACHA,NASTASE
0105012690,14NA BOMBACHA ESPEC,BOMBACHA,LENCERIA,14NA,BOMBACHA,NASTASE
0105012700,15NA BOMBACHA ESPEC,BOMBACHA,LENCERIA,15NA,BOMBACHA,NASTASE
0105012710,16NA BOMBACHA ESPEC,BOMBACHA,LENCERIA,16NA,BOMBACHA,NASTASE
0105012720,17NA LESS,BOMBACHA,LENCERIA,17NA,BOMBACHA,NASTASE
0105012730,18NA BOMBACHA,BOMBACHA,LENCERIA,18NA,BOMBACHA,NASTASE
0105012740,19NA CULOTTE,BOMBACHA,LENCERIA,19NA,BOMBACHA,NASTASE
0105012750,21NA TIRO CORTO,BOMBACHA,LENCERIA,21NA,BOMBACHA,NASTASE
0105012760,22NA UNIVERSAL,BOMBACHA,LENCERIA,22NA,BOMBACHA,NASTASE
0105012770,23NA VEDETTINA UNIV,BOMBACHA,LENCERIA,23NA,BOMBACHA,NASTASE
