Codarticulo,Descripcion,Descadic,Familia,Codbarra,marca
0301001950,730000MK TS NEGRO,CALZA,INDUMENTARIA,7300000103,MKFITNESS
0301001960,730000MK TM NEGRO,CALZA,INDUMENTARIA,7300000203,MKFITNESS
0301001970,730000MK TL NEGRO,CALZA,INDUMENTARIA,7300000303,MKFITNESS
0301001980,730000MK TXL NEGRO,CALZA,INDUMENTARIA,7300000403,MKFITNESS
0301001990,730001MK TS NEGRO,CALZA,INDUMENTARIA,7300010103,MKFITNESS
0301002000,730001MK TM NEGRO,CALZA,INDUMENTARIA,7300010203,MKFITNESS
0301002010,730001MK TL NEGRO,CALZA,INDUMENTARIA,7300010303,MKFITNESS
0301002020,730001MK TXL NEGRO,CALZA,INDUMENTARIA,7300010403,MKFITNESS
0301002030,740000MK TS NEGRO,CALZA,INDUMENTARIA,7400000103,MKFITNESS
0301002040,740000MK TM NEGRO,CALZA,INDUMENTARIA,7400000203,MKFITNESS
0301002050,740000MK TL NEGRO,CALZA,INDUMENTARIA,7400000303,MKFITNESS
0301002060,740000MK TXL NEGRO,CALZA,INDUMENTARIA,7400000403,MKFITNESS
0301002070,740001MK TS NEGRO,CALZA,INDUMENTARIA,7400010103,MKFITNESS
0301002080,740001MK TM NEGRO,CALZA,INDUMENTARIA,7400010203,MKFITNESS
0301002090,740001MK TL NEGRO,CALZA,INDUMENTARIA,7400010303,MKFITNESS
0301002100,740001MK TXL NEGRO,CALZA,INDUMENTARIA,7400010403,MKFITNESS
0301002110,740002MK TS NEGRO,CALZA,INDUMENTARIA,7400020103,MKFITNESS
0301002120,740002MK TM NEGRO,CALZA,INDUMENTARIA,7400020203,MKFITNESS
0301002130,740002MK TL NEGRO,CALZA,INDUMENTARIA,7400020303,MKFITNESS
0301002140,740002MK TXL NEGRO,CALZA,INDUMENTARIA,7400020403,MKFITNESS
0301002150,740003MK TS NEGRO,CALZA,INDUMENTARIA,7400030103,MKFITNESS
0301002160,740003MK TM NEGRO,CALZA,INDUMENTARIA,7400030203,MKFITNESS
0301002170,740003MK TL NEGRO,CALZA,INDUMENTARIA,7400030303,MKFITNESS
0301002180,740003MK TXL NEGRO,CALZA,INDUMENTARIA,7400030403,MKFITNESS
0301002190,740004 TS NEGRO,CALZA,INDUMENTARIA,7400040103,MKFITNESS
0301002200,740004 TS MELANGE,CALZA,INDUMENTARIA,7400040104,MKFITNESS
0301002210,740004 TM NEGRO,CALZA,INDUMENTARIA,7400040203,MKFITNESS
0301002220,740004 TM MELANGE,CALZA,INDUMENTARIA,7400040204,MKFITNESS
0301002230,740004 TL NEGRO,CALZA,INDUMENTARIA,7400040303,MKFITNESS
0301002240,740004 TL MELANGE,CALZA,INDUMENTARIA,7400040304,MKFITNESS
0301002250,740004 TXL NEGRO,CALZA,INDUMENTARIA,7400040403,MKFITNESS
0301002260,740004 TXL MELANGE,CALZA,INDUMENTARIA,7400040404,MKFITNESS
