Cód. Artículo,Descripción,Desc. Adicional,Familia,Código de Barras
0301004860,11391 CALZA POLISAP T1,CALZA,INDUMENTARIA,11391
0301004870,OK1139T2 CALZA POLISAP T2,CALZA,INDUMENTARIA,11392
0301004880,OK1139T3 CALZA POLISAP T3,CALZA,INDUMENTARIA,11393
0301004890,OK1139T4 CALZA POLISAP T4,CALZA,INDUMENTARIA,11394
0301004900,21401 CALZA RECTA ALG+LYCRA T1,CALZA,INDUMENTARIA,21401
0301004910,21402 CALZA RECTA ALG+LYCRA T2,CALZA,INDUMENTARIA,21402
0301004920,21403 CALZA RECTA ALG+LYCRA T3,CALZA,INDUMENTARIA,21403
0301004930,21404 CALZA RECTA ALG+LYCRA T4,CALZA,INDUMENTARIA,21404
0301004940,21405 CALZA RECTA ALG+LYCRA T5,CALZA,INDUMENTARIA,21405
0301004950,21406 CALZA RECTA ALG+LYCRA T6,CALZA,INDUMENTARIA,21406
0301004960,21407 CALZA RECTA ALG+LYCRA T7,CALZA,INDUMENTARIA,21407
0301004970,21408 CALZA RECTA ALG+LYCRA T8,CALZA,INDUMENTARIA,21408
0301004980,22331 PESCADOR ESTAMPADO POLIS,CALZA,INDUMENTARIA,22331
0301004990,22332 PESCADOR ESTAMPADO POLIS,CALZA,INDUMENTARIA,22332
0301005000,22333 PESCADOR ESTAMPADO POLIS,CALZA,INDUMENTARIA,22333
0301005010,22334 PESCADOR ESTAMPADO POLIS,CALZA,INDUMENTARIA,22334
0301005020,22341 PESCADOR COMBINADO POLIS,CALZA,INDUMENTARIA,22341
0301005030,22342 PESCADOR COMBINADO POLIS,CALZA,INDUMENTARIA,22342
0301005040,22343 PESCADOR COMBINADO POLIS,CALZA,INDUMENTARIA,22343
0301005050,22344 PESCADOR COMBINADO POLIS,CALZA,INDUMENTARIA,22344
0301005060,211521 CALZA BASICA POLISAP T1,CALZA,INDUMENTARIA,211521
0301005070,211522 CALZA BASICA POLISAP T2,CALZA,INDUMENTARIA,211522
0301005080,211523 CALZA BASICA POLISAP T3,CALZA,INDUMENTARIA,211523
0301005090,211524 CALZA BASICA POLISAP T4,CALZA,INDUMENTARIA,211524
0301005100,211525 CALZA BASICA POLISAP T5,CALZA,INDUMENTARIA,211525
0301005110,211526 CALZA BASICA POLISAP T6,CALZA,INDUMENTARIA,211526
0301005120,211741 CALZA POLISAP ESTAMPADA,CALZA,INDUMENTARIA,211741
0301005130,211742 CALZA POLISAP ESTAMPADA,CALZA,INDUMENTARIA,211742
0301005140,211743 CALZA POLISAP ESTAMPADA,CALZA,INDUMENTARIA,211743
0301005150,211744 CALZA POLISAP ESTAMPADA,CALZA,INDUMENTARIA,211744
0301005160,211791 CALZA RECTA ALG+LYCRA T,CALZA,INDUMENTARIA,211791
0301005170,211792 CALZA RECTA ALG+LYCRA T,CALZA,INDUMENTARIA,211792
0301005180,211793 CALZA RECTA ALG+LYCRA T,CALZA,INDUMENTARIA,211793
0301005190,211794 CALZA RECTA ALG+LYCRA T,CALZA,INDUMENTARIA,211794
0301005200,211795 CALZA RECTA ALG+LYCRA T,CALZA,INDUMENTARIA,211795
0301005210,211796 CALZA RECTA ALG+LYCRA T,CALZA,INDUMENTARIA,211796
0301005220,211811 CALZA CHUPIN ALG+LYCRA,CALZA,INDUMENTARIA,211811
0301005230,211812 CALZA CHUPIN ALG+LYCRA,CALZA,INDUMENTARIA,211812
0301005240,211813 CALZA CHUPIN ALG+LYCRA,CALZA,INDUMENTARIA,211813
0301005250,211814 CALZA CHUPIN ALG+LYCRA,CALZA,INDUMENTARIA,211814
0301005260,211815 CALZA CHUPIN ALG+LYCRA,CALZA,INDUMENTARIA,211815
0301005270,211816 CALZA CHUPIN ALG+LYCRA,CALZA,INDUMENTARIA,211816
0301005280,211871 CALZA COMBINADA POLISAP,CALZA,INDUMENTARIA,211871
0301005290,211872 CALZA COMBINADA POLISAP,CALZA,INDUMENTARIA,211872
0301005300,211873 CALZA COMBINADA POLISAP,CALZA,INDUMENTARIA,211873
0301005310,211874 CALZA COMBINADA POLISAP,CALZA,INDUMENTARIA,211874
0301005320,211961 CALZA ALG+LYCRA COMB ES,CALZA,INDUMENTARIA,211961
0301005330,211962 CALZA ALG+LYCRA COMB ES,CALZA,INDUMENTARIA,211962
0301005340,211963 CALZA ALG+LYCRA COMB ES,CALZA,INDUMENTARIA,211963
0301005350,211964 CALZA ALG+LYCRA COMB ES,CALZA,INDUMENTARIA,211964
0301005360,211971 CALZA COMBINADA POLISAP,CALZA,INDUMENTARIA,211971
0301005370,211972 CALZA COMBINADA POLISAP,CALZA,INDUMENTARIA,211972
0301005380,211973 CALZA COMBINADA POLISAP,CALZA,INDUMENTARIA,211973
0301005390,211974 CALZA COMBINADA POLISAP,CALZA,INDUMENTARIA,211974
0301005400,211981 CALZA OXFORD COMB ESTAM,CALZA,INDUMENTARIA,211981
0301005410,211982 CALZA OXFORD COMB ESTAM,CALZA,INDUMENTARIA,211982
0301005420,211983 CALZA OXFORD COMB ESTAM,CALZA,INDUMENTARIA,211983
0301005430,211984 CALZA OXFORD COMB ESTAM,CALZA,INDUMENTARIA,211984
0301005440,211991 CALZA COMBINADA POLISAP,CALZA,INDUMENTARIA,211991
0301005450,211992 CALZA COMBINADA POLISAP,CALZA,INDUMENTARIA,211992
0301005460,211993 CALZA COMBINADA POLISAP,CALZA,INDUMENTARIA,211993
0301005470,211994 CALZA COMBINADA POLISAP,CALZA,INDUMENTARIA,211994
0301005480,211995 CALZA COMBINADA POLISAP,CALZA,INDUMENTARIA,211995
0301005490,211996 CALZA COMBINADA POLISAP,CALZA,INDUMENTARIA,211996
0301005500,212001 CALZA ESTAMPADA POLISAP,CALZA,INDUMENTARIA,212001
0301005510,212002 CALZA ESTAMPADA POLISAP,CALZA,INDUMENTARIA,212002
0301005520,212003 CALZA ESTAMPADA POLISAP,CALZA,INDUMENTARIA,212003
0301005530,212004 CALZA ESTAMPADA POLISAP,CALZA,INDUMENTARIA,212004
0301005540,212021 CALZA COMBINADA ESTAMPA,CALZA,INDUMENTARIA,212021
0301005550,212022 CALZA COMBINADA ESTAMPA,CALZA,INDUMENTARIA,212022
0301005560,212023 CALZA COMBINADA ESTAMPA,CALZA,INDUMENTARIA,212023
0301005570,212024 CALZA COMBINADA ESTAMPA,CALZA,INDUMENTARIA,212024
0301005580,212051 CALZA COMBINADA TUL POL,CALZA,INDUMENTARIA,212051
0301005590,212052 CALZA COMBINADA TUL POL,CALZA,INDUMENTARIA,212052
0301005600,212053 CALZA COMBINADA TUL POL,CALZA,INDUMENTARIA,212053
0301005610,212054 CALZA COMBINADA TUL POL,CALZA,INDUMENTARIA,212054
0301005620,212101 CALZA ALG+LYCRA COMBINA,CALZA,INDUMENTARIA,212101
0301005630,212102 CALZA ALG+LYCRA COMBINA,CALZA,INDUMENTARIA,212102
0301005640,212103 CALZA ALG+LYCRA COMBINA,CALZA,INDUMENTARIA,212103
0301005650,212104 CALZA ALG+LYCRA COMBINA,CALZA,INDUMENTARIA,212104
0301005660,212111 CALZA COMB TRANSFER + T,CALZA,INDUMENTARIA,212111
0301005670,212112 CALZA COMB TRANSFER + T,CALZA,INDUMENTARIA,212112
