virtuemart_product_id,product_name,product_sku,product_parent_sku,slug,VM_MULTIVARIANT_FIELD_LABEL1,Color,multi_variant_title,multi_variant_fields,product_price,published,category_path,product_desc,Description,peso,Description
,elemento-Art:011E,0703000020,,elemento-Art-011E-0703000020,INVISIBLE,HOMBRE,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Elemento,"INVISIBLE elemento-Art:011E<br />INVISIBLE - HOMBRE","011E INVISIBLE HOMBRE ALTA LIS",1000,"011E INVISIBLE HOMBRE ALTA LIS"
,elemento-Art:013E,0703000040,,elemento-Art-013E-0703000040,INVISIBLE,HOMBRE,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Elemento,"INVISIBLE elemento-Art:013E<br />INVISIBLE - HOMBRE","013E INVISIBLE HOMBRE URBANO E",1000,"013E INVISIBLE HOMBRE URBANO E"
,elemento-Art:014E,0702002550,,elemento-Art-014E-0702002550,PACK,X3,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Elemento,"PACK elemento-Art:014E<br />PACK - X3","014E PACK X3",1000,"014E PACK X3"
,elemento-Art:023E,0703000030,,elemento-Art-023E-0703000030,INVISIBLE,DAMA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Elemento,"INVISIBLE elemento-Art:023E<br />INVISIBLE - DAMA","023E INVISIBLE DAMA ALTA ESTAM",1000,"023E INVISIBLE DAMA ALTA ESTAM"
,elemento-Art:024E,0702002560,,elemento-Art-024E-0702002560,PACK,X3,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Elemento,"PACK elemento-Art:024E<br />PACK - X3","024E PACK X3 INVISIBLE",1000,"024E PACK X3 INVISIBLE"
,elemento-Art:044.2E,0712001630,,elemento-Art-044.2E-0712001630,T2,INV,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Elemento,"INFANTIL elemento-Art:044.2E<br />T2 - INV","044.2E T2 INV CHICOS",5,"044.2E T2 INV CHICOS"
,elemento-Art:044.3E,0712001640,,elemento-Art-044.3E-0712001640,T3,INV,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Elemento,"INFANTIL elemento-Art:044.3E<br />T3 - INV","044.3E T3 INV CHICOS",6,"044.3E T3 INV CHICOS"
,elemento-Art:044.4E,0712001650,,elemento-Art-044.4E-0712001650,T4,INV,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Elemento,"INFANTIL elemento-Art:044.4E<br />T4 - INV","044.4E T4 INV CHICOS",7,"044.4E T4 INV CHICOS"
,elemento-Art:044.5E,0712001660,,elemento-Art-044.5E-0712001660,T5,INV,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Elemento,"INFANTIL elemento-Art:044.5E<br />T5 - INV","044.5E T5 INV CHICOS",8,"044.5E T5 INV CHICOS"
,elemento-Art:055E,0702002540,,elemento-Art-055E-0702002540,INV,JUV,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,Medias/Elemento,"MEDIA elemento-Art:055E<br />INV - JUV","055E INV JUV ESTAM",1000,"055E INV JUV ESTAM"
