Codart,Descripcion,Descadicional,Familia,Codvarra,agrupacion,marca
0701000790,101EL SOQUETE DAMA LISO,SOQUETE,MEDIAS,7797080000015,SOQUETE,elemento
0701000800,102ER SOQUETE RAYADO HOMBRE,SOQUETE,MEDIAS,7797080000244,SOQUETE,elemento
0701000810,102EL SOQUETE LISO HOMBRE,SOQUETE,MEDIAS,7797080000251,SOQUETE,elemento
0701000820,102EB SOQUETE HOMBRE BLANCO,SOQUETE,MEDIAS,7797080000268,SOQUETE,elemento
0701000830,102EN SOQUETE LISO HOMBRE NEGR,SOQUETE,MEDIAS,7797080000275,SOQUETE,elemento
0701000840,101ED SOQUETE DAMA DEPORTIVO,SOQUETE,MEDIAS,7797080000343,SOQUETE,elemento
0701000850,101E SOQUETE DAMA ESTAMPADO,SOQUETE,MEDIAS,7797080001012,SOQUETE,elemento
0701000860,102DE SOQUETE DEPORTIVO HOMBRE,SOQUETE,MEDIAS,7797080001029,SOQUETE,elemento
0701000870,105EV T4 SOQUETE JUVENIL VARON,SOQUETE,MEDIAS,7797080010236,SOQUETE,elemento
0701000880,105EV T5 SOQUETE JUVENIL VARON,SOQUETE,MEDIAS,7797080051024,SOQUETE,elemento
0701000890,104EV T1 SOQUETES CHICOS VARON,SOQUETE,MEDIAS,7797080102214,SOQUETE,elemento
0701000900,104EV T2 SOQUETES CHICOS VARON,SOQUETE,MEDIAS,7797080102221,SOQUETE,elemento
0701000910,104EV3 T3 SOQUETE CHICOS VARON,SOQUETE,MEDIAS,7797080102238,SOQUETE,elemento
0701000920,104N T2 Soquete estampado nena,SOQUETE,MEDIAS,7797080114224,SOQUETE,elemento
0701000930,105EN T4 SOQ RAYADO,SOQUETE,MEDIAS,7797080115443,SOQUETE,elemento
0701000940,105EN T5 SOQUETE JUVENIL NENA,SOQUETE,MEDIAS,7797080115559,SOQUETE,elemento
0701000950,500E SOQUETE HOMBRE ULTRA SOFT,SOQUETE,MEDIAS,7797080402314,SOQUETE,elemento
0701000960,501E SOQUETE HOMBRE ULTRA SPOR,SOQUETE,MEDIAS,7797080402321,SOQUETE,elemento
0701000970,510E SOQUETE HOMBRE ULTRA FIT,SOQUETE,MEDIAS,7797080402345,SOQUETE,elemento
0701000980,511E SOQUETE HOMBRE ULTRA TRAI,SOQUETE,MEDIAS,7797080402352,SOQUETE,elemento
0701000990,512E SOQUETE ALTO TOP TRAINING,SOQUETE,MEDIAS,7797080402369,SOQUETE,elemento
0701001000,551E SOQUETE DAMA ULTRA SPORT,SOQUETE,MEDIAS,7797080402413,SOQUETE,elemento
0701001010,552E SOQUETE DAMA ULTRA TRAINI,SOQUETE,MEDIAS,7797080402420,SOQUETE,elemento
0701001020,105E T4 SOQUETE JUVENIL MIXTO,SOQUETE,MEDIAS,7797080402765,SOQUETE,elemento
