Codart,Descripcion,Descadic,Familia,Codbarra,agrupacion,marca
0701001140,F1023 FLOYD,SOQUETE,MEDIAS,F1023,SOQUETE,floyd
0701001150,F1504 SOQUETE DE ALGOD,SOQUETE,MEDIAS,F1504,SOQUETE,floyd
0701001160,F1804 SOQUETE,SOQUETE,MEDIAS,F1804,SOQUETE,floyd
0701001170,F1805 SOQUETE,SOQUETE,MEDIAS,F1805,SOQUETE,floyd
0701001180,F1808 SOQUETE TOBILLERO,SOQUETE,MEDIAS,F1808,SOQUETE,floyd
0701001190,F1905 SOQUETE INVISIBLE,SOQUETE,MEDIAS,F1905,SOQUETE,floyd
0701001210,MJ16 SOQUETE DAMA,SOQUETE,MEDIAS,MJ16,SOQUETE,floyd
0701001220,MJ6 SOQUETE,SOQUETE,MEDIAS,MJ6,SOQUETE,floyd
0701001230,MJ8 SOQUETE,SOQUETE,MEDIAS,MJ8,SOQUETE,floyd
0702000560,F808,1/2 CAÑA,MEDIAS,F808,MEDIA CAÑA,floyd
0702000930,F1807 MEDIA DE CAÑA INTERM,1/2 CAÑA,MEDIAS,F1807,MEDIA CAÑA,floyd
0702000940,F1904 MEDIA C CAÑA ELAS,1/2 CAÑA,MEDIAS,F1904,MEDIA CAÑA,floyd
0702000950,F1906 MEDIA TIPO TENIS,1/2 CAÑA,MEDIAS,F1906,MEDIA CAÑA,floyd
0702000960,F1907 MEDIA C CAÑA INTERM,1/2 CAÑA,MEDIAS,F1907,MEDIA CAÑA,floyd
0702000970,F1908 SOQUETE TOBILL,1/2 CAÑA,MEDIAS,F1908,MEDIA CAÑA,floyd
0702000980,MJ1 MEDIAS MUJER,1/2 CAÑA,MEDIAS,MJ1,MEDIA CAÑA,floyd
0702000990,MJ11 MEDIAS,1/2 CAÑA,MEDIAS,MJ11,MEDIA CAÑA,floyd
0702001000,MJ12 MEDIAS,1/2 CAÑA,MEDIAS,MJ12,MEDIA CAÑA,floyd
0702001010,MJ2  MEDIAS MUJER,1/2 CAÑA,MEDIAS,MJ2,MEDIA CAÑA,floyd
0702001020,MJ3 MEDIAS MUJER,1/2 CAÑA,MEDIAS,MJ3,MEDIA CAÑA,floyd
0702001030,MJ4 MEDIAS MUJER,1/2 CAÑA,MEDIAS,MJ4,MEDIA CAÑA,floyd
