codart,Descripcion,Descadicional,Familia,Codbarras,agrupacion,marca
0704000190,J5000 MEDIAS  JOMA,DEPORTIVA,MEDIAS,J5000,DEPORTIVA,joma
0704000200,J5001 MEDIAS  JOMA,DEPORTIVA,MEDIAS,J5001,DEPORTIVA,joma
0704000210,J5002 MEDIAS  JOMA,DEPORTIVA,MEDIAS,J5002,DEPORTIVA,joma
0704000220,J5003 MEDIAS  JOMA,DEPORTIVA,MEDIAS,J5003,DEPORTIVA,joma
0704000230,J5004 MEDIAS  JOMA,DEPORTIVA,MEDIAS,J5004,DEPORTIVA,joma
0704000240,J5005 MEDIAS  JOMA,DEPORTIVA,MEDIAS,J5005,DEPORTIVA,joma
0704000250,J5006 MEDIAS  JOMA,DEPORTIVA,MEDIAS,J5006,DEPORTIVA,joma
0704000260,J5007 MEDIAS  JOMA,DEPORTIVA,MEDIAS,J5007,DEPORTIVA,joma
0704000270,J5008 MEDIAS  JOMA,DEPORTIVA,MEDIAS,J5008,DEPORTIVA,joma
0704000280,J5009 MEDIAS  JOMA,DEPORTIVA,MEDIAS,J5009,DEPORTIVA,joma
0704000290,J5010 MEDIAS  JOMA,DEPORTIVA,MEDIAS,J5010,DEPORTIVA,joma
0704000300,J5011 MEDIAS  JOMA,DEPORTIVA,MEDIAS,J5011,DEPORTIVA,joma
0704000310,J5012 MEDIAS  JOMA,DEPORTIVA,MEDIAS,J5012,DEPORTIVA,joma
0704000320,J5013 MEDIAS  JOMA,DEPORTIVA,MEDIAS,J5013,DEPORTIVA,joma
0704000330,J5014 MEDIAS  JOMA,DEPORTIVA,MEDIAS,J5014,DEPORTIVA,joma
0704000340,J5015 MEDIAS  JOMA,DEPORTIVA,MEDIAS,J5015,DEPORTIVA,joma
0704000350,J5016 MEDIAS  JOMA,DEPORTIVA,MEDIAS,J5016,DEPORTIVA,joma
0704000360,J5017 MEDIAS  JOMA,DEPORTIVA,MEDIAS,J5017,DEPORTIVA,joma
0704000370,J5018 MEDIAS  JOMA,DEPORTIVA,MEDIAS,J5018,DEPORTIVA,joma
0704000380,J5019 MEDIAS  JOMA,DEPORTIVA,MEDIAS,J5019,DEPORTIVA,joma
0704000390,J5020 MEDIAS  JOMA,DEPORTIVA,MEDIAS,J5020,DEPORTIVA,joma
0704000400,J5021 MEDIAS  JOMA,DEPORTIVA,MEDIAS,J5021,DEPORTIVA,joma
0704000410,J5022 MEDIAS  JOMA,DEPORTIVA,MEDIAS,J5022,DEPORTIVA,joma
0704000420,J5023 MEDIAS  JOMA,DEPORTIVA,MEDIAS,J5023,DEPORTIVA,joma
0704000430,J6000 MEDIAS  JOMA,DEPORTIVA,MEDIAS,J6000,DEPORTIVA,joma
0704000440,J7000 MEDIAS  JOMA,DEPORTIVA,MEDIAS,J7000,DEPORTIVA,joma
0704000450,J7003 MEDIAS  JOMA,DEPORTIVA,MEDIAS,J7003,DEPORTIVA,joma
0704000460,J7004 MEDIAS  JOMA,DEPORTIVA,MEDIAS,J7004,DEPORTIVA,joma
0704005130,J5024 MEDIAS  JOMA,MEDIA,MEDIAS,J5024,DEPORTIVA,joma
0704005140,J6001 MEDIAS  JOMA,MEDIA,MEDIAS,J6001,DEPORTIVA,joma
