Codigo,Descripcion,Descadicional,Familia,Codbarra,marca
0701001240,6205MK PACK X2,CONJUNTO,MEDIAS,6205MK,mkmedias
0701001250,6102MK Pack x3 Soquetes Inv,SOQUETES,MEDIAS,61020003,mkmedias
0701001260,6102MK Pack x3 Soquetes Inv,SOQUETES,MEDIAS,61020006,mkmedias
0701001270,6103MK Pack x2 Soquetes Inv,SOQUETES,MEDIAS,61030034,mkmedias
0701001280,6103MK Pack x2 Soquetes Inv,SOQUETES,MEDIAS,61030070,mkmedias
0701001290,6106MK Pack x2 Soquetes Inv,SOQUETES,MEDIAS,61060047,mkmedias
0701001300,6106MK Pack x2 Soquetes Inv,SOQUETES,MEDIAS,61060056,mkmedias
0701001310,6108MK Pack x2 Soquetes Inv,SOQUETES,MEDIAS,61080034,mkmedias
0701001320,6108MK Pack x2 Soquetes Inv,SOQUETES,MEDIAS,61080070,mkmedias
0701001330,6109MK Pack x2 Soquetes Inv,SOQUETES,MEDIAS,61090006,mkmedias
0701001340,6112MK Pack x2 Soquetes Inv,SOQUETES,MEDIAS,61120023,mkmedias
0701001350,6112MK Pack x2 Soquetes Inv,SOQUETES,MEDIAS,61120047,mkmedias
0701001360,6114MK Pack x2 Soquetes Inv,SOQUETES,MEDIAS,61140034,mkmedias
0701001370,61140MK PACK X2 SOQUETES INV.,SOQUETES,MEDIAS,61140047,mkmedias
0701001380,6114MK Pack x2 Soquetes Inv,SOQUETES,MEDIAS,61140056,mkmedias
0701001390,61500MK MEDIAS MK,SOQUETES,MEDIAS,61500099,mkmedias
0701001400,61500MK MEDIAS MK,SOQUETES,MEDIAS,61501299,mkmedias
0701001410,6202MK Pack x2 Soquetes c/m,SOQUETES,MEDIAS,62020003,mkmedias
0701001420,6202MK Pack x2 Soquetes c/m,SOQUETES,MEDIAS,62020006,mkmedias
0701001430,6207MK Pack x2 Soquetes c/m,SOQUETES,MEDIAS,62070023,mkmedias
0701001440,6207MK Pack x2 Soquetes c/m,SOQUETES,MEDIAS,62070070,mkmedias
0701001450,6208MK Pack x2 Soquetes c/m,SOQUETES,MEDIAS,62080034,mkmedias
0701001460,6208MK Pack x2 Soquetes c/m,SOQUETES,MEDIAS,62080070,mkmedias
0701001470,6211MK Pack x2 Soquetes c/m,SOQUETES,MEDIAS,62110034,mkmedias
0701001480,6213MK Pack x2 Soquetes c/m,SOQUETES,MEDIAS,62130003,mkmedias
0701001490,6213MK Pack x2 Soquetes c/m,SOQUETES,MEDIAS,62130019,mkmedias
0701001500,6100MK Pack x3 Soquetes Inv,SOQUETES,MEDIAS,610000901,mkmedias
0701001510,6100MK Pack x3 Soquetes Inv,SOQUETES,MEDIAS,610000902,mkmedias
0701001520,6100MK Pack x3 Soquetes Inv,SOQUETES,MEDIAS,610000903,mkmedias
0701001530,6103MK Pack x2 Soquetes Inv,SOQUETES,MEDIAS,610300334,mkmedias
0701001540,6104MK Pack x2 Soquetes Inv,SOQUETES,MEDIAS,610400361,mkmedias
0701001550,6104MK Pack x2 Soquetes Inv,SOQUETES,MEDIAS,610400365,mkmedias
0701001560,6104MK Pack x2 Soquetes Inv,SOQUETES,MEDIAS,610400381,mkmedias
0701001570,6108MK Pack x2 Soquetes Inv,SOQUETES,MEDIAS,610800334,mkmedias
0701001580,6109MK Pack x2 Soquetes Inv,SOQUETES,MEDIAS,610900335,mkmedias
0701001590,6110MK Pack x3 Soquetes Inv,SOQUETES,MEDIAS,611000334,mkmedias
0701001600,6110MK Pack x3 Soquetes Inv,SOQUETES,MEDIAS,611000335,mkmedias
0701001610,61140MK MEDIAS MK,SOQUETES,MEDIAS,611400099,mkmedias
0701001620,61140MK SOQUETE COFFE RABBIT,SOQUETES,MEDIAS,611401299,mkmedias
0701001630,61141MK MEDIAS MK,SOQUETES,MEDIAS,611410099,mkmedias
0701001640,61141MK MEDIAS MK COLIBRI,SOQUETES,MEDIAS,611411299,mkmedias
0701001650,61142MK MEDIAS MK,SOQUETES,MEDIAS,611420099,mkmedias
0701001660,61142MK MEDIAS MK DOODLES,SOQUETES,MEDIAS,611421299,mkmedias
0701001670,61143MK MEDIAS INVISIBLE MK,SOQUETES,MEDIAS,611430099,mkmedias
0701001680,61143MK,SOQUETES,MEDIAS,611431299,mkmedias
0701001690,61144MK MEDIAS MK,SOQUETES,MEDIAS,611440099,mkmedias
0701001700,61144MK MEDIAS MK TORTUGA RELA,SOQUETES,MEDIAS,611441299,mkmedias
