virtuemart_product_id,product_name,product_sku,product_parent_sku,slug,VM_MULTIVARIANT_FIELD_LABEL1,Color,multi_variant_title,multi_variant_fields,product_price,published,category_path,product_desc,Description,peso,Description
,onefeet-Art:010CA1FE,0712002180,,onefeet-Art-010CA1FE-0712002180,1/2,Caña,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Medias/One Feet","INFANTIL onefeet-Art:010CA1FE<br />1/2 - Caña","010CA1FE 1/2 Caña T1 Niños Li",1000,"010CA1FE 1/2 Caña T1 Niños Li"
,onefeet-Art:010CA2FE,0712002170,,onefeet-Art-010CA2FE-0712002170,1/2,Caña,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Medias/One Feet","INFANTIL onefeet-Art:010CA2FE<br />1/2 - Caña","010CA2FE 1/2 Caña T2 Niños Li",1000,"010CA2FE 1/2 Caña T2 Niños Li"
,onefeet-Art:010CA3FE,0712002160,,onefeet-Art-010CA3FE-0712002160,1/2,Caña,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Medias/One Feet","INFANTIL onefeet-Art:010CA3FE<br />1/2 - Caña","010CA3FE 1/2 Caña T3 Niños Li",1000,"010CA3FE 1/2 Caña T3 Niños Li"
,onefeet-Art:010CB1FE,0712002150,,onefeet-Art-010CB1FE-0712002150,1/2,Caña,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Medias/One Feet","INFANTIL onefeet-Art:010CB1FE<br />1/2 - Caña","010CB1FE 1/2 Caña T1 Niños Lis",1000,"010CB1FE 1/2 Caña T1 Niños Lis"
,onefeet-Art:010CB2FE,0712002140,,onefeet-Art-010CB2FE-0712002140,1/2,Caña,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Medias/One Feet","INFANTIL onefeet-Art:010CB2FE<br />1/2 - Caña","010CB2FE 1/2 Caña T2 Niños Lis",1000,"010CB2FE 1/2 Caña T2 Niños Lis"
,onefeet-Art:010CB3FE,0712002130,,onefeet-Art-010CB3FE-0712002130,1/2,Caña,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Medias/One Feet","INFANTIL onefeet-Art:010CB3FE<br />1/2 - Caña","010CB3FE 1/2 Caña T3 Niños Lis",1000,"010CB3FE 1/2 Caña T3 Niños Lis"
,onefeet-Art:011CA4FE,0702001480,,onefeet-Art-011CA4FE-0702001480,1/2,Caña,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Medias/One Feet","1/2 CAÑA onefeet-Art:011CA4FE<br />1/2 - Caña","011CA4FE 1/2 Caña T4 Juvenil L",1000,"011CA4FE 1/2 Caña T4 Juvenil L"
,onefeet-Art:011CA5FE,0702001470,,onefeet-Art-011CA5FE-0702001470,1/2,Caña,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Medias/One Feet","1/2 CAÑA onefeet-Art:011CA5FE<br />1/2 - Caña","011CA5FE 1/2 Caña T5 Juvenil L",1000,"011CA5FE 1/2 Caña T5 Juvenil L"
,onefeet-Art:011CB4,0702001460,,onefeet-Art-011CB4-0702001460,FE,1/2,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Medias/One Feet","1/2 CAÑA onefeet-Art:011CB4<br />FE - 1/2","011CB4 FE 1/2 Caña T4 Juvenil",1000,"011CB4 FE 1/2 Caña T4 Juvenil"
,onefeet-Art:011CB5FE,0702001450,,onefeet-Art-011CB5FE-0702001450,1/2,Caña,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Medias/One Feet","1/2 CAÑA onefeet-Art:011CB5FE<br />1/2 - Caña","011CB5FE 1/2 Caña T5 Juvenil L",1000,"011CB5FE 1/2 Caña T5 Juvenil L"
