virtuemart_product_id,product_name,product_sku,product_parent_sku,slug,VM_MULTIVARIANT_FIELD_LABEL1,Color,multi_variant_title,multi_variant_fields,product_price,published,category_path,product_desc,Description,peso,Description
,KAURYPIJAMAS-Art:W289,0601000230,,KAURYPIJAMAS-Art-W289-0601000230,TUNICO,Celeste,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Kaury","POLAR KAURYPIJAMAS-Art:W289<br />TUNICO - Celeste","W289 TUNICO Celeste POLAR",1000,"W289 TUNICO Celeste POLAR"
7273,KAURYPIJAMAS-Art:W289K,0602036820,,KAURYPIJAMAS-Art-W289K-0602036820,TUNICO,ROSA,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Kaury","POLAR KAURYPIJAMAS-Art:W289K<br />Cola de sirena de micropolar con detalles en strass y bordado lurex<br />
TALLES: UNICO <br />
COLORES: Celeste / Rosa","W289K TUNICO ROSA",1000,"W289K TUNICO ROSA"
,KAURYPIJAMAS-Art:W290,0601000240,,KAURYPIJAMAS-Art-W290-0601000240,T01,Rosa,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Kaury","CAMISON KAURYPIJAMAS-Art:W290<br />T01 - Rosa","W290 T01 Rosa CAMISON",4,"W290 T01 Rosa CAMISON"
,KAURYPIJAMAS-Art:W290,0601000250,,KAURYPIJAMAS-Art-W290-0601000250,T02,Rosa,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Kaury","CAMISON KAURYPIJAMAS-Art:W290<br />T02 - Rosa","W290 T02 Rosa CAMISON",5,"W290 T02 Rosa CAMISON"
,KAURYPIJAMAS-Art:W290,0601000260,,KAURYPIJAMAS-Art-W290-0601000260,T03,Rosa,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Kaury","CAMISON KAURYPIJAMAS-Art:W290<br />T03 - Rosa","W290 T03 Rosa CAMISON",6,"W290 T03 Rosa CAMISON"
,KAURYPIJAMAS-Art:W291,0601000270,,KAURYPIJAMAS-Art-W291-0601000270,T04,Celeste,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Kaury","CAMISON KAURYPIJAMAS-Art:W291<br />T04 - Celeste","W291 T04 Celeste CAMISON",7,"W291 T04 Celeste CAMISON"
,KAURYPIJAMAS-Art:W291,0601000280,,KAURYPIJAMAS-Art-W291-0601000280,T04,Gris,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Kaury","CAMISON KAURYPIJAMAS-Art:W291<br />T04 - Gris","W291 T04 Gris CAMISON",7,"W291 T04 Gris CAMISON"
,KAURYPIJAMAS-Art:W291,0601000290,,KAURYPIJAMAS-Art-W291-0601000290,T04,Rosa,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Kaury","CAMISON KAURYPIJAMAS-Art:W291<br />T04 - Rosa","W291 T04 Rosa CAMISON",7,"W291 T04 Rosa CAMISON"
,KAURYPIJAMAS-Art:W291,0601000300,,KAURYPIJAMAS-Art-W291-0601000300,T06,Celeste,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Kaury","CAMISON KAURYPIJAMAS-Art:W291<br />T06 - Celeste","W291 T06 Celeste CAMISON",8.1,"W291 T06 Celeste CAMISON"
,KAURYPIJAMAS-Art:W291,0601000120,,KAURYPIJAMAS-Art-W291-0601000120,T06,Gris,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Kaury","CAMISON KAURYPIJAMAS-Art:W291<br />T06 - Gris","W291 T06 Gris CAMISON",8.1,"W291 T06 Gris CAMISON"
,KAURYPIJAMAS-Art:W291,0601000130,,KAURYPIJAMAS-Art-W291-0601000130,T06,Rosa,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Kaury","CAMISON KAURYPIJAMAS-Art:W291<br />T06 - Rosa","W291 T06 Rosa CAMISON",8.1,"W291 T06 Rosa CAMISON"
,KAURYPIJAMAS-Art:W291,0601000140,,KAURYPIJAMAS-Art-W291-0601000140,T08,Celeste,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Kaury","CAMISON KAURYPIJAMAS-Art:W291<br />T08 - Celeste","W291 T08 Celeste CAMISON",8.3,"W291 T08 Celeste CAMISON"
,KAURYPIJAMAS-Art:W291,0601000150,,KAURYPIJAMAS-Art-W291-0601000150,T08,Gris,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Kaury","CAMISON KAURYPIJAMAS-Art:W291<br />T08 - Gris","W291 T08 Gris CAMISON",8.3,"W291 T08 Gris CAMISON"
,KAURYPIJAMAS-Art:W291,0601000160,,KAURYPIJAMAS-Art-W291-0601000160,T08,Rosa,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Kaury","CAMISON KAURYPIJAMAS-Art:W291<br />T08 - Rosa","W291 T08 Rosa CAMISON",8.3,"W291 T08 Rosa CAMISON"
,KAURYPIJAMAS-Art:W291,0601000170,,KAURYPIJAMAS-Art-W291-0601000170,T10,Celeste,COM_VIRTUEMART_FIELD_MULTIVARIANT_LABEL,VM_MULTIVARIANT_FIELD_LABEL1~Color,1.0,Y,"Lenceria de Mujer/Kaury","CAMISON KAURYPIJAMAS-Art:W291<br />T10 - Celeste","W291 T10 Celeste CAMISON",10,"W291 T10 Celeste CAMISON"
